depth,speed
0.0,1493.483
10.0,1492.897
20.0,1492.581
30.0,1492.104
40.0,1489.955
50.0,1486.593
60.0,1482.044
70.0,1480.273
80.0,1479.348
90.0,1478.82
100.0,1480.699
110.0,1481.761
120.0,1480.84
130.0,1479.172
140.0,1478.65
150.0,1479.467
160.0,1479.559
170.0,1479.402
180.0,1479.388
190.0,1477.225
200.0,1476.446
250.0,1474.552
300.0,1471.099
350.0,1467.345
400.0,1469.029
450.0,1470.405
500.0,1471.697
550.0,1473.362
600.0,1473.674
700.0,1474.926
800.0,1475.67
900.0,1476.547
1200.0,1479.241
1727.8,1486.263
