depth,speed
0.0,1520.565
10.0,1520.671
20.0,1520.824
30.0,1520.987
40.0,1521.133
50.0,1521.227
60.0,1521.189
70.0,1521.076
80.0,1520.972
90.0,1520.573
100.0,1520.162
110.0,1519.597
120.0,1519.09
130.0,1518.708
140.0,1518.189
150.0,1517.7
160.0,1517.388
170.0,1516.964
180.0,1516.363
190.0,1515.519
200.0,1514.347
250.0,1510.194
300.0,1507.116
350.0,1500.292
400.0,1494.661
450.0,1489.993
500.0,1486.663
550.0,1482.326
600.0,1479.824
700.0,1478.915
800.0,1478.368
900.0,1478.349
1200.0,1480.468
1606.169,1484.97
