# cfgfile = ./initcfg/CHOS/CHOS.1209.takuyo_t1-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M01,2.268719,0.0,0.0,0.0,False,56122.20207,49.89651,1461.74376,21.30905,205.08,0.45,0.36,56125.532295,47.70425,1454.37965,21.90326,205.17,0.31,2.4
1,S01,L01,M02,2.997459,0.0,0.0,0.0,False,56132.20207,45.07353,1438.93122,21.5761,206.2,0.48,1.53,56136.261035,43.78767,1429.07959,21.76182,205.46,-0.04,0.91
2,S01,L01,M03,3.614324,0.0,0.0,0.0,False,56142.20207,40.70114,1415.51321,21.55194,206.2,-0.04,1.65,56146.8779,38.90854,1404.77652,21.44929,206.52,0.55,0.56
3,S01,L01,M04,2.995409,0.0,0.0,0.0,False,56152.20207,36.30231,1392.44712,21.67329,206.37,-0.01,1.06,56156.258985,34.41674,1383.32786,21.44121,207.28,0.38,0.66
4,S01,L01,M11,2.145408,0.0,0.0,0.0,False,56162.20207,31.36535,1370.07573,21.97174,207.04,0.9,0.79,56165.408985,29.84459,1362.83584,21.27253,207.34,0.22,0.9
5,S01,L01,M12,2.871521,0.0,0.0,0.0,False,56172.20207,26.36915,1347.56214,21.75376,207.41,0.82,0.83,56176.1351,23.78157,1338.86199,21.82088,206.94,-0.06,2.51
6,S01,L01,M13,3.387345,0.0,0.0,0.0,False,56182.20207,20.71709,1324.80809,21.29174,207.61,-0.97,1.5,56186.65092,19.11617,1315.00101,21.65522,207.74,0.99,-0.42
7,S01,L01,M14,2.777783,0.0,0.0,0.0,False,56192.20207,15.11942,1303.08788,21.76637,207.22,0.49,2.85,56196.04136,13.4733,1294.08257,21.13238,208.9,-0.12,-0.65
8,S01,L01,M01,2.167169,0.0,0.0,0.0,False,56202.20207,9.9768,1281.05033,22.01763,208.35,1.67,-0.37,56205.430745,6.8361,1274.14948,21.22616,208.48,-0.58,2.19
9,S01,L01,M02,2.865949,0.0,0.0,0.0,False,56212.20207,3.80607,1259.43101,21.54229,206.94,0.46,0.81,56216.129525,1.19192,1251.00123,21.70788,205.82,0.06,2.09
10,S01,L01,M04,2.828449,0.0,0.0,0.0,False,56232.20207,-4.12401,1214.85394,21.41307,201.81,0.03,0.46,56236.092025,-5.92967,1206.45808,21.76954,200.86,0.68,2.23
11,S01,L01,M11,2.074698,0.0,0.0,0.0,False,56242.20207,-6.65184,1192.28896,21.81436,199.98,0.71,0.31,56245.338275,-7.78732,1185.00318,21.76171,198.69,0.06,2.05
12,S01,L01,M12,2.758546,0.0,0.0,0.0,False,56252.20207,-8.97423,1169.13201,21.79986,197.05,-0.06,2.7,56256.022125,-7.94604,1159.70298,21.48788,196.23,0.22,-0.19
