# cfgfile = ./initcfg/CHOS/CHOS.1309.kaiyo_kx-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,2.176593,0.0,0.0,0.0,False,38699.542145,-1.29168,1444.34621,15.55764,196.89,-1.52,-4.48,38702.780245,-2.66221,1434.64056,16.40884,198.43,1.89,-0.52
1,S01,L01,M12,2.926481,0.0,0.0,0.0,False,38709.54252,-3.44894,1413.39951,16.24416,197.95,0.62,-1.64,38713.53051,-4.56774,1400.57377,15.80568,198.94,0.64,-1.26
2,S01,L01,M13,3.432885,0.0,0.0,0.0,False,38719.542975,-5.32364,1381.55271,15.8485,197.71,1.11,-2.92,38724.037365,-7.65721,1367.68669,16.16276,198.23,-0.96,1.1
3,S01,L01,M14,2.792413,0.0,0.0,0.0,False,38729.54333,-7.53016,1349.52653,15.69656,197.66,1.35,-2.22,38733.39725,-9.26634,1337.65239,15.43488,196.13,-0.86,0.32
4,S01,L01,M11,2.115823,0.0,0.0,0.0,False,38739.54372,-10.01263,1317.61137,15.767,196.73,-0.13,0.54,38742.72105,-9.93857,1307.14093,16.2651,194.82,0.45,-0.25
5,S01,L01,M12,2.831251,0.0,0.0,0.0,False,38749.54408,-10.12186,1285.44644,16.44575,195.47,0.49,1.04,38753.43684,-10.02393,1272.67863,15.68272,195.49,1.34,-3.32
6,S01,L01,M13,3.297375,0.0,0.0,0.0,False,38759.544505,-10.87617,1253.3382,15.65166,194.33,-0.25,0.83,38763.903385,-9.38666,1239.39848,15.56285,195.46,-0.56,-1.78
7,S01,L01,M14,2.691758,0.0,0.0,0.0,False,38769.544845,-9.29415,1222.64577,15.58605,194.56,-0.23,-1.84,38773.29811,-8.45244,1211.41925,15.78359,195.94,-0.3,-1.5
8,S01,L01,M11,2.067913,0.0,0.0,0.0,False,38779.54516,-7.65915,1193.31597,16.08091,195.19,0.82,-3.23,38782.67458,-8.07412,1184.24751,15.61131,195.94,-1.39,0.03
9,S01,L01,M12,2.745021,0.0,0.0,0.0,False,38789.545605,-7.48525,1165.11218,16.11121,198.02,0.46,-1.74,38793.352135,-7.17541,1155.21905,15.76747,195.71,0.43,-1.35
10,S01,L01,M14,2.615193,0.0,0.0,0.0,False,38809.54635,-5.84613,1115.60925,16.03073,194.71,0.05,0.97,38813.22305,-3.84902,1106.95704,15.84811,193.91,0.22,-2.85
11,S01,L01,M11,2.038148,0.0,0.0,0.0,False,38819.54673,-3.72912,1092.77587,16.41908,193.82,0.1,2.46,38822.646385,0.04435,1085.50131,15.46433,194.06,1.11,-4.75
12,S01,L01,M12,2.677386,0.0,0.0,0.0,False,38829.537135,1.38643,1070.2734,16.56329,194.81,1.93,-2.82,38833.27603,2.74145,1061.95198,15.09956,197.9,-0.06,-2.43
13,S01,L01,M13,3.09096,0.0,0.0,0.0,False,38839.537515,4.16146,1048.51124,15.04435,200.39,0.75,-6.11,38843.68998,0.77202,1041.58489,16.96602,201.78,0.09,4.92
14,S01,L01,M14,2.559153,0.0,0.0,0.0,False,38849.53785,2.00262,1029.62522,16.85657,204.65,0.33,0.19,38853.15851,1.09968,1022.85195,15.76264,205.12,0.87,-1.52
15,S01,L01,M11,2.020393,0.0,0.0,0.0,False,38859.53826,-0.96526,1011.19424,16.19886,204.88,0.39,1.57,38862.62016,0.2536,1004.57177,15.84169,204.24,0.95,-3.23
16,S01,L01,M12,2.631796,0.0,0.0,0.0,False,38869.538645,-2.25182,992.52962,16.59281,201.98,0.5,0.68,38873.23195,-1.19359,985.19379,16.09078,200.66,0.5,-2.84
