depth,speed
0.0,1540.111
10.0,1540.211
20.0,1540.345
30.0,1540.486
40.0,1540.629
50.0,1540.298
60.0,1538.168
70.0,1535.102
80.0,1532.66
90.0,1530.643
100.0,1528.397
110.0,1525.664
120.0,1523.791
130.0,1521.519
140.0,1520.045
150.0,1518.69
160.0,1517.458
170.0,1516.387
180.0,1515.564
190.0,1514.619
200.0,1513.682
250.0,1509.827
300.0,1505.057
350.0,1500.098
400.0,1495.794
450.0,1492.285
500.0,1489.075
550.0,1486.83
600.0,1483.617
700.0,1480.325
800.0,1479.195
900.0,1478.593
1200.0,1479.741
1606.169,1484.687
