# cfgfile = ./initcfg/CHOS/CHOS.1406.shoyo_s1-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M12,2.953616,0.0,0.0,0.0,False,33394.543615,-5.35307,1442.39585,19.11433,192.81,0.77,-1.0,33398.55874,-6.30259,1429.47297,19.07456,194.38,-0.95,0.12
1,S01,L01,M13,3.467045,0.0,0.0,0.0,False,33404.543645,-6.24616,1410.03083,19.32245,192.98,1.38,-0.65,33409.072195,-8.58706,1395.69991,19.35839,193.65,-1.24,2.15
2,S01,L01,M14,2.819288,0.0,0.0,0.0,False,33414.54368,-6.76538,1378.23541,19.89582,193.21,0.2,-0.38,33418.424475,-8.06687,1366.0462,19.77672,192.55,0.63,1.05
3,S01,L01,M11,2.129643,0.0,0.0,0.0,False,33424.54377,-8.02088,1346.97486,19.70674,193.18,-0.43,2.25,33427.73492,-7.43712,1336.66786,19.71266,192.59,0.27,0.12
4,S01,L01,M12,2.855776,0.0,0.0,0.0,False,33434.54378,-7.36136,1315.41663,19.27083,194.14,-0.28,-0.79,33438.461065,-7.41207,1303.66253,20.17551,193.48,0.78,0.96
5,S01,L01,M13,3.333865,0.0,0.0,0.0,False,33444.54385,-6.79905,1284.39464,19.61234,194.41,1.06,-2.52,33448.93922,-7.95558,1271.18951,19.25191,193.79,0.03,0.64
6,S01,L01,M14,2.718648,0.0,0.0,0.0,False,33454.543895,-8.5281,1253.97595,19.32605,193.86,-1.07,0.81,33458.32405,-7.37424,1242.6377,20.12353,194.61,1.81,-2.08
7,S01,L01,M11,2.079238,0.0,0.0,0.0,False,33464.543955,-8.55987,1224.00802,19.94273,193.19,-0.15,0.69,33467.6847,-7.15575,1213.98429,19.44171,194.29,0.33,-2.41
8,S01,L01,M12,2.767171,0.0,0.0,0.0,False,33474.543975,-6.98122,1192.93574,19.03443,192.83,-1.46,-2.23,33478.372655,-7.83293,1182.4865,19.98777,193.04,1.07,0.39
9,S01,L01,M13,3.208455,0.0,0.0,0.0,False,33484.544065,-7.30399,1163.58268,19.61401,192.96,0.47,0.23,33488.814025,-6.34626,1150.59365,19.38908,192.44,-0.21,-0.28
