depth,speed
0.0,1527.906
10.0,1527.235
20.0,1526.052
30.0,1525.414
40.0,1524.463
50.0,1523.463
60.0,1522.161
70.0,1520.976
80.0,1520.514
90.0,1519.993
100.0,1519.534
110.0,1519.057
120.0,1518.495
130.0,1518.282
140.0,1518.226
150.0,1517.871
160.0,1517.266
170.0,1516.854
180.0,1516.385
190.0,1515.977
200.0,1515.55
250.0,1512.382
300.0,1507.042
350.0,1499.763
400.0,1495.62
450.0,1491.297
500.0,1486.279
550.0,1483.637
600.0,1482.329
700.0,1478.608
800.0,1478.573
900.0,1478.55
1200.0,1480.592
1606.169,1484.191
