# cfgfile = ./initcfg/CHOS/CHOS.1704.meiyo_m5-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,2.497183,0.0,0.0,0.0,False,82520.39461,1140.02611,1122.21741,13.03299,221.4,-0.98,0.6,82523.9533,1134.1894,1115.47361,12.87869,221.27,0.58,-1.06
1,S01,L01,M12,2.492911,0.0,0.0,0.0,False,82521.18408,1138.38325,1120.82671,12.85737,221.52,-1.4,0.79,82524.7385,1132.68738,1113.88489,13.12182,221.15,-0.03,-1.26
2,S01,L01,M12,2.473306,0.0,0.0,0.0,False,82532.394175,1118.14704,1099.38034,12.60174,220.51,-1.21,-0.91,82535.92899,1111.62073,1092.942,13.07468,220.34,-0.03,0.34
3,S01,L01,M13,3.4185,0.0,0.0,0.0,False,82533.18416,1116.8411,1097.97763,12.67922,220.4,-0.71,-0.9,82537.664165,1108.22919,1089.67904,13.05801,220.29,-0.23,0.52
4,S01,L01,M14,3.425143,0.0,0.0,0.0,False,82533.974255,1115.4008,1096.63353,12.88011,220.34,-0.08,-0.57,82538.460905,1106.70785,1088.08908,12.94659,220.04,-0.45,0.48
5,S01,L01,M13,3.387295,0.0,0.0,0.0,False,82544.39426,1095.94004,1076.30641,12.82605,219.74,-1.9,0.74,82548.84306,1088.19326,1067.27595,12.6087,219.89,-0.56,-0.84
6,S01,L01,M14,3.394288,0.0,0.0,0.0,False,82545.184245,1094.71935,1074.99103,12.99355,219.62,-0.2,0.58,82549.64004,1086.68223,1065.87959,12.7703,220.2,-0.91,-0.56
7,S01,L01,M11,2.451068,0.0,0.0,0.0,False,82545.97434,1093.45862,1073.60104,13.21689,219.63,1.46,0.17,82549.486915,1086.97233,1066.13826,12.71789,220.15,-0.87,-0.64
8,S01,L01,M14,3.363008,0.0,0.0,0.0,False,82556.39427,1074.45915,1052.71734,12.90616,219.62,1.37,0.04,82560.818785,1065.9669,1043.78429,12.83241,220.6,-0.73,-0.47
9,S01,L01,M11,2.431473,0.0,0.0,0.0,False,82557.18436,1072.84369,1051.24938,13.20062,219.87,1.5,0.09,82560.67734,1066.22482,1044.04345,12.79015,220.57,-0.85,-0.51
10,S01,L01,M12,2.429941,0.0,0.0,0.0,False,82557.97435,1071.1305,1049.54849,13.17135,220.16,0.41,0.04,82561.4658,1064.76309,1042.51628,13.00318,220.68,-0.34,-0.32
11,S01,L01,M11,2.411548,0.0,0.0,0.0,False,82568.39438,1051.5111,1028.1867,12.71047,220.17,-0.06,-1.14,82571.867435,1044.48461,1021.63086,12.95093,220.99,0.12,0.79
12,S01,L01,M12,2.410661,0.0,0.0,0.0,False,82569.18437,1050.02186,1026.61879,12.70343,220.58,0.33,-1.34,82572.65654,1042.97854,1020.01311,12.92734,220.79,-0.29,0.86
13,S01,L01,M12,2.392246,0.0,0.0,0.0,False,82580.394445,1027.14456,1003.75352,12.88207,220.78,-0.78,1.64,82583.8482,1022.07751,996.43642,12.97313,220.93,1.17,-2.9
14,S01,L01,M13,3.28293,0.0,0.0,0.0,False,82581.184545,1025.97477,1001.7252,12.33758,220.33,-1.53,0.15,82585.52898,1017.79652,993.00888,12.86085,221.6,-1.77,0.01
15,S01,L01,M14,3.289808,0.0,0.0,0.0,False,82581.97443,1025.09493,999.94581,12.16958,220.07,-0.87,-1.61,82586.325745,1015.89242,991.37116,12.75972,221.38,-2.84,1.42
