# cfgfile = ./initcfg/CHOS/CHOS.1802.kaiyo_k4-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,2.266468,0.0,0.0,0.0,False,7666.402575,122.19277,1588.4922,15.52095,190.49,-0.52,-2.8,7669.73055,120.01855,1577.08278,15.60212,191.39,-0.34,-1.5
1,S01,L01,M12,3.021731,0.0,0.0,0.0,False,7667.49251,121.52271,1585.17427,15.53524,190.8,0.91,-2.35,7671.57575,119.00402,1571.14584,15.85258,191.5,0.3,-1.25
2,S01,L01,M11,2.201488,0.0,0.0,0.0,False,7697.482985,105.41724,1478.67748,15.67423,189.43,-0.61,-3.1,7700.74598,103.13869,1467.64729,15.77089,187.42,0.58,-0.03
3,S01,L01,M11,2.183888,0.0,0.0,0.0,False,7706.39307,102.0911,1446.78196,15.92519,185.67,0.55,-2.45,7709.638465,101.15457,1435.31749,15.60553,184.98,0.23,-1.21
4,S01,L01,M12,2.909121,0.0,0.0,0.0,False,7707.483105,101.45565,1442.6996,15.41518,185.66,-0.23,-1.5,7711.453735,101.34258,1428.52972,15.8947,184.63,-0.54,-2.07
5,S01,L01,M12,2.883451,0.0,0.0,0.0,False,7716.393245,100.53761,1410.39582,16.09937,184.01,0.02,-2.48,7720.338205,99.80553,1396.57513,15.8134,183.6,0.9,-1.27
6,S01,L01,M14,2.845438,0.0,0.0,0.0,False,7736.393565,100.94431,1339.28033,16.47207,180.64,0.93,-1.12,7740.30051,101.71342,1325.5218,16.27801,180.58,2.06,-2.69
7,S01,L01,M12,2.770976,0.0,0.0,0.0,False,7756.39387,104.43914,1269.19989,16.46377,182.23,0.51,-0.78,7760.226355,105.02104,1256.38188,16.27759,182.7,2.77,-2.14
8,S01,L01,M14,2.739928,0.0,0.0,0.0,False,7776.39404,105.38645,1200.62829,16.12331,186.58,0.05,-2.31,7780.195475,104.33727,1187.68405,15.89947,187.28,0.77,-1.35
9,S01,L01,M11,2.074743,0.0,0.0,0.0,False,7777.48408,105.56638,1196.43496,15.76776,187.4,-1.23,-3.5,7780.62033,104.26965,1186.11301,15.96177,187.41,0.61,-1.44
10,S01,L01,M11,2.064408,0.0,0.0,0.0,False,7786.394265,102.76081,1165.60431,15.52325,188.13,-0.18,-1.7,7789.52018,102.1463,1154.75002,16.08059,188.98,0.07,-2.82
11,S01,L01,M12,2.694106,0.0,0.0,0.0,False,7787.484305,102.39668,1161.69631,15.28697,188.34,-0.76,-1.92,7791.23992,100.95604,1148.85427,15.89585,188.67,0.46,-1.08
12,S01,L01,M12,2.673841,0.0,0.0,0.0,False,7796.394345,99.91075,1130.21749,15.3438,188.0,-0.43,-3.45,7800.129695,98.60834,1117.01845,15.93938,186.44,-1.08,-1.87
13,S01,L01,M14,2.657483,0.0,0.0,0.0,False,7807.48456,97.80009,1091.59891,15.83244,186.04,0.16,-3.05,7811.20355,97.06962,1078.17781,15.93866,185.63,-0.47,-1.72
14,S01,L01,M14,2.635233,0.0,0.0,0.0,False,7816.395075,96.60248,1059.71714,15.98311,185.44,0.4,-3.42,7820.091815,95.11288,1047.11725,16.24658,185.45,1.16,-0.68
15,S01,L01,M11,2.034913,0.0,0.0,0.0,False,7817.484695,96.36372,1055.38479,15.13598,186.3,-1.27,-3.68,7820.581115,95.12316,1045.33499,16.48981,185.21,1.08,-0.67
16,S01,L01,M11,2.028318,0.0,0.0,0.0,False,7826.394795,95.51956,1023.76719,15.54332,183.78,-0.74,-3.83,7829.48462,94.98469,1013.80348,16.09331,183.58,0.62,-0.7
17,S01,L01,M12,2.603606,0.0,0.0,0.0,False,7827.48484,95.44597,1020.10226,15.43218,183.89,-0.78,-3.42,7831.149955,94.67973,1007.54147,15.53933,183.56,-1.07,-0.35
18,S01,L01,M12,2.584291,0.0,0.0,0.0,False,7836.395035,95.70693,988.94042,15.48108,184.05,-0.62,-3.11,7840.040835,95.89516,976.51114,15.98948,183.44,0.11,-2.2
19,S01,L01,M13,3.033545,0.0,0.0,0.0,False,7837.48497,95.04145,985.24549,15.43369,184.47,-0.43,-1.8,7841.58002,95.76704,970.52636,15.1583,183.75,-1.43,-2.68
20,S01,L01,M13,3.003015,0.0,0.0,0.0,False,7846.39511,95.93726,953.53458,15.16273,183.44,-1.08,-2.37,7850.45963,96.50619,939.48803,15.45765,183.61,-1.65,-2.44
21,S01,L01,M14,2.563913,0.0,0.0,0.0,False,7847.485145,95.46563,950.51663,15.54451,183.38,0.84,-1.14,7851.110565,96.44,937.26633,15.22428,183.64,-1.45,-2.34
