depth,speed
0.0,1540.639
10.0,1540.832
20.0,1541.017
30.0,1540.549
40.0,1537.529
50.0,1535.012
60.0,1532.572
70.0,1531.117
80.0,1529.571
90.0,1528.004
100.0,1525.07
110.0,1522.522
120.0,1521.487
130.0,1519.824
140.0,1518.715
150.0,1518.273
160.0,1518.135
170.0,1517.718
180.0,1517.131
190.0,1516.843
200.0,1516.352
250.0,1510.357
300.0,1503.963
350.0,1497.222
400.0,1491.931
450.0,1488.208
500.0,1484.565
550.0,1478.815
600.0,1476.719
700.0,1477.153
800.0,1478.193
900.0,1478.74
1200.0,1480.438
1606.169,1484.127
