depth,speed
0.0,1534.279
10.0,1534.378
20.0,1534.512
30.0,1534.427
40.0,1533.975
50.0,1533.469
60.0,1533.167
70.0,1532.89
80.0,1532.213
90.0,1530.508
100.0,1528.775
110.0,1526.738
120.0,1525.113
130.0,1522.132
140.0,1520.331
150.0,1518.706
160.0,1517.252
170.0,1515.89
180.0,1514.335
190.0,1513.244
200.0,1512.215
250.0,1506.378
300.0,1497.529
350.0,1491.982
400.0,1486.166
450.0,1482.347
500.0,1481.959
550.0,1480.551
600.0,1479.7
700.0,1478.448
800.0,1478.301
900.0,1478.071
1200.0,1479.732
1606.169,1484.538
