# cfgfile = ./initcfg/FUKU/FUKU.1309.kaiyo_kx-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,1.983092,0.0,0.0,0.0,False,27497.542585,-40.44106,1223.16733,15.77617,194.47,0.05,-0.65,27500.587235,-39.83651,1217.8732,15.72998,196.13,1.77,-1.43
1,S01,L01,M12,2.529877,0.0,0.0,0.0,False,27507.543045,-38.38161,1204.46558,15.90472,199.39,2.28,-1.83,27511.13448,-38.95073,1197.66969,14.89428,199.61,-1.94,0.0
2,S01,L01,M13,3.041268,0.0,0.0,0.0,False,27517.54342,-38.95312,1185.389,15.74285,200.3,-0.2,1.12,27521.646245,-36.95663,1177.42128,15.53104,199.72,1.19,-2.9
3,S01,L01,M14,2.479526,0.0,0.0,0.0,False,27527.543775,-37.87102,1165.95447,15.61132,199.19,0.88,-0.73,27531.08486,-37.50364,1158.64204,15.50672,198.99,-0.07,-1.51
4,S01,L01,M11,1.927567,0.0,0.0,0.0,False,27537.544195,-37.59382,1145.52548,15.80484,198.37,0.82,-1.44,27540.53332,-37.70617,1139.27621,15.35262,198.05,0.48,-1.22
5,S01,L01,M12,2.458157,0.0,0.0,0.0,False,27547.544575,-37.35679,1124.5579,15.81157,196.34,0.7,-1.68,27551.06429,-38.02425,1117.24275,15.77773,196.28,1.37,-0.08
6,S01,L01,M13,2.949173,0.0,0.0,0.0,False,27557.544925,-37.01378,1103.26235,16.13446,193.68,0.8,-2.13,27561.555655,-37.27906,1094.07929,15.58253,193.23,1.12,-0.26
7,S01,L01,M14,2.404571,0.0,0.0,0.0,False,27567.54527,-35.62543,1081.21096,15.68508,191.18,-0.56,-3.41,27571.0114,-36.30213,1073.05541,16.34012,190.71,0.95,0.45
8,S01,L01,M11,1.871382,0.0,0.0,0.0,False,27577.54565,-34.17397,1058.43642,15.35374,190.82,-1.23,-2.5,27580.47859,-34.4021,1051.68761,16.13755,190.39,-0.28,-0.08
9,S01,L01,M12,2.379732,0.0,0.0,0.0,False,27587.54605,-32.6032,1035.27034,15.0415,190.94,-0.85,-2.27,27590.98734,-32.77273,1027.3302,15.84963,190.13,-0.99,0.48
