# cfgfile = ./initcfg/FUKU/FUKU.1408.meiyo_mx-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,1.936492,0.0,0.0,0.0,False,43104.540735,-28.0242,1166.86917,13.40877,190.96,0.31,0.17,43107.538785,-29.13698,1161.29028,13.1619,190.05,-0.35,0.04
1,S01,L01,M12,2.470407,0.0,0.0,0.0,False,43114.54081,-31.79476,1149.18711,13.18475,187.42,-1.53,1.25,43118.072775,-32.46905,1142.98479,13.3682,185.94,1.13,-0.26
2,S01,L01,M13,2.972653,0.0,0.0,0.0,False,43124.54086,-34.71623,1131.37836,13.19001,183.4,-1.0,1.36,43128.57507,-34.67699,1124.28461,13.63054,181.63,0.67,-0.36
3,S01,L01,M14,2.426271,0.0,0.0,0.0,False,43134.54089,-36.00733,1113.7056,13.56875,179.54,0.31,0.3,43138.02872,-36.4877,1107.06095,12.94955,177.88,-1.18,0.92
4,S01,L01,M11,1.889122,0.0,0.0,0.0,False,43144.54084,-36.93911,1095.54671,13.24997,175.05,-1.54,0.83,43147.49152,-36.7099,1090.42032,12.8945,173.82,0.36,0.2
5,S01,L01,M12,2.410237,0.0,0.0,0.0,False,43154.54093,-36.62381,1077.66843,13.41636,170.37,-0.82,0.33,43158.012725,-35.99349,1071.48295,13.02336,168.9,0.14,0.5
6,S01,L01,M13,2.894148,0.0,0.0,0.0,False,43164.541015,-34.72904,1059.8612,13.18381,166.88,-1.14,0.06,43168.49672,-34.28443,1052.76001,13.49465,167.03,0.4,1.11
7,S01,L01,M14,2.366226,0.0,0.0,0.0,False,43174.54107,-32.64007,1042.30326,13.16369,167.71,-0.42,0.72,43177.968855,-31.31345,1036.12184,13.36833,168.11,-0.35,-0.07
8,S01,L01,M11,1.845852,0.0,0.0,0.0,False,43184.54117,-29.64429,1024.80693,13.21551,170.22,-0.11,0.17,43187.44858,-29.12004,1019.67133,13.90273,171.04,0.46,0.58
9,S01,L01,M12,2.347497,0.0,0.0,0.0,False,43194.541115,-27.55241,1006.99319,13.50151,173.91,0.4,0.4,43197.95017,-26.75146,1000.80705,13.48497,175.03,-0.54,0.14
10,S01,L01,M13,2.816693,0.0,0.0,0.0,False,43204.541125,-25.81653,988.7898,13.34035,177.87,-0.17,-0.17,43208.419375,-25.61186,981.79506,13.61435,179.61,0.27,0.19
11,S01,L01,M14,2.308506,0.0,0.0,0.0,False,43214.54125,-25.08062,970.51424,13.3525,182.04,0.13,-0.58,43217.911315,-25.57585,964.22901,13.69226,183.73,-0.19,0.48
12,S01,L01,M11,1.805277,0.0,0.0,0.0,False,43224.54122,-25.94069,952.34189,13.75339,186.5,1.16,0.14,43227.408055,-26.1843,946.78795,13.41341,187.74,-1.06,-0.5
13,S01,L01,M12,2.289742,0.0,0.0,0.0,False,43234.54133,-27.59911,933.8792,13.49193,188.78,0.51,-0.44,43237.89263,-28.66628,928.13771,13.67182,188.8,-0.02,0.4
14,S01,L01,M13,2.738808,0.0,0.0,0.0,False,43244.54136,-30.12687,916.00427,13.87279,187.47,1.26,-0.06,43248.341725,-31.23525,909.12503,13.27677,185.91,-0.67,0.45
15,S01,L01,M14,2.246476,0.0,0.0,0.0,False,43254.541355,-32.57929,897.85892,13.42296,184.06,0.16,0.09,43257.84939,-33.22587,891.7249,13.50207,182.92,-0.17,0.14
16,S01,L01,M11,1.769487,0.0,0.0,0.0,False,43264.541465,-34.48269,879.7631,13.79974,180.54,1.03,0.2,43267.37251,-34.61682,874.33549,13.50414,179.21,-0.59,0.09
17,S01,L01,M12,2.237852,0.0,0.0,0.0,False,43274.54149,-35.22832,861.50465,13.75809,176.28,0.88,0.76,43277.8409,-35.38367,855.30336,13.42331,175.28,-0.97,0.32
18,S01,L01,M13,2.662543,0.0,0.0,0.0,False,43284.54154,-35.28243,843.18401,13.44899,172.9,0.25,0.64,43288.26564,-34.74432,836.11223,13.07022,172.11,-0.89,0.08
19,S01,L01,M14,2.190421,0.0,0.0,0.0,False,43294.541575,-34.15857,824.75189,13.33586,170.46,-1.21,0.21,43297.793555,-34.00387,819.03423,13.34659,170.44,0.92,0.51
20,S01,L01,M11,1.738012,0.0,0.0,0.0,False,43304.54164,-32.86665,806.58128,13.58507,170.03,-0.5,0.92,43307.34121,-32.11239,801.8681,13.32471,169.64,0.48,0.24
21,S01,L01,M12,2.183047,0.0,0.0,0.0,False,43314.541655,-30.7794,788.59242,13.70944,170.41,0.75,0.17,43317.78626,-30.02766,782.52903,13.03175,171.17,-0.85,0.03
22,S01,L01,M13,2.587338,0.0,0.0,0.0,False,43324.54171,-29.05983,770.08267,13.54261,172.23,-0.15,0.2,43328.190605,-28.16661,763.24815,13.06147,173.36,-0.47,-0.29
23,S01,L01,M14,2.140411,0.0,0.0,0.0,False,43334.54174,-27.58118,751.55614,13.32719,174.71,-0.19,0.03,43337.74371,-27.20818,745.60564,13.39689,175.48,0.13,-0.03
24,S01,L01,M11,1.710897,0.0,0.0,0.0,False,43344.54177,-26.75486,732.53854,13.25719,177.32,-1.28,0.33,43347.314225,-26.61099,727.50361,13.27544,177.67,0.54,0.11
25,S01,L01,M12,2.130707,0.0,0.0,0.0,False,43354.541845,-26.49958,713.98965,13.05773,178.99,-0.84,0.08,43357.73411,-26.75605,707.66439,13.45582,179.85,0.26,0.46
26,S01,L01,M13,2.511543,0.0,0.0,0.0,False,43364.54181,-26.96999,695.10647,13.43892,181.49,-0.14,-0.31,43368.11491,-27.59512,688.06807,13.17355,182.18,-0.71,0.45
27,S01,L01,M14,2.088336,0.0,0.0,0.0,False,43374.541915,-28.56471,676.09136,13.59545,183.08,-0.25,0.31,43377.69181,-28.94787,670.06844,13.09818,183.78,-0.43,-0.58
28,S01,L01,M11,1.689567,0.0,0.0,0.0,False,43384.54195,-30.61304,657.20325,13.62099,184.38,0.25,-0.21,43387.293075,-31.13126,651.60883,13.20791,184.35,-0.8,-0.27
29,S01,L01,M12,2.087467,0.0,0.0,0.0,False,43394.542,-33.43043,638.18042,13.45147,183.64,-0.22,0.07,43397.691025,-34.30243,632.09783,13.4792,183.18,0.03,-0.06
30,S01,L01,M13,2.437723,0.0,0.0,0.0,False,43404.542055,-36.45883,619.25086,13.64521,181.21,-0.05,0.33,43408.041335,-37.40082,612.71808,13.38865,179.93,0.2,0.08
31,S01,L01,M14,2.036076,0.0,0.0,0.0,False,43414.54205,-39.07241,600.58146,13.70845,177.58,0.54,0.74,43417.639685,-39.57427,594.50358,13.26276,176.39,-0.97,0.25
32,S01,L01,M11,1.674507,0.0,0.0,0.0,False,43424.542115,-40.60627,581.67431,13.75482,173.81,0.13,0.55,43427.27818,-40.61927,576.23625,13.10428,172.5,-1.21,0.56
33,S01,L01,M12,2.048217,0.0,0.0,0.0,False,43434.542175,-40.67877,562.72238,13.42488,170.46,-0.85,0.25,43437.65195,-40.72861,556.9034,13.50168,169.89,0.08,0.69
34,S01,L01,M13,2.366318,0.0,0.0,0.0,False,43444.542305,-39.7292,543.82842,13.21253,168.47,-0.33,0.31,43447.97018,-39.41993,537.8357,13.68129,168.12,0.87,0.71
35,S01,L01,M14,1.994061,0.0,0.0,0.0,False,43454.542205,-37.7622,525.40301,13.27229,167.84,0.4,-0.42,43457.597825,-37.47395,519.34456,13.1858,168.16,-0.82,0.59
36,S01,L01,M11,1.665272,0.0,0.0,0.0,False,43464.542335,-35.71224,506.47479,13.10349,168.94,-0.85,1.09,43467.269165,-34.71512,501.52555,13.76479,168.86,0.94,0.27
37,S01,L01,M12,2.005267,0.0,0.0,0.0,False,43474.542385,-32.55993,487.79045,13.42277,170.58,0.2,-0.23,43477.60921,-31.93027,481.65855,13.36263,170.98,-0.33,0.69
38,S01,L01,M13,2.296248,0.0,0.0,0.0,False,43484.542435,-30.2316,468.47204,13.03371,172.68,-1.0,-0.02,43487.90024,-29.43753,461.94327,13.61497,173.47,0.66,0.14
39,S01,L01,M14,1.960091,0.0,0.0,0.0,False,43494.542405,-28.13666,449.02875,13.26511,174.79,0.02,-0.13,43497.564055,-27.66753,443.17528,13.69178,175.56,0.43,-0.14
40,S01,L01,M11,1.662047,0.0,0.0,0.0,False,43504.54252,-26.75371,429.30391,13.79621,176.6,0.47,-0.06,43507.266125,-26.17909,423.82102,13.21766,176.98,-0.52,-0.41
41,S01,L01,M12,1.966302,0.0,0.0,0.0,False,43514.542515,-25.62097,409.64341,13.59209,178.25,0.21,-0.23,43517.570375,-25.61142,403.27163,13.03134,179.04,-0.45,0.16
42,S01,L01,M13,2.225773,0.0,0.0,0.0,False,43524.54254,-25.28218,389.53298,13.14777,180.08,-0.47,0.32,43527.82987,-25.29596,382.97059,13.54026,180.92,0.34,-0.21
43,S01,L01,M14,1.925586,0.0,0.0,0.0,False,43534.542645,-25.3439,369.61096,13.6006,181.37,0.59,0.06,43537.52979,-25.49585,363.27199,13.17493,181.39,-1.16,0.58
44,S01,L01,M11,1.665412,0.0,0.0,0.0,False,43544.54268,-25.68931,349.15257,13.14367,181.97,-1.67,0.29,43547.26965,-25.68431,344.00337,13.33737,182.16,0.64,-0.13
45,S01,L01,M12,1.935827,0.0,0.0,0.0,False,43554.542635,-26.05902,329.28884,13.29419,182.7,0.3,-0.18,43557.54002,-26.60094,323.07038,13.61026,182.8,-0.44,0.69
46,S01,L01,M13,2.157293,0.0,0.0,0.0,False,43564.5427,-26.96034,309.14179,13.4969,182.97,0.07,0.3,43567.76155,-27.25569,302.62947,13.37344,182.76,-0.09,0.2
