# cfgfile = ./initcfg/FUKU/FUKU.1702.takuyo_t2-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,2.077482,0.0,0.0,0.0,False,22878.20207,884.04672,694.95403,21.11709,243.45,1.54,-1.02,22881.34111,874.56526,689.50243,20.53708,243.15,-0.17,0.86
1,S01,L01,M12,2.014682,0.0,0.0,0.0,False,22879.00207,881.57812,693.64882,20.9375,243.34,1.39,-0.05,22882.07831,872.71239,687.7735,20.74248,243.33,-0.31,-0.14
2,S01,L01,M13,2.775388,0.0,0.0,0.0,False,22879.80207,878.97892,692.37501,20.61635,243.27,0.75,0.81,22883.639015,868.71113,684.15583,20.91005,244.22,-0.27,-2.36
3,S01,L01,M12,1.996117,0.0,0.0,0.0,False,22888.20207,855.09603,677.33914,20.56411,244.9,0.37,1.37,22891.259745,847.43308,670.00144,20.87926,245.62,0.33,-2.72
4,S01,L01,M13,2.745303,0.0,0.0,0.0,False,22889.00207,852.85747,675.61937,20.64206,245.09,-0.02,0.74,22892.80893,842.56938,668.12533,20.47694,245.75,0.37,-0.93
5,S01,L01,M14,2.751111,0.0,0.0,0.0,False,22889.80207,850.9564,673.53945,20.81086,245.28,-0.07,-0.6,22893.61474,839.87792,667.36834,20.41285,246.0,0.24,0.46
6,S01,L01,M13,2.716138,0.0,0.0,0.0,False,22898.20207,827.01427,658.60962,20.58346,247.18,0.56,-1.24,22901.979765,815.69348,652.18606,21.04192,248.25,-0.04,-0.75
7,S01,L01,M11,2.022027,0.0,0.0,0.0,False,22899.80207,821.94992,656.37261,20.63532,247.42,0.08,-0.12,22902.885655,813.27564,650.46251,21.10337,248.47,0.56,-1.02
8,S01,L01,M11,1.998832,0.0,0.0,0.0,False,22909.00207,795.26874,639.40859,20.65193,249.43,-0.13,-2.95,22912.06246,785.71087,636.49254,20.84428,249.99,0.48,0.69
9,S01,L01,M12,1.956777,0.0,0.0,0.0,False,22909.80207,792.65142,638.52652,20.1516,249.81,-0.38,-2.33,22912.820405,783.64427,635.03126,21.42365,249.74,0.84,0.59
10,S01,L01,M13,2.654843,0.0,0.0,0.0,False,22918.20207,768.12161,625.48273,21.10679,247.73,0.9,-1.41,22921.91847,756.98531,619.89287,20.66796,246.9,0.33,-0.37
11,S01,L01,M12,1.941902,0.0,0.0,0.0,False,22919.00207,765.76321,623.73133,21.19525,247.67,0.39,-2.15,22922.00553,756.73565,619.79574,20.69648,246.9,0.33,-0.37
12,S01,L01,M11,1.973007,0.0,0.0,0.0,False,22919.80207,763.25956,622.24629,20.91396,247.91,-0.29,-2.69,22922.836635,754.32463,618.60901,20.98888,246.29,0.57,0.26
13,S01,L01,M14,2.614241,0.0,0.0,0.0,False,22928.20207,739.01181,609.49484,20.72046,242.68,1.12,0.18,22931.87787,729.25668,602.83817,20.64478,239.94,0.5,-0.43
14,S01,L01,M13,2.622328,0.0,0.0,0.0,False,22929.00207,736.7258,607.69525,20.59639,242.27,0.42,-0.34,22932.685955,726.81824,601.48798,20.65487,239.45,0.21,-0.23
15,S01,L01,M12,1.924212,0.0,0.0,0.0,False,22929.80207,734.58635,605.97653,20.45895,241.85,-0.16,-0.93,22932.78784,726.50538,601.29026,20.64714,239.41,0.13,-0.24
16,S01,L01,M11,1.932247,0.0,0.0,0.0,False,22938.20207,711.54816,591.06496,20.72856,236.09,1.02,1.55,22941.195875,703.81178,584.64757,21.02222,234.64,0.43,0.21
17,S01,L01,M14,2.577331,0.0,0.0,0.0,False,22939.00207,709.0318,589.51802,20.61462,235.59,0.38,2.07,22942.64096,700.61073,581.4289,20.74939,233.73,1.12,-0.92
