# cfgfile = ./initcfg/FUKU/FUKU.1703.meiyo_m5-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,2.090687,0.0,0.0,0.0,False,41084.398895,857.22639,777.38939,11.83474,236.24,-1.26,-0.05,41087.55114,848.15842,769.52011,12.09788,233.86,-0.97,-2.3
1,S01,L01,M12,2.074727,0.0,0.0,0.0,False,41085.18888,854.95865,775.45655,11.48672,235.28,-1.42,-0.48,41088.325165,845.74776,767.71481,12.25404,233.13,-1.19,-2.05
2,S01,L01,M13,2.848443,0.0,0.0,0.0,False,41085.97887,852.85524,773.50077,11.53032,234.61,-0.84,-1.37,41089.88887,841.07685,763.89604,12.33215,231.83,-0.83,-1.5
3,S01,L01,M12,2.050807,0.0,0.0,0.0,False,41094.39896,828.41783,751.86829,11.81423,227.52,-0.97,-1.39,41097.511325,820.63626,743.49526,12.02884,225.32,-0.46,-0.97
4,S01,L01,M13,2.811733,0.0,0.0,0.0,False,41095.18895,826.37444,749.79097,11.79275,226.98,-1.09,-1.57,41099.06224,817.01565,739.2218,11.826,224.41,-0.41,-1.12
5,S01,L01,M13,2.776908,0.0,0.0,0.0,False,41104.39898,805.06746,724.44126,12.87189,222.42,0.7,-1.74,41108.237445,797.35911,713.26123,12.05221,220.7,0.88,-2.51
6,S01,L01,M14,2.746236,0.0,0.0,0.0,False,41105.188965,803.13075,721.84156,12.49431,222.2,-0.5,-1.76,41108.99676,796.12243,710.60114,12.45274,220.86,0.43,-3.55
7,S01,L01,M11,2.033682,0.0,0.0,0.0,False,41105.979055,801.13286,719.40877,11.73812,222.11,-1.74,-1.75,41109.074295,795.96413,710.32822,12.46135,220.93,0.28,-3.63
8,S01,L01,M14,2.716231,0.0,0.0,0.0,False,41114.399275,785.71156,695.45582,12.20742,221.67,-1.2,-2.52,41118.177065,778.61305,685.09153,12.57552,222.96,-0.54,-2.37
9,S01,L01,M11,2.014827,0.0,0.0,0.0,False,41115.189885,784.08085,693.40804,11.94432,222.14,-1.29,-2.39,41118.26627,778.48333,684.79922,12.57234,223.04,-0.55,-2.52
10,S01,L01,M12,1.998667,0.0,0.0,0.0,False,41115.97904,782.42012,691.48661,11.94069,222.23,-1.0,-1.9,41119.039265,777.26834,682.36063,12.32617,223.72,-0.55,-3.48
11,S01,L01,M11,1.997202,0.0,0.0,0.0,False,41124.39914,767.43347,668.04904,11.77273,227.17,-2.98,-3.81,41127.4579,761.74424,661.58587,12.6152,228.72,0.85,-0.92
12,S01,L01,M12,1.979142,0.0,0.0,0.0,False,41125.18913,766.11156,666.32716,11.59527,227.74,-2.14,-3.57,41128.22983,760.2469,659.17727,12.59269,229.28,-0.53,-1.66
13,S01,L01,M13,2.701658,0.0,0.0,0.0,False,41125.97922,764.69045,664.98774,11.83056,228.15,-0.21,-2.45,41129.742435,757.44823,655.3757,11.93829,231.16,-1.32,-3.02
14,S01,L01,M12,1.961962,0.0,0.0,0.0,False,41134.3992,748.8672,644.47704,11.96808,234.72,-1.54,-4.36,41137.42272,742.58999,639.18128,11.99299,237.24,-0.09,-0.86
15,S01,L01,M13,2.673968,0.0,0.0,0.0,False,41135.189185,747.68565,642.96043,12.08584,235.58,0.16,-4.24,41138.92471,739.65983,635.79156,11.93326,237.63,-1.79,-1.47
