# cfgfile = ./initcfg/FUKU/FUKU.1903.kaiyo_k4-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,1.872672,0.0,0.0,0.0,False,16532.402295,-20.15749,1065.24698,14.90661,188.52,0.35,-2.05,16535.336525,-20.75928,1055.166,14.95718,189.35,-0.26,-1.97
1,S01,L01,M12,2.393662,0.0,0.0,0.0,False,16533.49236,-20.00139,1061.59185,14.89206,188.93,0.76,-3.04,16536.94758,-21.30648,1050.10132,15.12529,189.21,0.08,-0.51
2,S01,L01,M12,2.369197,0.0,0.0,0.0,False,16542.402695,-21.70616,1031.79579,15.14917,189.02,-0.07,-0.66,16545.83345,-22.02037,1020.22057,14.99255,189.0,0.26,-2.07
3,S01,L01,M13,2.862983,0.0,0.0,0.0,False,16543.49276,-22.11288,1028.22613,15.20284,188.86,0.34,-0.26,16547.4173,-21.79638,1015.01222,14.81943,189.17,0.4,-2.72
4,S01,L01,M13,2.830783,0.0,0.0,0.0,False,16552.3931,-23.18325,998.41283,14.99936,189.19,-0.26,0.53,16556.28544,-23.11124,985.15247,15.50026,189.58,0.38,-2.32
5,S01,L01,M14,2.332791,0.0,0.0,0.0,False,16553.48317,-22.88402,994.62448,15.00327,189.05,0.17,-0.89,16556.87752,-23.34212,983.1638,15.34645,189.55,0.11,-1.91
6,S01,L01,M14,2.307886,0.0,0.0,0.0,False,16562.393525,-24.64171,965.21275,15.37375,190.06,0.2,0.87,16565.76297,-23.73004,953.54493,14.58913,189.93,-0.41,-3.83
7,S01,L01,M11,1.812847,0.0,0.0,0.0,False,16563.48359,-24.96993,961.62862,15.43516,189.8,0.15,0.65,16566.357995,-23.47692,951.60657,14.53354,190.12,0.0,-4.42
8,S01,L01,M11,1.797277,0.0,0.0,0.0,False,16572.393855,-25.46819,931.85347,14.80962,189.29,0.35,-1.26,16575.25269,-25.09244,922.45679,14.95445,189.78,0.2,-3.26
9,S01,L01,M12,2.287792,0.0,0.0,0.0,False,16573.48392,-24.82324,928.20237,14.62331,189.42,0.63,-3.47,16576.83327,-26.50724,917.45551,15.30492,189.48,-0.66,0.36
10,S01,L01,M12,2.265497,0.0,0.0,0.0,False,16582.39438,-25.82007,898.9401,14.55935,188.42,0.54,-3.76,16585.721435,-26.74983,888.23159,15.30025,188.85,-0.41,0.38
11,S01,L01,M13,2.721238,0.0,0.0,0.0,False,16583.484345,-25.95151,895.42686,14.66662,188.61,0.65,-2.87,16587.26714,-27.29888,883.22777,15.45657,188.28,-1.04,1.42
12,S01,L01,M13,2.690518,0.0,0.0,0.0,False,16592.39468,-25.96962,866.29563,14.49743,187.73,0.22,-4.75,16596.146755,-27.3786,854.36455,15.25014,187.86,-0.57,1.79
13,S01,L01,M14,2.225966,0.0,0.0,0.0,False,16593.48485,-26.05838,862.82396,14.61515,187.48,0.25,-3.18,16596.772375,-27.61901,852.34375,15.23435,187.88,-0.75,2.16
14,S01,L01,M14,2.203886,0.0,0.0,0.0,False,16602.39508,-25.71714,833.76551,14.72792,186.74,-0.19,-3.49,16605.660525,-26.87546,823.40525,15.06959,187.45,-0.27,0.39
15,S01,L01,M11,1.750217,0.0,0.0,0.0,False,16603.485145,-26.03699,830.59999,15.06364,186.72,0.93,-1.97,16606.29692,-26.80925,821.16297,14.807,187.33,-1.03,0.39
16,S01,L01,M11,1.738277,0.0,0.0,0.0,False,16612.395435,-26.1856,801.74554,15.06554,186.56,-0.63,-1.33,16615.19527,-24.89517,792.73441,14.31898,186.7,0.69,-3.25
17,S01,L01,M12,2.190732,0.0,0.0,0.0,False,16613.485505,-25.65648,798.18088,14.61479,186.57,-0.28,-2.69,16616.737795,-24.74863,787.65503,14.53511,186.98,0.35,-1.54
18,S01,L01,M12,2.170887,0.0,0.0,0.0,False,16622.395895,-24.6912,769.39616,15.23906,186.13,-0.48,-3.03,16625.62834,-24.06698,758.98941,14.46538,186.56,0.72,-3.23
19,S01,L01,M13,2.586363,0.0,0.0,0.0,False,16623.48596,-24.03397,765.98681,14.99697,186.22,0.68,-4.77,16627.13388,-24.05018,754.17121,14.18212,186.96,-0.06,-1.1
20,S01,L01,M14,2.133526,0.0,0.0,0.0,False,16633.48634,-22.99479,734.11935,15.71478,185.91,0.62,-3.77,16636.681425,-22.55128,723.63491,14.31558,186.24,-0.1,-2.72
21,S01,L01,M14,2.115431,0.0,0.0,0.0,False,16642.39668,-21.80185,705.92577,15.20072,187.26,-0.06,-2.46,16645.57367,-21.26134,695.59366,14.80634,185.9,-1.16,-1.8
22,S01,L01,M11,1.704892,0.0,0.0,0.0,False,16643.486745,-21.46069,702.43644,15.20022,187.0,-0.73,-2.91,16646.253195,-21.13556,693.47924,14.84996,185.8,-0.5,-1.67
23,S01,L01,M11,1.696482,0.0,0.0,0.0,False,16652.39713,-20.80401,674.09698,14.55403,187.44,-0.57,-2.45,16655.15517,-19.74496,665.48956,14.64864,186.97,-0.77,-2.4
24,S01,L01,M12,2.103937,0.0,0.0,0.0,False,16653.4872,-20.10029,670.92029,14.49094,187.46,-0.08,-3.33,16656.652695,-19.96852,660.8146,14.96759,186.72,-0.44,-0.28
25,S01,L01,M12,2.086642,0.0,0.0,0.0,False,16662.39743,-19.20113,642.7008,14.40582,187.48,0.01,-4.48,16665.54563,-19.56897,633.01209,15.19379,187.76,-0.23,-0.02
26,S01,L01,M13,2.460823,0.0,0.0,0.0,False,16663.4876,-18.7126,639.29726,14.43171,187.75,0.1,-4.58,16667.00998,-20.32792,628.46855,15.47005,187.85,-0.62,2.02
27,S01,L01,M13,2.433698,0.0,0.0,0.0,False,16672.397835,-18.19512,611.27029,14.67813,188.22,-0.04,-4.2,16675.89309,-19.46841,600.86436,15.12314,189.07,-0.58,1.07
28,S01,L01,M14,2.054571,0.0,0.0,0.0,False,16673.4879,-18.34132,608.03746,14.75041,188.87,-0.03,-3.14,16676.60403,-19.47863,598.576,15.06928,188.91,-0.9,1.29
29,S01,L01,M14,2.037771,0.0,0.0,0.0,False,16682.398615,-18.47582,580.0103,14.92795,188.97,0.88,-3.1,16685.497945,-18.78764,570.86831,14.70814,189.72,0.05,-0.87
30,S01,L01,M11,1.676082,0.0,0.0,0.0,False,16683.48827,-18.39099,576.71159,14.71801,189.35,0.9,-2.99,16686.22591,-18.82311,568.4996,14.58566,189.55,-1.0,-0.27
31,S01,L01,M11,1.672682,0.0,0.0,0.0,False,16692.398645,-18.66338,548.98546,15.56142,188.43,0.22,-1.98,16695.132885,-17.93366,540.50985,14.66883,189.42,0.63,-3.83
