# cfgfile = ./initcfg/KAMN/KAMN.1104.takuyo_t1-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,3.594052,0.0,0.0,0.0,False,41835.20207,-47.29141,2634.59183,20.08237,172.38,0.18,0.66,41839.857445,-47.16505,2618.10343,19.51495,171.67,0.34,-0.72
1,S01,L01,M12,4.766281,0.0,0.0,0.0,False,41845.20207,-48.99381,2598.94859,20.52955,172.34,0.28,1.06,41851.02968,-49.42969,2578.45966,19.45932,172.11,0.2,-1.0
2,S01,L01,M13,5.686992,0.0,0.0,0.0,False,41855.20207,-50.97298,2563.47074,20.22394,172.63,0.46,0.76,41861.950385,-52.67482,2540.07913,19.77268,172.29,0.27,-0.01
3,S01,L01,M14,4.714036,0.0,0.0,0.0,False,41865.20207,-52.88405,2528.52696,20.20526,172.55,1.06,-0.63,41870.97743,-55.01732,2508.33564,20.02067,172.71,-0.25,0.17
4,S01,L01,M11,3.505092,0.0,0.0,0.0,False,41875.20207,-56.26815,2493.62479,20.43862,172.19,1.26,0.76,41879.768485,-56.69315,2477.72063,19.86725,172.42,0.47,-0.31
5,S01,L01,M12,4.644516,0.0,0.0,0.0,False,41885.20207,-58.53864,2458.78725,20.57922,172.21,0.71,0.55,41890.907915,-59.51788,2439.07304,20.43169,173.18,0.82,-0.08
6,S01,L01,M13,5.531742,0.0,0.0,0.0,False,41895.20207,-60.789,2423.95143,19.94655,172.42,-0.66,0.5,41901.795135,-61.91005,2401.57167,20.32374,172.88,0.91,-0.69
7,S01,L01,M14,4.587526,0.0,0.0,0.0,False,41905.20207,-63.33617,2389.7575,19.99414,172.25,-0.12,1.18,41910.85092,-64.01735,2370.4499,20.35716,171.99,0.57,-0.6
8,S01,L01,M11,3.426032,0.0,0.0,0.0,False,41915.20207,-64.96458,2355.91758,20.26731,172.09,1.25,0.02,41919.689425,-66.20592,2340.52425,20.09702,171.41,-0.41,0.34
9,S01,L01,M12,4.529296,0.0,0.0,0.0,False,41925.20207,-66.76115,2321.84724,20.43002,171.17,1.4,-0.41,41930.792695,-68.10537,2303.06575,19.9046,170.35,-0.02,0.89
10,S01,L01,M13,5.382522,0.0,0.0,0.0,False,41935.20207,-68.4471,2288.2973,20.88302,169.3,1.46,0.25,41941.645915,-69.60044,2266.78892,19.61286,169.3,-0.35,1.28
11,S01,L01,M14,4.470176,0.0,0.0,0.0,False,41945.20207,-69.26777,2255.27638,20.87958,168.16,1.45,0.48,41950.73357,-70.36543,2236.91665,20.13987,169.39,-0.14,0.6
12,S01,L01,M11,3.357732,0.0,0.0,0.0,False,41955.20207,-69.77542,2222.51178,20.16427,168.07,0.87,-0.15,41959.621125,-71.04977,2207.7221,20.85068,169.38,0.55,0.84
13,S01,L01,M12,4.420831,0.0,0.0,0.0,False,41965.20207,-70.39934,2190.06947,19.93904,168.08,0.68,-0.49,41970.68423,-71.41653,2171.92052,20.787,168.6,0.72,0.93
14,S01,L01,M13,5.240477,0.0,0.0,0.0,False,41975.20207,-71.3118,2157.45464,20.03351,168.15,0.12,-0.06,41981.50387,-71.13927,2136.91345,20.6077,168.15,0.94,-0.28
15,S01,L01,M14,4.362496,0.0,0.0,0.0,False,41985.20207,-72.18108,2124.91503,20.51698,167.97,0.48,1.52,41990.62589,-71.13669,2107.46374,20.17939,167.34,0.4,-0.08
16,S01,L01,M11,3.298772,0.0,0.0,0.0,False,41995.20207,-71.23909,2092.68374,20.64005,167.83,0.76,-0.11,41999.562165,-71.32745,2078.42305,19.987,167.0,-0.03,1.05
17,S01,L01,M12,4.316721,0.0,0.0,0.0,False,42005.20207,-71.41552,2060.16721,20.61985,167.51,0.66,1.04,42010.58012,-70.20786,2043.05589,20.20338,166.94,0.52,-0.44
18,S01,L01,M13,5.101847,0.0,0.0,0.0,False,42015.20207,-69.91584,2027.88525,20.44317,167.17,0.43,0.15,42021.36524,-70.12495,2008.00065,20.11647,167.19,0.31,0.81
19,S01,L01,M14,4.261556,0.0,0.0,0.0,False,42025.20207,-69.17241,1995.79461,20.35487,167.61,0.7,-0.65,42030.52495,-69.58336,1978.17822,20.47072,167.93,0.56,0.86
20,S01,L01,M11,3.248047,0.0,0.0,0.0,False,42035.20207,-69.14959,1963.22802,20.0383,168.16,0.65,-0.0,42039.51144,-68.83886,1949.0463,20.30694,168.43,-0.35,-0.16
21,S01,L01,M12,4.215926,0.0,0.0,0.0,False,42045.20207,-68.81155,1930.40614,20.08181,168.52,0.69,0.24,42050.479325,-68.68931,1913.16811,20.30792,168.74,-0.85,-0.51
22,S01,L01,M13,4.964377,0.0,0.0,0.0,False,42055.20207,-68.86589,1897.66705,20.1698,169.07,1.25,-0.07,42061.22777,-69.9362,1877.83463,20.41562,169.24,-0.46,1.07
23,S01,L01,M14,4.162851,0.0,0.0,0.0,False,42065.20207,-69.17935,1864.80897,20.19678,169.46,1.13,-0.85,42070.426245,-70.40156,1847.39997,20.17574,170.07,-0.57,0.83
24,S01,L01,M11,3.205707,0.0,0.0,0.0,False,42075.20207,-70.39973,1831.66848,20.01971,169.46,0.36,-0.11,42079.4691,-71.07554,1817.88349,20.42815,170.55,0.84,0.52
25,S01,L01,M12,4.121471,0.0,0.0,0.0,False,42085.20207,-71.80191,1799.16448,20.32372,169.58,0.57,0.47,42090.38487,-72.1174,1782.19966,20.33901,170.76,0.75,-0.06
26,S01,L01,M13,4.828502,0.0,0.0,0.0,False,42095.20207,-73.18669,1766.37611,20.38298,170.02,0.44,0.98,42101.091895,-73.61248,1746.93666,20.16912,171.11,0.38,0.06
