depth,speed
0.0,1486.336
10.0,1486.425
20.0,1486.464
30.0,1486.523
40.0,1486.632
50.0,1486.772
60.0,1486.945
70.0,1487.12
80.0,1487.271
90.0,1487.434
100.0,1487.61
110.0,1487.78
120.0,1487.936
130.0,1488.099
140.0,1488.267
150.0,1488.424
160.0,1488.585
170.0,1488.721
180.0,1488.878
190.0,1489.022
200.0,1489.137
250.0,1489.456
300.0,1487.231
350.0,1480.091
400.0,1479.524
450.0,1473.967
500.0,1471.861
550.0,1471.895
600.0,1473.34
700.0,1476.86
800.0,1478.438
900.0,1478.903
1200.0,1480.876
1600.0,1486.087
2386.7,1496.55
