depth,speed
0.0,1490.366
10.0,1490.293
20.0,1487.746
30.0,1482.027
40.0,1476.132
50.0,1473.458
60.0,1472.88
70.0,1473.093
80.0,1472.317
90.0,1472.07
100.0,1471.548
110.0,1470.541
120.0,1470.074
130.0,1469.937
140.0,1470.139
150.0,1470.085
160.0,1469.63
170.0,1469.109
180.0,1468.355
190.0,1468.718
200.0,1468.35
250.0,1466.913
300.0,1464.636
350.0,1466.452
400.0,1467.315
450.0,1468.966
500.0,1470.763
550.0,1471.37
600.0,1472.383
700.0,1474.174
800.0,1476.504
900.0,1477.587
1200.0,1480.175
1600.0,1485.191
2386.7,1495.105
