# cfgfile = ./initcfg/KAMN/KAMN.1309.kaiyo_kx-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,3.501582,0.0,0.0,0.0,False,71109.538525,-88.62243,2473.61239,14.06441,175.88,0.26,-1.38,71114.10143,-89.47933,2463.96666,14.05581,178.53,-0.42,0.26
1,S01,L01,M12,4.663266,0.0,0.0,0.0,False,71119.538955,-90.2672,2452.43857,14.40714,178.42,1.23,-1.63,71125.26355,-92.31536,2439.88163,13.8828,177.18,-1.86,-0.69
2,S01,L01,M11,3.458697,0.0,0.0,0.0,False,71149.540075,-89.14086,2396.51006,14.85643,153.99,1.05,1.92,71154.060095,-85.29546,2389.91357,14.53402,155.33,0.26,-0.5
3,S01,L01,M12,4.598366,0.0,0.0,0.0,False,71159.54048,-81.69802,2381.86659,14.14679,158.87,-0.69,0.28,71165.200175,-78.41285,2373.91119,14.51202,163.67,-0.23,-1.33
4,S01,L01,M14,4.556126,0.0,0.0,0.0,False,71179.541185,-76.74373,2349.63037,14.6369,179.6,0.54,-0.4,71185.158635,-77.89007,2337.51256,14.01359,180.55,-0.42,-1.64
5,S01,L01,M11,3.419307,0.0,0.0,0.0,False,71189.541585,-80.61246,2327.6607,14.97104,178.9,1.27,0.65,71194.022215,-82.13515,2316.62263,14.92811,177.16,0.6,1.37
6,S01,L01,M12,4.527846,0.0,0.0,0.0,False,71199.542005,-82.92134,2302.05783,14.28083,174.94,-0.23,0.33,71205.13118,-83.75195,2287.09577,14.65427,173.47,0.28,1.32
7,S01,L01,M11,3.361617,0.0,0.0,0.0,False,71229.5431,-79.09746,2216.03641,14.56131,170.41,0.43,0.47,71233.96604,-77.26458,2202.62004,14.8446,171.79,0.59,-0.82
8,S01,L01,M11,3.303202,0.0,0.0,0.0,False,71269.544625,-77.11457,2087.28386,14.5647,175.9,0.31,-0.22,71273.90915,-78.1596,2072.53339,14.46812,175.16,-1.03,2.25
9,S01,L01,M12,4.320571,0.0,0.0,0.0,False,71279.54499,-77.17837,2053.78613,14.46021,174.61,-0.32,-0.6,71284.92689,-77.47216,2035.92505,14.29795,174.25,0.37,0.47
10,S01,L01,M14,4.258201,0.0,0.0,0.0,False,71299.54584,-76.08504,1987.51875,14.62235,172.48,2.36,-0.47,71304.865365,-75.29068,1969.05084,14.42603,173.09,0.07,-0.76
11,S01,L01,M11,3.251347,0.0,0.0,0.0,False,71309.546195,-75.39127,1952.7613,14.79334,172.87,-0.15,1.55,71313.858865,-74.24052,1938.23893,14.265,173.78,-0.81,-0.0
12,S01,L01,M11,3.207617,0.0,0.0,0.0,False,71349.537755,-73.34635,1813.81901,14.41366,173.72,-0.35,1.41,71353.806695,-72.57947,1798.86575,14.42049,174.07,-0.22,-1.29
13,S01,L01,M12,4.112711,0.0,0.0,0.0,False,71359.53811,-72.44305,1778.41729,14.29539,173.65,-0.1,0.05,71364.71215,-72.23226,1759.93296,14.45752,174.41,-0.33,-0.17
14,S01,L01,M14,4.057621,0.0,0.0,0.0,False,71379.53896,-70.62254,1706.584,14.20457,173.37,-0.16,0.21,71384.657905,-70.67591,1688.23843,14.77407,173.61,-0.33,0.39
15,S01,L01,M11,3.173932,0.0,0.0,0.0,False,71389.53923,-69.7915,1670.85557,14.50898,174.19,0.0,0.28,71393.774485,-69.44495,1655.4361,14.8751,173.87,0.05,0.13
16,S01,L01,M12,4.014191,0.0,0.0,0.0,False,71399.539565,-69.07404,1635.32371,14.6835,174.85,0.87,-0.57,71404.615085,-69.07189,1616.9282,15.40814,174.85,0.51,0.78
17,S01,L01,M11,3.151767,0.0,0.0,0.0,False,71429.54075,-69.71898,1528.55038,15.07347,175.21,-0.5,0.47,71433.75384,-69.74537,1513.51501,14.30437,175.51,-0.33,-0.67
18,S01,L01,M12,3.925471,0.0,0.0,0.0,False,71439.541175,-70.50599,1493.36134,14.7244,174.81,0.13,0.77,71444.527975,-70.35934,1475.93498,14.83781,175.65,0.62,0.0
19,S01,L01,M14,3.878471,0.0,0.0,0.0,False,71459.541845,-71.24177,1422.5734,14.45572,175.43,-0.2,-0.2,71464.48164,-71.5416,1405.13107,14.55881,175.11,0.26,0.4
20,S01,L01,M12,3.847426,0.0,0.0,0.0,False,71479.54265,-71.46196,1355.01195,14.90691,175.83,0.6,-1.15,71484.451405,-72.16473,1340.52854,15.17372,175.13,0.62,-0.45
21,S01,L01,M14,3.811601,0.0,0.0,0.0,False,71499.54339,-72.53202,1300.87484,14.43475,173.15,-0.11,-2.03,71504.416315,-73.43564,1288.78966,14.94636,173.09,-0.04,0.88
22,S01,L01,M11,3.140952,0.0,0.0,0.0,False,71509.54375,-72.80569,1277.5223,14.8171,173.13,1.29,-1.54,71513.746025,-73.67694,1267.5849,14.8289,172.98,0.39,1.24
23,S01,L01,M12,3.795726,0.0,0.0,0.0,False,71519.544175,-73.95711,1254.2531,14.45419,172.85,-1.79,0.29,71524.40123,-73.79833,1244.20998,14.48713,173.09,-0.44,-0.38
24,S01,L01,M14,3.766466,0.0,0.0,0.0,False,71539.54489,-75.5058,1212.94583,14.81687,171.14,-0.77,0.85,71544.37268,-75.0579,1203.46088,14.77118,170.76,-0.46,0.9
25,S01,L01,M11,3.144822,0.0,0.0,0.0,False,71549.545375,-74.38457,1193.71006,14.71589,170.39,-0.31,-0.59,71553.75152,-73.91433,1185.95505,14.61297,170.3,-0.52,-0.78
26,S01,L01,M12,3.756831,0.0,0.0,0.0,False,71559.545715,-73.93852,1175.16244,14.46705,170.68,-0.95,-0.23,71564.363875,-73.80889,1166.78177,14.51032,170.7,-0.99,0.45
27,S01,L01,M13,4.248647,0.0,0.0,0.0,False,71569.5461,-74.22604,1157.98972,15.05436,170.74,0.06,0.65,71574.85607,-74.11992,1149.15371,14.94051,170.55,0.3,1.24
28,S01,L01,M14,3.732866,0.0,0.0,0.0,False,71579.54643,-73.33848,1141.30818,15.12272,170.44,0.95,-1.41,71584.34062,-74.24853,1133.01593,14.76845,169.88,-0.36,1.38
29,S01,L01,M11,3.151892,0.0,0.0,0.0,False,71589.54686,-73.96972,1124.99986,15.06787,169.84,1.64,0.68,71593.760075,-73.89469,1118.22114,14.8071,169.88,0.67,-0.37
30,S01,L01,M12,3.726266,0.0,0.0,0.0,False,71599.54725,-74.14754,1108.90102,14.90682,170.1,0.18,1.4,71604.334845,-73.70298,1101.61512,14.66734,170.55,0.23,-0.68
31,S01,L01,M13,4.190637,0.0,0.0,0.0,False,71609.537595,-74.03537,1093.79082,15.11816,170.85,0.97,0.29,71614.789555,-73.96231,1085.54425,15.15067,171.5,0.98,-1.3
32,S01,L01,M14,3.704161,0.0,0.0,0.0,False,71619.537945,-74.5307,1078.2498,14.95702,171.2,-0.02,0.2,71624.30343,-74.71746,1071.08577,15.23714,170.96,1.12,-0.62
