depth,speed
0.0,1493.476
10.0,1493.437
20.0,1493.228
30.0,1493.134
40.0,1493.019
50.0,1492.665
60.0,1491.939
70.0,1491.516
80.0,1491.324
90.0,1490.428
100.0,1489.895
110.0,1489.19
120.0,1488.07
130.0,1487.342
140.0,1487.395
150.0,1488.062
160.0,1488.895
170.0,1488.473
180.0,1488.632
190.0,1488.059
200.0,1487.584
250.0,1481.975
300.0,1474.161
350.0,1468.031
400.0,1467.055
450.0,1468.654
500.0,1471.937
550.0,1474.786
600.0,1475.097
700.0,1477.585
800.0,1477.288
900.0,1477.505
1200.0,1480.102
1600.0,1484.992
2386.7,1495.848
