# cfgfile = ./initcfg/KAMN/KAMN.1408.meiyo_mx-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,3.528912,0.0,0.0,0.0,False,20132.547105,-60.35165,2531.29097,11.92241,185.71,0.55,0.06,20137.13734,-60.89131,2515.5845,11.50965,185.58,0.01,-0.11
1,S01,L01,M13,5.571447,0.0,0.0,0.0,False,20152.537175,-62.28042,2462.10612,11.98551,186.85,0.63,-0.04,20159.169945,-63.57891,2439.06752,12.01683,187.43,1.0,0.02
2,S01,L01,M14,4.617906,0.0,0.0,0.0,False,20162.537145,-63.83296,2427.09206,11.20836,187.48,-0.78,-0.95,20168.216375,-65.44706,2407.01398,11.67353,187.14,-0.49,0.55
3,S01,L01,M11,3.446277,0.0,0.0,0.0,False,20172.537265,-66.17558,2391.97938,11.55232,187.15,0.01,0.06,20177.044865,-66.96165,2375.91928,11.61598,186.66,0.26,0.05
4,S01,L01,M12,4.557161,0.0,0.0,0.0,False,20182.537235,-67.70038,2356.22798,11.39407,185.68,0.24,-0.55,20188.155725,-68.57018,2335.85832,11.39585,182.92,-0.36,0.81
5,S01,L01,M13,5.413967,0.0,0.0,0.0,False,20192.53733,-68.06085,2320.00642,11.71664,180.92,-0.25,0.95,20199.01262,-66.36628,2296.3459,11.74637,179.57,-0.09,0.89
6,S01,L01,M14,4.494491,0.0,0.0,0.0,False,20202.54739,-65.27205,2283.62041,11.85156,179.37,0.22,0.3,20208.103205,-63.44191,2262.9305,11.49916,180.44,0.41,1.05
7,S01,L01,M11,3.369812,0.0,0.0,0.0,False,20212.537355,-61.29307,2246.67668,12.05599,181.04,-0.27,-1.01,20216.96849,-60.4071,2230.5529,11.67692,182.28,1.95,-0.2
8,S01,L01,M11,3.302712,0.0,0.0,0.0,False,20252.54154,-61.71805,2100.91624,11.65559,187.49,0.24,-0.3,20256.905575,-62.91105,2084.89778,11.82718,187.45,0.7,0.45
9,S01,L01,M12,4.314841,0.0,0.0,0.0,False,20262.541605,-64.25679,2064.2623,11.30106,186.45,-0.46,-0.26,20267.917775,-65.4849,2044.46888,11.89267,185.66,-0.02,1.24
10,S01,L01,M13,5.097722,0.0,0.0,0.0,False,20272.5416,-65.69511,2027.40802,11.56804,184.99,-0.31,-0.1,20278.700645,-66.35287,2004.6449,11.50922,185.03,-0.43,0.17
