depth,speed
0.0,1526.729
10.0,1528.253
20.0,1520.255
30.0,1512.275
40.0,1508.062
50.0,1505.715
60.0,1503.818
70.0,1501.755
80.0,1499.819
90.0,1497.615
100.0,1495.762
110.0,1494.672
120.0,1493.501
130.0,1491.848
140.0,1491.196
150.0,1490.538
160.0,1489.831
170.0,1488.98
180.0,1488.182
190.0,1487.037
200.0,1485.728
250.0,1481.269
300.0,1479.184
350.0,1476.053
400.0,1476.025
450.0,1474.237
500.0,1473.287
550.0,1475.076
600.0,1476.119
700.0,1476.416
800.0,1477.124
900.0,1477.725
1200.0,1480.13
1600.0,1484.779
2386.7,1495.646
