# cfgfile = ./initcfg/KAMN/KAMN.1501.kaiyo_k4-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,3.481967,0.0,0.0,0.0,False,28767.544805,-88.19646,2440.36049,15.28028,167.43,0.66,2.12,28772.088095,-87.08174,2424.34473,14.46574,167.93,2.05,-3.01
1,S01,L01,M12,4.617926,0.0,0.0,0.0,False,28777.545155,-86.7143,2405.90383,13.51518,168.26,0.01,1.13,28783.22441,-85.44759,2386.39055,14.57558,168.39,0.54,-0.86
2,S01,L01,M13,5.481577,0.0,0.0,0.0,False,28787.54548,-85.61361,2370.88442,14.35145,169.79,-0.11,-0.4,28794.08838,-84.39004,2348.23607,13.52628,169.76,-0.89,0.53
3,S01,L01,M14,4.539681,0.0,0.0,0.0,False,28797.54595,-84.40193,2336.50463,14.58937,170.66,1.19,-0.4,28803.146955,-83.93067,2316.17277,14.13355,170.38,0.2,-0.63
4,S01,L01,M11,3.403457,0.0,0.0,0.0,False,28807.546225,-84.0166,2300.30027,13.31143,170.38,-1.02,-0.25,28812.011005,-83.39351,2284.6039,13.76104,170.29,-0.6,-1.12
5,S01,L01,M12,4.495891,0.0,0.0,0.0,False,28817.546635,-83.95773,2264.81497,13.6648,169.01,-0.82,1.52,28823.103855,-83.19546,2246.21782,14.1417,169.78,1.34,-0.33
6,S01,L01,M11,3.337227,0.0,0.0,0.0,False,28847.53782,-83.28466,2162.95796,13.49958,169.46,-1.47,1.09,28851.93637,-83.01079,2147.47908,15.13242,168.08,0.57,-1.26
7,S01,L01,M12,4.383406,0.0,0.0,0.0,False,28857.53819,-82.37013,2128.95142,12.90565,169.79,1.52,-2.53,28862.982925,-82.40446,2110.03932,15.01787,168.57,-0.26,3.5
8,S01,L01,M13,5.178917,0.0,0.0,0.0,False,28867.53852,-81.30466,2093.46745,14.30154,169.31,1.18,-4.78,28873.77876,-81.04336,2072.16759,13.03369,170.32,-1.01,0.74
9,S01,L01,M14,4.312781,0.0,0.0,0.0,False,28877.538955,-80.64497,2059.06073,14.45215,168.92,-0.28,-0.42,28882.91306,-81.45115,2039.0176,14.59619,168.78,0.84,1.2
10,S01,L01,M11,3.277027,0.0,0.0,0.0,False,28887.53929,-79.33702,2023.2115,12.61061,170.33,-0.75,-2.32,28891.87764,-79.43042,2008.07247,14.18094,170.01,0.2,0.05
11,S01,L01,M12,4.270466,0.0,0.0,0.0,False,28897.539715,-79.92824,1986.95657,14.71215,169.47,1.14,0.16,28902.87151,-79.29006,1968.312,13.25003,170.86,0.44,-0.15
12,S01,L01,M13,5.028307,0.0,0.0,0.0,False,28907.540065,-78.37633,1952.47388,14.87732,170.6,1.99,0.84,28913.629695,-78.80529,1929.5043,14.6771,169.79,-0.05,-1.97
13,S01,L01,M14,4.203461,0.0,0.0,0.0,False,28917.54049,-79.03539,1915.56534,12.97119,170.79,0.03,-0.43,28922.805275,-77.89219,1898.41656,13.61024,170.96,-0.56,-0.22
14,S01,L01,M11,3.228102,0.0,0.0,0.0,False,28927.54082,-79.0168,1881.03496,15.28048,169.94,1.04,-1.28,28931.830245,-78.36127,1865.76707,13.13372,169.91,1.8,-3.6
15,S01,L01,M12,4.164346,0.0,0.0,0.0,False,28937.541265,-77.36594,1845.62656,13.74556,168.53,-1.36,0.95,28942.76694,-77.66047,1826.59038,14.39106,167.22,0.69,-1.44
16,S01,L01,M13,4.879257,0.0,0.0,0.0,False,28947.54166,-76.70482,1809.83459,13.58236,169.16,1.94,-0.14,28953.48224,-75.04419,1788.82836,14.29921,169.47,1.53,-2.38
17,S01,L01,M14,4.101601,0.0,0.0,0.0,False,28957.54206,-75.92603,1773.3119,14.71303,169.38,1.12,0.1,28962.704985,-75.05876,1753.90682,14.03543,169.36,1.51,-1.56
18,S01,L01,M11,3.188552,0.0,0.0,0.0,False,28967.54246,-75.06546,1736.0636,14.56156,170.28,1.81,0.4,28971.792335,-74.08608,1720.63186,14.25006,169.79,2.73,-1.94
19,S01,L01,M12,4.058796,0.0,0.0,0.0,False,28977.542835,-74.4402,1698.16734,15.05209,168.87,1.39,-0.56,28982.66296,-73.31337,1678.79483,13.1915,168.88,0.25,-2.25
20,S01,L01,M13,4.726107,0.0,0.0,0.0,False,28987.54316,-73.06756,1660.12895,14.31883,168.46,-0.42,2.84,28993.33059,-71.05985,1636.6234,14.36025,168.19,0.42,-2.96
21,S01,L01,M14,4.000226,0.0,0.0,0.0,False,28997.54354,-71.0805,1619.90717,13.46292,169.51,0.56,1.02,29002.60509,-69.09412,1599.74266,14.21377,170.2,-0.46,-0.35
22,S01,L01,M11,3.158347,0.0,0.0,0.0,False,29007.54393,-68.87692,1578.66408,14.33486,170.56,0.77,-1.26,29011.7636,-68.54484,1561.24466,13.97388,172.17,1.44,-1.47
23,S01,L01,M12,3.951336,0.0,0.0,0.0,False,29017.544375,-68.01601,1537.82587,14.2242,172.27,1.43,0.37,29022.55704,-69.0318,1516.07754,15.4528,173.48,1.57,1.16
24,S01,L01,M14,3.896571,0.0,0.0,0.0,False,29037.545075,-69.96711,1452.34105,15.0524,173.53,0.11,-0.17,29042.50297,-70.32489,1431.31253,14.42472,173.42,0.76,-1.92
25,S01,L01,M11,3.142182,0.0,0.0,0.0,False,29047.545445,-71.45517,1409.8224,14.0159,172.21,0.1,0.69,29051.74895,-70.81144,1392.08085,14.15261,171.7,0.26,-0.64
26,S01,L01,M12,3.852061,0.0,0.0,0.0,False,29057.54591,-71.2182,1366.77436,14.48884,171.19,0.13,-1.08,29062.4593,-71.08764,1345.51469,14.03727,169.58,0.37,1.04
27,S01,L01,M13,4.396952,0.0,0.0,0.0,False,29067.54626,-69.91097,1324.21927,14.50853,170.25,1.3,-0.11,29073.004535,-69.12676,1300.61572,14.83179,169.74,0.45,-0.03
28,S01,L01,M14,3.802491,0.0,0.0,0.0,False,29077.54667,-68.44778,1280.73613,14.41743,169.36,1.11,-1.13,29082.410485,-67.64724,1260.64934,14.21568,169.54,0.42,0.5
29,S01,L01,M11,3.143097,0.0,0.0,0.0,False,29087.54705,-66.96525,1239.85073,14.82831,167.78,0.35,0.38,29091.75147,-66.39865,1223.44986,14.21018,169.05,1.41,-1.98
30,S01,L01,M12,3.764906,0.0,0.0,0.0,False,29097.537385,-66.27531,1202.2791,14.32296,171.39,0.09,1.68,29102.36362,-66.65035,1185.174,14.93593,173.0,0.57,-2.08
31,S01,L01,M13,4.253307,0.0,0.0,0.0,False,29107.537795,-68.15857,1167.16248,14.21284,173.73,0.45,1.04,29112.852425,-68.57897,1149.73577,13.65179,174.64,-0.28,-1.42
32,S01,L01,M14,3.730091,0.0,0.0,0.0,False,29117.53819,-70.97722,1134.28784,15.01728,172.91,-0.65,1.03,29122.329605,-71.80462,1119.02766,14.0325,172.27,1.11,-1.34
33,S01,L01,M11,3.154732,0.0,0.0,0.0,False,29127.538555,-74.56527,1102.82071,14.16208,172.14,-1.44,3.5,29131.75461,-73.77124,1091.1033,13.91604,172.49,0.75,-3.76
34,S01,L01,M12,3.712151,0.0,0.0,0.0,False,29137.53891,-77.1438,1073.55071,14.95243,171.08,-0.02,1.05,29142.31239,-77.65041,1060.58825,13.5277,171.28,0.47,-1.87
35,S01,L01,M13,4.146947,0.0,0.0,0.0,False,29147.53932,-79.54444,1046.55846,14.29456,169.61,0.51,-0.77,29152.74759,-81.37037,1032.58272,15.00466,169.32,2.14,-0.14
36,S01,L01,M14,3.674071,0.0,0.0,0.0,False,29157.539715,-82.39438,1019.82572,14.09255,168.36,0.78,-0.21,29162.27511,-82.70567,1007.92986,14.34006,167.32,0.49,-1.17
37,S01,L01,M11,3.172257,0.0,0.0,0.0,False,29167.54015,-83.79482,994.23407,14.25951,165.0,-0.12,-0.8,29171.77373,-84.62325,984.32022,14.24529,164.34,0.12,0.31
38,S01,L01,M13,4.063337,0.0,0.0,0.0,False,29187.54083,-85.82134,949.01587,14.03702,162.27,-0.59,-1.06,29192.66549,-86.21219,938.08188,14.31524,162.78,0.85,-0.21
39,S01,L01,M14,3.635976,0.0,0.0,0.0,False,29197.54135,-86.60357,927.72293,14.68431,162.59,1.9,-2.16,29202.23865,-87.64276,917.23793,14.28358,162.61,1.76,0.77
40,S01,L01,M11,3.191302,0.0,0.0,0.0,False,29207.541665,-87.83449,905.80219,15.05097,163.77,2.55,-0.94,29211.79429,-88.84003,895.54522,13.84864,163.59,-0.04,-1.02
41,S01,L01,M14,3.603596,0.0,0.0,0.0,False,29237.54276,-87.42137,836.27772,14.41833,158.54,0.93,-1.95,29242.20768,-87.667,824.41095,14.51277,157.73,0.32,0.33
42,S01,L01,M11,3.216387,0.0,0.0,0.0,False,29247.5432,-85.65871,811.82595,13.76354,157.35,0.58,-0.56,29251.82091,-85.57928,800.85525,14.79607,157.39,0.28,0.68
43,S01,L01,M12,3.608936,0.0,0.0,0.0,False,29257.543535,-83.44633,786.3765,14.0514,157.28,0.07,-0.24,29262.2138,-81.73631,774.77604,13.86895,157.54,-1.19,0.74
44,S01,L01,M13,3.906742,0.0,0.0,0.0,False,29267.543915,-79.64812,761.54726,14.62493,158.03,-0.33,-1.95,29272.51198,-78.20599,749.04693,13.93374,159.46,-0.02,-0.7
45,S01,L01,M11,3.249762,0.0,0.0,0.0,False,29287.5447,-75.70892,710.87687,14.59141,162.5,1.08,0.52,29291.855785,-75.67095,699.3122,15.59026,162.56,1.88,-0.86
