# cfgfile = ./initcfg/KAMN/KAMN.1704.meiyo_m5-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,3.890332,0.0,0.0,0.0,False,2340.39759,1603.81274,1769.6872,10.96075,245.16,-0.75,-0.87,2345.349245,1590.0618,1760.27878,11.59906,244.62,0.31,-2.31
1,S01,L01,M12,3.841876,0.0,0.0,0.0,False,2341.18758,1601.68358,1768.38927,11.07781,244.94,-0.91,-0.8,2346.090785,1587.817,1758.81993,11.59747,244.5,0.36,-1.96
2,S01,L01,M13,5.324147,0.0,0.0,0.0,False,2341.977565,1599.4707,1767.06122,11.17078,244.78,-0.91,-0.77,2348.363035,1581.02422,1754.35072,11.49479,243.88,-0.11,-0.26
3,S01,L01,M14,5.357301,0.0,0.0,0.0,False,2342.767655,1597.24607,1765.54103,11.27024,244.78,-0.97,-1.21,2349.18628,1578.69322,1752.70094,11.44945,243.64,-0.05,0.07
4,S01,L01,M12,3.817726,0.0,0.0,0.0,False,2352.39771,1570.13091,1745.83596,11.14044,242.7,0.26,-1.18,2357.276765,1556.69274,1736.04195,11.46077,243.01,0.5,-0.86
5,S01,L01,M13,5.286012,0.0,0.0,0.0,False,2353.187695,1567.89845,1744.08049,10.94357,242.64,-0.33,-1.52,2359.53503,1550.03757,1731.10691,11.58818,243.3,-1.27,-1.15
6,S01,L01,M14,5.314936,0.0,0.0,0.0,False,2353.97779,1565.70222,1742.34057,10.80606,242.62,-0.83,-1.75,2360.35405,1547.89044,1729.1919,11.57482,243.5,-1.12,-1.64
7,S01,L01,M11,3.853682,0.0,0.0,0.0,False,2354.767675,1563.60398,1740.72136,10.84764,242.66,-0.76,-1.82,2359.68268,1549.63225,1730.76115,11.58414,243.34,-1.31,-1.23
8,S01,L01,M13,5.246527,0.0,0.0,0.0,False,2364.39771,1536.73081,1720.05177,11.25623,244.01,0.26,-2.14,2370.70556,1519.06793,1707.4203,11.1443,245.41,-0.24,-1.85
9,S01,L01,M14,5.273441,0.0,0.0,0.0,False,2365.1877,1534.48646,1718.44705,11.29149,244.28,0.15,-1.97,2371.522465,1516.76123,1705.55942,11.2334,245.78,-0.66,-2.48
10,S01,L01,M11,3.825407,0.0,0.0,0.0,False,2365.97779,1532.26213,1716.89809,11.33715,244.45,0.13,-1.68,2370.86452,1518.60765,1707.06457,11.15083,245.49,-0.33,-1.98
11,S01,L01,M12,3.787026,0.0,0.0,0.0,False,2366.76778,1530.00219,1715.41409,11.32724,244.4,0.04,-1.14,2371.616135,1516.5046,1705.34374,11.25345,245.81,-0.69,-2.55
12,S01,L01,M11,3.797217,0.0,0.0,0.0,False,2377.187795,1500.23212,1693.82719,11.3491,246.71,0.61,-1.92,2382.046335,1486.37848,1684.78282,10.99174,247.24,-0.62,-1.13
13,S01,L01,M12,3.764311,0.0,0.0,0.0,False,2377.977995,1497.95865,1692.33615,11.4232,246.72,0.84,-1.5,2382.803635,1484.31535,1683.33915,11.24104,247.15,-0.62,-1.36
14,S01,L01,M13,5.196507,0.0,0.0,0.0,False,2378.767875,1495.70952,1690.82441,11.44697,246.75,0.82,-1.29,2385.025705,1477.84429,1678.51695,11.52781,246.6,-1.18,-2.74
15,S01,L01,M11,3.769762,0.0,0.0,0.0,False,2388.39788,1467.70763,1672.06003,12.07515,246.45,1.18,-2.19,2393.228965,1453.77548,1662.95375,10.83145,244.73,-0.75,-1.42
16,S01,L01,M12,3.742836,0.0,0.0,0.0,False,2389.187865,1465.27768,1670.61267,12.03178,246.46,1.3,-1.68,2393.99203,1451.81959,1661.20163,10.93912,244.4,-0.92,-2.11
17,S01,L01,M13,5.159402,0.0,0.0,0.0,False,2389.977855,1462.83846,1669.30956,11.63575,246.2,1.11,-0.88,2396.19858,1445.63232,1656.867,11.64467,243.49,-0.55,-1.3
18,S01,L01,M14,5.177321,0.0,0.0,0.0,False,2390.76784,1460.43613,1668.02184,11.15192,245.84,0.73,-0.14,2397.006485,1443.16551,1655.55481,11.90462,243.22,-0.17,-0.33
19,S01,L01,M12,3.720861,0.0,0.0,0.0,False,2400.39791,1433.28717,1648.47199,11.44684,241.83,0.38,-1.58,2405.1801,1420.14162,1637.67777,11.10441,238.95,0.27,-1.3
20,S01,L01,M13,5.120817,0.0,0.0,0.0,False,2401.188,1430.99909,1646.73709,11.28446,241.3,0.36,-1.54,2407.37014,1414.3743,1632.71318,11.37406,237.87,-0.04,-1.16
21,S01,L01,M14,5.135811,0.0,0.0,0.0,False,2401.977985,1428.67485,1644.87962,11.18218,240.95,-0.19,-1.65,2408.17512,1412.24888,1631.05208,11.5367,237.46,0.28,-0.58
22,S01,L01,M11,3.735712,0.0,0.0,0.0,False,2402.767975,1426.52314,1643.07804,11.15682,240.51,-0.43,-1.65,2407.56501,1413.88303,1632.31042,11.42574,237.76,0.06,-1.06
23,S01,L01,M13,5.079662,0.0,0.0,0.0,False,2412.397985,1400.97049,1620.77066,11.70825,235.43,-0.14,-0.8,2418.53897,1385.07913,1604.83362,11.48099,233.61,0.03,-1.06
24,S01,L01,M14,5.094611,0.0,0.0,0.0,False,2413.18807,1399.05594,1618.64605,11.68279,234.91,0.42,-1.53,2419.344005,1382.97751,1602.91044,11.58362,233.43,0.37,-0.13
25,S01,L01,M11,3.710947,0.0,0.0,0.0,False,2413.978065,1396.97743,1616.63194,11.47419,234.5,0.64,-1.78,2418.750335,1384.5303,1604.33018,11.52335,233.6,0.14,-0.84
26,S01,L01,M12,3.690701,0.0,0.0,0.0,False,2414.76805,1394.77642,1614.63616,11.20338,234.17,0.44,-1.7,2419.52008,1382.51547,1602.48573,11.58031,233.34,0.4,0.1
27,S01,L01,M14,5.053476,0.0,0.0,0.0,False,2424.39809,1370.92478,1588.63513,11.63523,232.42,-0.44,-2.49,2430.51289,1355.63824,1572.0468,11.44123,233.02,0.06,-0.94
28,S01,L01,M11,3.687362,0.0,0.0,0.0,False,2425.18808,1369.04536,1586.26088,11.44315,232.64,-0.51,-3.08,2429.936765,1356.95639,1573.74964,11.54124,232.67,0.18,-0.35
29,S01,L01,M12,3.665811,0.0,0.0,0.0,False,2425.978065,1367.10353,1584.035,11.27861,232.54,-0.41,-2.93,2430.705205,1355.19569,1571.47572,11.40328,233.12,0.02,-1.11
30,S01,L01,M13,5.025662,0.0,0.0,0.0,False,2426.768055,1365.05828,1582.02456,11.23283,232.21,-0.1,-1.98,2432.85504,1350.018,1565.17375,11.20831,233.86,-0.83,-1.72
31,S01,L01,M11,3.664362,0.0,0.0,0.0,False,2436.39857,1341.35821,1555.69036,11.65353,235.31,0.69,-2.08,2441.124255,1329.29997,1543.29962,11.28489,237.75,-0.43,-1.19
32,S01,L01,M12,3.641816,0.0,0.0,0.0,False,2437.18814,1339.35611,1553.53844,11.51391,235.68,0.5,-2.39,2441.891285,1327.48402,1541.20637,11.49646,237.88,0.03,-1.41
