depth,speed
0.0,1529.493
10.0,1530.014
20.0,1521.22
30.0,1511.743
40.0,1506.555
50.0,1504.336
60.0,1502.958
70.0,1501.243
80.0,1499.353
90.0,1497.556
100.0,1495.635
110.0,1493.773
120.0,1492.09
130.0,1489.656
140.0,1489.472
150.0,1488.432
160.0,1486.538
170.0,1484.765
180.0,1482.371
190.0,1480.945
200.0,1478.322
250.0,1467.136
300.0,1466.555
350.0,1465.839
400.0,1469.712
450.0,1473.345
500.0,1476.831
550.0,1477.672
600.0,1477.462
700.0,1477.103
800.0,1477.248
900.0,1477.206
1200.0,1480.024
1600.0,1484.545
2386.7,1495.495
