depth,speed
0.0,1478.998
10.0,1479.057
20.0,1479.207
30.0,1479.336
40.0,1479.539
50.0,1479.691
60.0,1479.765
70.0,1479.19
80.0,1478.613
90.0,1478.249
100.0,1477.732
110.0,1477.841
120.0,1477.575
130.0,1477.143
140.0,1476.625
150.0,1476.181
160.0,1475.16
170.0,1474.229
180.0,1473.673
190.0,1473.043
200.0,1471.817
250.0,1468.284
300.0,1469.95
350.0,1464.028
400.0,1464.259
450.0,1466.056
500.0,1468.486
550.0,1470.729
600.0,1473.273
700.0,1475.132
800.0,1475.773
900.0,1476.412
1200.0,1479.958
1600.0,1484.957
2276.6,1495.404
