depth,speed
0.0,1498.649
10.0,1497.146
20.0,1493.945
30.0,1489.859
40.0,1485.27
50.0,1483.967
60.0,1478.955
70.0,1475.997
80.0,1474.424
90.0,1474.884
100.0,1473.551
110.0,1472.024
120.0,1470.41
130.0,1469.252
140.0,1469.323
150.0,1469.849
160.0,1469.644
170.0,1469.91
180.0,1469.469
190.0,1469.855
200.0,1470.928
250.0,1470.496
300.0,1471.389
350.0,1473.155
400.0,1474.508
450.0,1473.568
500.0,1474.395
550.0,1475.625
600.0,1475.689
700.0,1476.099
800.0,1477.023
900.0,1477.518
1200.0,1480.171
1600.0,1484.778
2276.6,1494.39
