# cfgfile = ./initcfg/KAMS/KAMS.1209.takuyo_t1-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M01,3.328074,0.0,0.0,0.0,False,6669.20207,46.07665,2201.82113,20.47121,186.01,0.67,-0.04,6673.59165,45.50956,2185.22649,20.18817,185.64,-0.03,1.15
1,S01,L01,M04,4.471754,0.0,0.0,0.0,False,6679.20207,45.39262,2164.16737,20.41239,185.54,-0.06,1.6,6684.73533,46.37432,2143.3355,20.46709,185.5,0.88,-0.07
2,S01,L01,M03,5.252289,0.0,0.0,0.0,False,6689.20207,46.39058,2126.4984,20.60615,185.77,0.32,1.0,6695.515865,47.06332,2102.36109,20.43845,186.31,0.7,-0.16
3,S01,L01,M02,4.346069,0.0,0.0,0.0,False,6699.20207,46.88977,2088.36476,20.55214,186.96,0.42,0.05,6704.609645,46.93143,2067.86807,20.42674,187.46,0.56,0.53
4,S01,L01,M11,3.239694,0.0,0.0,0.0,False,6709.20207,46.56935,2050.24412,20.61043,188.4,0.44,0.11,6713.503275,46.28792,2033.89941,20.58537,188.55,0.63,-0.06
5,S01,L01,M12,4.328025,0.0,0.0,0.0,False,6719.20207,45.59385,2012.31756,20.56871,188.87,0.62,0.57,6724.5916,44.95592,1991.49715,20.59645,188.97,0.55,-0.04
6,S01,L01,M13,5.068307,0.0,0.0,0.0,False,6729.20207,43.93445,1974.03579,20.52322,189.16,0.51,0.47,6735.331885,43.00072,1950.58389,20.54493,188.83,0.65,0.64
7,S01,L01,M14,4.207169,0.0,0.0,0.0,False,6739.20207,42.55201,1935.59552,20.59967,189.28,0.44,-0.06,6744.47075,41.10414,1915.62764,20.68966,189.12,0.46,0.84
8,S01,L01,M01,3.167729,0.0,0.0,0.0,False,6749.20207,40.74141,1897.62674,20.88664,189.4,1.22,-0.18,6753.431305,39.56238,1881.19051,20.37193,189.15,-0.05,0.75
9,S01,L01,M04,4.221089,0.0,0.0,0.0,False,6759.20207,38.48978,1859.27422,20.61217,189.11,0.46,0.65,6764.484665,37.73825,1839.07864,20.54536,188.57,0.46,-0.05
