# cfgfile = ./initcfg/KAMS/KAMS.1309.kaiyo_kx-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,3.323224,0.0,0.0,0.0,False,31468.53902,65.89839,2185.14844,14.87449,196.97,0.3,-1.6,31472.923755,62.64396,2176.35808,14.60597,197.43,0.3,-2.27
1,S01,L01,M12,4.46313,0.0,0.0,0.0,False,31478.53939,57.90523,2164.79347,14.58707,197.14,-0.16,-0.48,31484.064025,53.22944,2152.96993,14.7173,196.59,-0.28,-0.0
2,S01,L01,M13,5.266412,0.0,0.0,0.0,False,31488.539775,50.14898,2143.30974,14.68259,195.45,0.34,-1.5,31494.867695,45.20275,2129.26034,14.70192,191.42,0.28,-0.59
3,S01,L01,M14,4.373084,0.0,0.0,0.0,False,31498.540245,42.45126,2120.79422,14.59648,188.98,-0.52,0.24,31503.97484,39.76142,2108.3423,14.51647,184.78,-0.53,-0.4
4,S01,L01,M11,3.272094,0.0,0.0,0.0,False,31508.54053,38.21205,2097.72145,14.79499,180.74,0.12,0.38,31512.874135,37.99181,2087.41264,14.43811,178.28,-0.28,-0.9
5,S01,L01,M12,4.393315,0.0,0.0,0.0,False,31518.54094,37.89577,2074.18541,14.5937,178.58,-0.83,-0.09,31523.99576,38.21591,2061.28506,14.87186,179.31,0.07,-0.63
6,S01,L01,M13,5.162982,0.0,0.0,0.0,False,31528.54138,38.48105,2050.47007,14.69103,180.04,0.1,-1.27,31534.76587,37.82187,2035.28314,14.70477,182.15,-0.23,0.57
7,S01,L01,M14,4.289274,0.0,0.0,0.0,False,31538.541745,38.91035,2026.16941,14.82816,183.18,0.95,-3.38,31543.89253,36.91169,2012.93831,14.74753,183.66,0.41,0.27
8,S01,L01,M11,3.221229,0.0,0.0,0.0,False,31548.54208,36.69298,2001.24722,14.85894,184.99,0.72,-1.42,31552.82482,35.71965,1990.38766,14.65574,185.01,-0.18,-1.03
9,S01,L01,M12,4.313045,0.0,0.0,0.0,False,31558.54244,33.87189,1976.01986,14.90788,185.04,0.65,-0.13,31563.91699,33.04106,1962.28164,14.71436,185.06,-0.48,-1.76
10,S01,L01,M13,5.053032,0.0,0.0,0.0,False,31568.542855,31.4506,1950.37251,14.67457,184.66,0.25,-0.16,31574.657395,29.85657,1935.12162,15.07595,185.07,0.23,-0.7
11,S01,L01,M14,4.200009,0.0,0.0,0.0,False,31578.543265,29.11558,1924.93186,14.4825,183.93,0.3,-1.0,31583.804785,27.5612,1911.17774,14.69292,182.97,-0.31,-0.35
12,S01,L01,M11,3.172594,0.0,0.0,0.0,False,31588.54365,26.62476,1898.99534,14.9897,181.55,-0.37,0.15,31592.777755,26.70725,1888.18976,14.85173,180.74,0.84,-1.26
13,S01,L01,M12,4.23275,0.0,0.0,0.0,False,31598.543995,26.66,1872.8849,14.84134,179.46,0.27,-1.57,31603.83825,27.16514,1859.02642,14.53306,178.69,0.18,-1.74
14,S01,L01,M13,4.940137,0.0,0.0,0.0,False,31608.54443,26.5481,1846.62801,14.78731,179.37,-0.2,0.1,31614.546075,27.0487,1830.51078,14.27836,180.29,-0.85,0.2
15,S01,L01,M14,4.115409,0.0,0.0,0.0,False,31618.544795,27.41968,1820.54896,15.08867,180.84,0.5,-1.56,31623.721715,27.27026,1806.97853,15.22379,181.37,1.0,-0.19
16,S01,L01,M11,3.127739,0.0,0.0,0.0,False,31628.545165,27.65749,1794.34211,14.63767,181.54,0.85,-1.98,31632.734415,27.02409,1783.0249,14.82361,182.0,-0.68,-0.34
17,S01,L01,M12,4.15094,0.0,0.0,0.0,False,31638.54552,26.83739,1767.75303,14.32619,182.73,-0.77,-1.35,31643.757965,25.76159,1754.27434,14.87992,182.75,-0.21,-0.04
18,S01,L01,M13,4.828147,0.0,0.0,0.0,False,31648.545865,25.43543,1741.62627,14.60411,182.47,-0.57,-1.16,31654.43552,24.40336,1726.30172,14.66265,182.57,-0.32,0.38
19,S01,L01,M14,4.031664,0.0,0.0,0.0,False,31658.54627,23.86225,1715.30767,14.81388,182.81,-1.05,-0.65,31663.639445,23.99531,1701.98942,14.62198,182.47,-0.48,-2.01
20,S01,L01,M11,3.089339,0.0,0.0,0.0,False,31668.54667,22.63227,1689.55206,15.19497,182.86,0.09,0.01,31672.69752,22.94627,1678.56822,14.77999,181.99,0.89,-2.53
21,S01,L01,M12,4.07495,0.0,0.0,0.0,False,31678.547055,21.85715,1663.00998,14.69775,181.82,-0.53,-0.19,31683.68351,21.70055,1649.72601,14.61711,182.03,0.47,-2.07
22,S01,L01,M13,4.717522,0.0,0.0,0.0,False,31688.53748,20.81913,1636.9457,14.99123,181.16,0.51,-0.02,31694.31651,20.94894,1621.55341,14.51419,180.84,-0.18,-1.55
23,S01,L01,M14,3.951759,0.0,0.0,0.0,False,31698.53779,20.62364,1610.23446,14.43709,180.27,-0.89,-0.37,31703.55106,20.48676,1597.2655,14.76851,179.61,-0.61,-0.4
24,S01,L01,M12,3.99956,0.0,0.0,0.0,False,31718.53858,21.74398,1558.13081,14.89825,177.67,0.18,-0.72,31723.599645,22.23933,1544.79355,14.70934,177.46,-0.01,0.13
25,S01,L01,M13,4.608842,0.0,0.0,0.0,False,31728.53902,23.42115,1531.79865,14.67393,177.63,0.08,-1.36,31734.20937,24.33408,1516.95867,14.98095,177.13,0.26,-1.1
26,S01,L01,M14,3.879479,0.0,0.0,0.0,False,31738.539315,25.15474,1505.36765,14.68293,177.49,-0.03,-1.31,31743.480305,25.85571,1492.42596,14.86123,177.75,-0.19,-0.57
27,S01,L01,M11,3.030754,0.0,0.0,0.0,False,31748.539705,26.74733,1479.13535,15.01797,177.86,0.52,-0.4,31752.63197,27.57111,1468.47138,15.15599,178.4,0.74,-1.33
28,S01,L01,M12,3.92406,0.0,0.0,0.0,False,31758.540155,28.66249,1452.74647,14.75911,178.61,0.29,-1.36,31763.52572,28.92047,1439.62828,14.86948,179.23,0.52,-0.89
29,S01,L01,M13,4.501257,0.0,0.0,0.0,False,31768.540505,29.45497,1426.26443,14.63546,179.78,0.07,-0.86,31774.10327,29.83647,1411.63827,14.72856,180.43,-0.07,-0.83
30,S01,L01,M14,3.810364,0.0,0.0,0.0,False,31778.540855,29.86166,1399.78646,14.44611,181.17,-0.79,-1.54,31783.41273,29.12516,1387.21371,14.86241,181.06,0.07,0.79
31,S01,L01,M11,3.010639,0.0,0.0,0.0,False,31788.54129,29.61864,1373.84484,14.67836,181.63,0.16,-1.11,31792.61344,29.34715,1363.16035,14.77266,181.75,-0.11,-0.76
32,S01,L01,M12,3.85704,0.0,0.0,0.0,False,31798.54167,28.36594,1347.88551,15.00202,182.5,0.16,-0.38,31803.460215,27.71731,1335.19708,14.85942,181.98,-0.07,-0.23
33,S01,L01,M13,4.397157,0.0,0.0,0.0,False,31808.54197,27.59045,1322.04529,14.93357,181.03,-0.04,-1.24,31814.000635,27.28531,1307.90339,14.5136,179.58,-0.52,-1.3
34,S01,L01,M14,3.743624,0.0,0.0,0.0,False,31818.54241,26.90005,1296.40783,15.29531,179.26,0.84,0.08,31823.347545,27.58052,1283.98085,15.16161,178.62,0.69,-1.14
