depth,speed
0.0,1492.821
10.0,1492.919
20.0,1493.042
30.0,1493.185
40.0,1493.286
50.0,1493.414
60.0,1493.54
70.0,1493.716
80.0,1493.865
90.0,1494.019
100.0,1494.186
110.0,1494.253
120.0,1493.763
130.0,1492.803
140.0,1492.38
150.0,1491.828
160.0,1490.734
170.0,1490.246
180.0,1488.24
190.0,1487.353
200.0,1485.624
250.0,1473.347
300.0,1472.93
350.0,1472.108
400.0,1471.71
450.0,1473.018
500.0,1474.753
550.0,1475.039
600.0,1474.437
700.0,1475.394
800.0,1475.156
900.0,1476.084
1200.0,1480.022
1600.0,1484.722
2276.6,1494.015
