# cfgfile = ./initcfg/KAMS/KAMS.1408.meiyo_mx-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,3.392924,0.0,0.0,0.0,False,24046.54535,29.42887,2318.37442,12.20303,185.04,0.18,0.22,24050.999785,28.50641,2303.03347,12.4949,183.64,0.26,0.37
1,S01,L01,M12,4.44226,0.0,0.0,0.0,False,24096.54555,30.83248,2143.97237,12.36034,183.92,-0.29,-0.71,24102.049315,30.57434,2124.92662,12.76925,184.64,1.13,-0.44
2,S01,L01,M11,3.230954,0.0,0.0,0.0,False,24126.545705,29.06621,2040.36804,12.31774,183.26,0.99,-0.55,24130.83817,29.18277,2025.50266,12.36494,182.99,0.53,0.46
3,S01,L01,M11,3.163919,0.0,0.0,0.0,False,24166.542435,28.48037,1902.20026,12.06678,184.92,-0.43,-0.07,24170.767865,28.21023,1887.33949,12.19949,184.98,-0.36,-0.84
4,S01,L01,M12,4.214985,0.0,0.0,0.0,False,24176.54498,27.31792,1867.36332,12.64932,185.24,0.44,-0.17,24181.82147,26.64822,1848.77162,12.38481,185.07,0.61,-0.77
5,S01,L01,M11,3.106314,0.0,0.0,0.0,False,24206.54518,25.20502,1762.65685,12.18979,182.54,-0.4,-0.49,24210.713005,24.92813,1748.47605,12.11181,182.44,-1.39,0.15
6,S01,L01,M13,4.762417,0.0,0.0,0.0,False,24226.54524,27.28336,1694.4655,12.20024,180.74,-0.12,-0.92,24232.369165,27.56102,1674.21839,12.37511,181.15,-0.46,0.36
7,S01,L01,M14,3.979159,0.0,0.0,0.0,False,24236.54527,28.58733,1659.71825,12.33238,181.5,0.01,-0.19,24241.58594,29.08799,1642.14269,11.91944,183.13,-0.8,-1.25
8,S01,L01,M11,3.059614,0.0,0.0,0.0,False,24246.54533,28.76872,1624.87069,12.43022,184.09,-0.06,-0.35,24250.666455,28.73891,1610.20067,12.10201,184.05,-1.18,-0.45
9,S01,L01,M13,4.617042,0.0,0.0,0.0,False,24266.545395,28.94005,1554.95168,11.92661,183.55,-0.13,-0.8,24272.223945,28.55545,1535.03351,12.1381,183.64,-0.6,-0.41
10,S01,L01,M14,3.878624,0.0,0.0,0.0,False,24276.545455,28.17053,1519.97367,12.8033,183.92,0.65,0.51,24281.48559,28.33417,1502.6144,12.41627,183.77,0.93,-0.36
11,S01,L01,M12,3.91019,0.0,0.0,0.0,False,24296.54556,27.66157,1449.25735,12.27909,183.57,-0.07,-0.27,24301.517255,27.66679,1431.51808,12.31555,183.23,0.04,-0.43
12,S01,L01,M13,4.473317,0.0,0.0,0.0,False,24306.545585,27.64069,1413.71667,12.23514,183.05,-0.42,-0.45,24312.08041,27.65168,1393.89778,12.47889,182.87,0.2,0.14
13,S01,L01,M14,3.783129,0.0,0.0,0.0,False,24316.54563,27.53545,1377.99667,12.58272,183.17,-0.09,-0.06,24321.39027,28.03594,1360.61829,12.42248,183.05,-0.31,-0.41
14,S01,L01,M11,2.997659,0.0,0.0,0.0,False,24326.545755,27.89723,1342.25495,12.5218,183.18,0.28,-0.68,24330.604925,28.0293,1327.87207,12.37744,183.2,0.5,-0.24
15,S01,L01,M13,4.331542,0.0,0.0,0.0,False,24346.54582,28.22519,1270.75678,12.79624,182.88,0.4,0.26,24351.93887,28.59725,1251.29153,12.14566,183.15,0.17,-0.25
16,S01,L01,M14,3.694969,0.0,0.0,0.0,False,24356.545885,28.14124,1234.96111,12.6966,183.61,-0.68,0.15,24361.302365,28.58147,1218.51298,11.99275,183.46,-0.34,-0.47
17,S01,L01,M12,3.67017,0.0,0.0,0.0,False,24416.546175,29.24151,1035.20616,12.33584,183.36,-0.35,-0.62,24421.27785,29.46311,1022.16857,12.82611,183.41,-0.19,-0.24
18,S01,L01,M14,3.560079,0.0,0.0,0.0,False,24436.546245,30.1868,980.80463,12.89363,184.57,1.48,-0.81,24441.167835,30.18695,968.73637,12.46624,185.07,0.06,-0.68
19,S01,L01,M11,2.990494,0.0,0.0,0.0,False,24446.546335,29.63266,954.34387,12.60823,184.67,0.17,0.22,24450.59834,29.82804,943.97727,12.66892,184.78,-0.57,-0.34
20,S01,L01,M12,3.619295,0.0,0.0,0.0,False,24456.54638,29.88042,928.95193,12.63447,183.37,-0.01,0.17,24461.22718,30.48138,917.59771,12.64805,182.95,0.87,-0.38
21,S01,L01,M14,3.515639,0.0,0.0,0.0,False,24476.54652,32.90685,879.64655,12.96453,182.34,0.67,0.11,24481.12367,33.78088,868.51745,12.4871,182.23,-0.25,-0.52
22,S01,L01,M12,3.57417,0.0,0.0,0.0,False,24496.546625,36.21286,832.10628,12.26605,184.47,-0.21,-0.78,24501.1823,36.51403,821.41012,13.1737,185.16,0.73,-0.43
23,S01,L01,M14,3.478229,0.0,0.0,0.0,False,24516.546705,36.70456,785.34229,12.48614,187.03,-0.03,-0.47,24521.086445,36.88245,774.83545,12.72501,187.43,0.07,0.11
24,S01,L01,M11,3.020679,0.0,0.0,0.0,False,24526.546765,36.48738,761.95983,12.52451,187.77,0.76,-1.24,24530.628955,36.04979,752.37072,12.65217,187.76,0.05,-0.05
25,S01,L01,M12,3.538265,0.0,0.0,0.0,False,24536.546745,35.33594,738.12665,12.33459,187.55,-0.37,-0.48,24541.146515,34.83903,727.61535,12.31206,187.63,-1.29,0.03
26,S01,L01,M14,3.432874,0.0,0.0,0.0,False,24566.5469,32.47042,668.88262,12.32614,186.39,-1.12,0.04,24571.041285,32.04092,658.50862,12.50866,186.48,-0.68,0.02
27,S01,L01,M11,3.049094,0.0,0.0,0.0,False,24576.547005,31.68798,646.29297,12.72869,185.82,0.43,0.45,24580.65761,31.54484,636.59627,12.58136,185.63,-0.34,-0.4
28,S01,L01,M12,3.50209,0.0,0.0,0.0,False,24586.546995,31.82871,623.28073,13.16119,184.66,1.22,-0.07,24591.11059,31.72025,612.96322,12.68186,184.07,0.42,-0.01
29,S01,L01,M12,3.475015,0.0,0.0,0.0,False,24626.537255,34.46429,535.18441,12.57233,187.31,0.03,-0.86,24631.073775,34.46834,525.23878,12.61885,187.69,0.07,-0.79
30,S01,L01,M11,3.107599,0.0,0.0,0.0,False,24656.537325,30.67835,468.43719,12.69063,188.96,0.35,-0.13,24660.706435,29.85115,458.96086,12.69446,188.43,-0.52,0.08
31,S01,L01,M12,3.456745,0.0,0.0,0.0,False,24666.537415,29.4531,446.07011,12.82385,187.06,1.01,-0.69,24671.055665,28.62345,435.79055,12.55943,186.51,-0.02,-0.18
32,S01,L01,M13,3.592382,0.0,0.0,0.0,False,24676.537465,28.33222,423.24058,12.65341,186.35,0.22,0.14,24681.191355,27.90014,412.51528,12.47976,186.17,-0.08,-0.52
33,S01,L01,M14,3.357734,0.0,0.0,0.0,False,24686.53746,27.96551,400.3956,12.35822,185.68,-0.57,-0.77,24690.956705,27.4998,390.63496,12.64527,185.28,-0.24,0.02
34,S01,L01,M13,3.526012,0.0,0.0,0.0,False,24716.537645,27.6526,332.9143,12.21802,185.65,-0.62,-1.31,24721.125165,26.99289,322.57339,13.12748,185.63,0.77,0.28
35,S01,L01,M14,3.340974,0.0,0.0,0.0,False,24726.53776,27.32916,309.5578,11.77744,185.96,-0.79,-1.53,24730.940245,26.52464,299.61399,13.07567,185.79,-0.08,-0.15
36,S01,L01,M11,3.184649,0.0,0.0,0.0,False,24736.537795,26.66192,286.36122,12.05342,185.59,-0.43,-0.81,24740.783955,26.39554,276.45419,12.62063,185.4,-1.79,-0.62
37,S01,L01,M12,3.42753,0.0,0.0,0.0,False,24746.537785,26.52254,263.91071,12.67093,184.26,0.37,-0.34,24751.02682,26.40129,253.89887,12.94005,184.38,1.2,0.59
38,S01,L01,M14,3.330164,0.0,0.0,0.0,False,24766.53793,27.45384,218.33246,12.35416,184.29,-0.03,-0.96,24770.929605,27.53604,208.54412,13.1767,184.32,0.64,0.15
39,S01,L01,M11,3.229864,0.0,0.0,0.0,False,24776.537975,28.06178,195.64916,12.43297,184.38,0.39,-0.69,24780.82935,28.04404,185.80497,12.57023,184.64,-0.35,-0.35
