depth,speed
0.0,1530.158
10.0,1529.864
20.0,1525.214
30.0,1515.769
40.0,1511.491
50.0,1508.526
60.0,1506.265
70.0,1504.024
80.0,1501.817
90.0,1499.638
100.0,1497.484
110.0,1495.537
120.0,1493.648
130.0,1492.724
140.0,1491.443
150.0,1491.384
160.0,1490.868
170.0,1490.84
180.0,1490.744
190.0,1490.19
200.0,1489.05
250.0,1480.933
300.0,1477.93
350.0,1477.226
400.0,1476.35
450.0,1476.911
500.0,1477.436
550.0,1476.591
600.0,1476.087
700.0,1477.488
800.0,1477.247
900.0,1478.006
1200.0,1479.941
1600.0,1484.877
2276.6,1493.77
