# cfgfile = ./initcfg/KAMS/KAMS.1508.kaiyo_k4-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,3.316079,0.0,0.0,0.0,False,31162.540605,29.20213,2193.24711,15.06487,182.46,0.25,0.24,31166.918195,27.04792,2182.79231,15.1117,179.11,0.0,0.15
1,S01,L01,M12,4.467785,0.0,0.0,0.0,False,31172.54093,24.68496,2168.94407,15.0785,176.83,-0.37,0.46,31178.07022,23.24567,2155.26582,15.35116,174.93,-0.91,0.45
2,S01,L01,M13,5.250412,0.0,0.0,0.0,False,31182.54139,22.6251,2144.62558,15.29304,171.41,0.82,-0.04,31188.85331,22.6756,2128.93756,15.0999,166.54,0.13,0.58
3,S01,L01,M14,4.351884,0.0,0.0,0.0,False,31192.541765,23.75335,2120.06254,15.3596,165.22,0.35,0.37,31197.95516,25.34689,2107.12874,15.0659,165.61,-0.07,0.27
4,S01,L01,M11,3.261159,0.0,0.0,0.0,False,31202.542145,27.25436,2096.23453,15.3831,168.36,1.02,0.06,31206.864815,28.31113,2085.48691,15.16461,170.4,-0.44,-0.59
5,S01,L01,M12,4.38089,0.0,0.0,0.0,False,31212.54252,28.98306,2071.22451,15.38719,172.83,0.0,1.46,31217.984915,30.29128,2057.59937,15.27986,174.2,0.4,-1.01
6,S01,L01,M13,5.140767,0.0,0.0,0.0,False,31222.54293,29.91514,2045.68493,15.29357,175.67,0.23,0.51,31228.745205,30.16277,2029.40773,15.18865,177.31,0.26,-1.03
7,S01,L01,M14,4.266124,0.0,0.0,0.0,False,31232.543325,28.94812,2019.19545,15.39194,178.62,-0.23,0.98,31237.87096,28.61619,2004.83027,15.06054,179.69,-0.17,-0.97
8,S01,L01,M11,3.206754,0.0,0.0,0.0,False,31242.543745,27.13208,1992.25311,15.39513,180.48,-0.33,-0.07,31246.81201,25.79988,1980.86533,15.25395,181.24,0.64,-0.26
9,S01,L01,M12,4.295595,0.0,0.0,0.0,False,31252.544095,23.51957,1965.07665,15.32908,181.79,0.32,0.52,31257.901195,21.98777,1950.5236,15.40658,180.58,0.44,-1.01
10,S01,L01,M13,5.022822,0.0,0.0,0.0,False,31262.54452,19.78065,1937.91873,15.31664,178.02,0.61,0.47,31268.62885,18.14874,1921.42921,15.88038,174.63,0.93,0.91
11,S01,L01,M14,4.170824,0.0,0.0,0.0,False,31272.544865,18.16678,1910.63681,14.87372,173.23,0.19,-0.07,31277.7772,18.054,1896.38809,15.25745,171.81,-0.39,0.19
12,S01,L01,M11,3.155634,0.0,0.0,0.0,False,31282.545255,18.38515,1883.39757,15.22751,170.8,-0.14,0.56,31286.7624,18.95254,1871.9914,15.34127,169.77,-0.1,0.06
