# cfgfile = ./initcfg/KAMS/KAMS.1510.meiyo_m5-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,3.353739,0.0,0.0,0.0,False,48628.54077,-12.58522,2261.5012,11.80272,174.89,1.24,0.41,48632.95602,-10.88381,2244.17743,11.72878,174.21,0.41,-1.56
1,S01,L01,M13,5.286857,0.0,0.0,0.0,False,48648.54088,-5.7091,2182.74182,11.5031,172.97,0.19,0.4,48654.889245,-2.45993,2158.11144,11.88828,172.73,0.3,-1.9
2,S01,L01,M14,4.356364,0.0,0.0,0.0,False,48658.54093,-1.32039,2143.71373,11.34953,173.4,-0.62,-0.78,48663.958805,0.95307,2122.46813,11.75034,173.32,-0.18,-0.18
3,S01,L01,M11,3.262244,0.0,0.0,0.0,False,48668.540995,3.09531,2104.73144,11.41425,173.89,-0.22,-2.24,48672.86475,4.22026,2087.89187,11.55486,173.72,0.19,0.28
4,S01,L01,M12,4.383925,0.0,0.0,0.0,False,48678.540965,6.44773,2065.80269,11.71727,174.28,0.21,-0.68,48683.986395,8.18942,2044.55238,11.8102,174.25,0.04,-0.25
5,S01,L01,M13,5.114817,0.0,0.0,0.0,False,48688.541075,9.7915,2026.67598,11.17063,174.73,-0.24,-0.97,48694.7174,11.65242,2002.671,11.42981,174.37,-0.88,-1.18
6,S01,L01,M14,4.228859,0.0,0.0,0.0,False,48698.541115,12.65517,1988.01372,12.04595,174.91,1.29,-0.52,48703.831485,14.41794,1967.45775,11.55838,173.9,0.49,-0.91
7,S01,L01,M11,3.182999,0.0,0.0,0.0,False,48708.541205,15.94481,1948.98859,11.70104,173.89,0.06,-1.3,48712.785715,17.13482,1932.34001,11.57322,173.49,-0.11,0.35
8,S01,L01,M12,4.249165,0.0,0.0,0.0,False,48718.541265,19.64373,1910.23827,11.88199,173.18,0.69,-1.54,48723.851935,21.31899,1889.42963,11.46901,173.16,-0.22,0.07
9,S01,L01,M13,4.946692,0.0,0.0,0.0,False,48728.54126,23.65988,1871.27913,11.78861,172.88,0.14,-1.35,48734.54946,25.94209,1848.03375,11.82221,172.73,0.15,-0.03
10,S01,L01,M14,4.109444,0.0,0.0,0.0,False,48738.54133,28.14179,1832.33264,11.30494,172.96,-0.54,-1.46,48743.712285,29.52225,1812.42159,11.65287,173.35,-0.67,0.95
11,S01,L01,M12,4.12063,0.0,0.0,0.0,False,48758.54143,34.7101,1754.81623,11.70201,178.65,-0.16,-1.05,48763.723565,34.87075,1734.68267,11.34197,181.19,-1.2,-0.99
12,S01,L01,M13,4.782052,0.0,0.0,0.0,False,48768.541575,34.49991,1716.07796,11.89007,183.63,0.06,-1.47,48774.385135,32.94348,1693.62227,11.8567,183.63,-0.57,-1.09
13,S01,L01,M14,3.990459,0.0,0.0,0.0,False,48778.541545,31.55365,1677.65235,11.97496,184.75,1.37,-1.2,48783.593515,29.68211,1657.928,11.34689,183.86,-0.66,-0.63
14,S01,L01,M11,3.061449,0.0,0.0,0.0,False,48788.541535,28.09516,1638.84997,11.88092,184.44,0.35,-1.19,48792.664495,26.07766,1622.73598,11.15023,183.23,-0.56,0.6
15,S01,L01,M12,4.013005,0.0,0.0,0.0,False,48798.541645,24.39416,1600.26965,11.59104,183.35,-0.17,-0.31,48803.616155,22.9223,1580.56049,11.73522,182.39,0.35,0.24
16,S01,L01,M13,4.620757,0.0,0.0,0.0,False,48808.541715,21.70133,1561.55917,11.65005,182.16,-0.16,-0.65,48814.22398,20.76546,1539.64215,11.70648,180.25,-0.03,-0.38
17,S01,L01,M14,3.873714,0.0,0.0,0.0,False,48818.541765,20.22218,1522.87321,11.73413,180.34,0.45,-0.05,48823.47699,19.84196,1503.79933,11.78223,179.86,-0.05,-0.59
18,S01,L01,M11,3.020614,0.0,0.0,0.0,False,48828.54182,19.67699,1483.93865,11.90945,180.18,0.11,-1.24,48832.623945,19.41639,1468.16601,11.64039,179.31,-0.28,-0.69
19,S01,L01,M12,3.90984,0.0,0.0,0.0,False,48838.54183,19.00073,1445.03583,11.55757,179.29,0.54,-0.25,48843.513175,18.62592,1425.84656,11.58059,178.97,-0.73,0.1
20,S01,L01,M13,4.462837,0.0,0.0,0.0,False,48848.54184,18.5929,1406.24393,11.83318,178.3,1.15,-0.15,48854.066185,18.73986,1384.8344,11.76871,177.8,0.11,-0.61
21,S01,L01,M14,3.768999,0.0,0.0,0.0,False,48858.541965,19.12813,1367.0929,11.28753,176.92,0.05,-0.36,48863.372475,19.34841,1348.28677,11.81447,176.39,-0.42,-0.16
22,S01,L01,M11,2.993734,0.0,0.0,0.0,False,48868.54202,19.92668,1328.14287,11.854,176.03,0.76,0.14,48872.597265,21.15626,1312.44145,12.06686,175.79,0.16,-1.39
23,S01,L01,M12,3.80984,0.0,0.0,0.0,False,48878.54199,22.08075,1289.15687,11.99285,175.37,0.17,-0.47,48883.413335,23.18149,1269.97292,11.65619,175.45,0.16,-0.96
24,S01,L01,M13,4.308572,0.0,0.0,0.0,False,48888.54205,23.9184,1250.02487,11.63402,175.73,-0.41,0.8,48893.91213,25.07363,1228.9612,11.67128,176.22,0.1,-0.33
25,S01,L01,M14,3.677489,0.0,0.0,0.0,False,48898.54207,25.80181,1210.97004,11.78734,176.34,0.02,0.22,48903.28107,26.73973,1192.57514,11.87668,176.99,0.78,-1.0
