depth,speed
0.0,1498.889
10.0,1498.022
20.0,1497.208
30.0,1496.827
40.0,1496.451
50.0,1496.184
60.0,1495.043
70.0,1494.862
80.0,1494.797
90.0,1494.097
100.0,1492.47
110.0,1489.409
120.0,1487.406
130.0,1483.516
140.0,1480.287
150.0,1477.335
160.0,1476.49
170.0,1476.106
180.0,1475.144
190.0,1475.229
200.0,1475.188
250.0,1473.797
300.0,1468.032
350.0,1467.383
400.0,1473.969
450.0,1475.931
500.0,1474.498
550.0,1474.558
600.0,1475.394
700.0,1474.573
800.0,1475.273
900.0,1476.132
1200.0,1479.385
1600.0,1484.718
2276.6,1494.133
