depth,speed
0.0,1457.529
10.0,1457.485
20.0,1458.698
30.0,1464.781
40.0,1466.484
50.0,1465.744
60.0,1464.83
70.0,1464.47
80.0,1462.027
90.0,1463.89
100.0,1471.174
110.0,1471.58
120.0,1470.119
130.0,1467.91
140.0,1465.45
150.0,1462.971
160.0,1462.26
170.0,1461.386
180.0,1459.632
190.0,1459.674
200.0,1460.149
250.0,1464.285
300.0,1466.252
350.0,1466.278
400.0,1467.469
450.0,1469.219
500.0,1470.417
550.0,1471.748
600.0,1472.383
700.0,1473.546
800.0,1474.53
900.0,1475.618
1200.0,1479.165
1727.8,1486.181
