# cfgfile = ./initcfg/MYGI/MYGI.1104.meiyo_m4-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M01,2.506309,0.0,0.0,0.0,False,68562.67665,10.70369,1692.22416,13.5757,182.3,0.87,0.65,68566.244465,10.47016,1681.65507,12.79916,182.24,0.05,-0.4
1,S01,L01,M05,3.416834,0.0,0.0,0.0,False,68572.6768,9.09818,1662.97519,13.29099,182.57,-0.54,0.96,68577.15514,8.58696,1649.54861,13.06639,182.98,1.02,-0.52
2,S01,L01,M03,3.977174,0.0,0.0,0.0,False,68582.67688,7.3041,1633.31258,13.19698,183.11,0.28,0.79,68587.71556,6.58816,1617.93468,13.41298,182.47,0.58,-0.92
3,S01,L01,M04,3.312269,0.0,0.0,0.0,False,68592.67709,6.02892,1602.9695,12.73772,181.95,0.39,-1.0,68597.050865,4.28601,1589.61987,13.73708,180.87,0.72,1.87
4,S01,L01,M01,2.437779,0.0,0.0,0.0,False,68602.67716,4.36042,1572.1895,12.24104,179.51,-0.03,-0.68,68606.176445,3.73803,1561.40407,14.08664,179.13,0.75,1.6
5,S01,L01,M05,3.310644,0.0,0.0,0.0,False,68612.677285,3.99843,1540.96657,12.52986,177.65,-0.36,-1.53,68617.049435,3.14899,1527.3621,13.76298,177.53,0.92,2.39
6,S01,L01,M03,3.840444,0.0,0.0,0.0,False,68622.67746,4.51921,1509.60913,12.8722,175.96,-0.07,-1.31,68627.57941,4.88306,1494.19006,13.46065,176.83,0.15,0.13
7,S01,L01,M04,3.204789,0.0,0.0,0.0,False,68632.67758,5.59251,1478.0857,12.82329,175.92,0.49,0.29,68636.943875,5.93098,1464.7183,13.60066,176.16,-0.2,0.68
8,S01,L01,M01,2.375839,0.0,0.0,0.0,False,68642.677665,6.92113,1446.57784,13.20209,176.32,-0.25,1.51,68646.11501,7.9075,1435.85352,13.48115,177.03,0.73,-0.61
9,S01,L01,M05,3.201314,0.0,0.0,0.0,False,68652.67778,8.70179,1415.17215,13.3927,177.69,0.07,-0.16,68656.9406,9.16168,1401.53191,12.81088,177.9,0.34,-0.17
10,S01,L01,M03,3.703324,0.0,0.0,0.0,False,68662.67798,8.78542,1383.33692,13.90773,178.33,-0.03,2.5,68667.44281,10.50127,1368.12341,12.51818,179.49,-0.11,-2.53
11,S01,L01,M04,3.102829,0.0,0.0,0.0,False,68672.678105,9.83777,1351.42623,13.37667,179.8,0.22,1.35,68676.84244,9.60276,1338.11881,13.10554,180.66,-0.84,0.17
12,S01,L01,M01,2.323594,0.0,0.0,0.0,False,68682.67824,9.49095,1319.55004,13.24574,181.4,0.73,-0.38,68686.06334,9.46222,1309.03103,12.95975,181.18,-0.65,0.26
13,S01,L01,M05,3.099399,0.0,0.0,0.0,False,68692.678375,8.84403,1287.90126,13.57879,181.0,0.77,-0.9,68696.83928,8.48981,1274.86057,12.68761,181.92,-0.25,-0.22
