# cfgfile = ./initcfg/MYGW/MYGW.1209.takuyo_t1-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M01,1.582824,0.0,0.0,0.0,False,28481.20207,-15.85632,1168.87929,21.61008,169.94,0.2,0.6,28483.8464,-14.93122,1163.55024,21.76679,170.11,0.57,0.72
1,S01,L01,M02,2.198244,0.0,0.0,0.0,False,28491.20207,-12.5636,1148.4868,21.83863,172.21,1.0,-0.02,28494.46182,-12.57012,1141.43895,21.9937,173.31,0.34,0.76
2,S01,L01,M05,2.666204,0.0,0.0,0.0,False,28501.20207,-11.23847,1127.56373,21.99787,175.22,0.9,0.75,28504.92978,-9.91192,1119.644,21.62559,175.82,0.43,0.1
3,S01,L01,M04,2.147804,0.0,0.0,0.0,False,28511.20207,-9.82871,1106.38424,21.63408,177.52,-0.17,0.8,28514.41138,-9.02901,1099.96872,21.89479,178.44,1.17,-0.34
4,S01,L01,M11,1.566852,0.0,0.0,0.0,False,28521.20207,-8.89586,1085.54698,21.75991,180.52,0.44,0.16,28523.83043,-8.98719,1080.15701,21.89706,181.24,0.93,0.5
5,S01,L01,M12,2.159656,0.0,0.0,0.0,False,28531.20207,-9.43052,1064.5909,21.79363,183.25,0.48,0.8,28534.423235,-9.4074,1057.91574,22.06193,184.33,0.94,-0.02
6,S01,L01,M13,2.624893,0.0,0.0,0.0,False,28541.20207,-10.04469,1043.78732,21.756,185.76,0.85,-0.41,28544.888475,-11.44271,1035.94476,21.87421,186.49,0.24,0.9
7,S01,L01,M01,1.506994,0.0,0.0,0.0,False,28561.20207,-14.91443,1001.90013,21.54767,186.41,-0.12,1.07,28563.77057,-15.11609,996.82184,22.02386,185.99,0.75,0.0
8,S01,L01,M02,2.055264,0.0,0.0,0.0,False,28571.20207,-16.79317,981.22265,21.68315,185.06,0.46,0.04,28574.31884,-17.58057,974.81999,21.85129,184.19,0.61,0.93
9,S01,L01,M05,2.480114,0.0,0.0,0.0,False,28581.20207,-18.42012,960.45667,21.8334,182.37,0.87,0.11,28584.74369,-19.55396,952.947,21.86928,181.27,0.22,1.31
10,S01,L01,M04,2.003064,0.0,0.0,0.0,False,28591.20207,-19.77142,939.34067,21.58444,179.27,0.25,1.01,28594.26664,-19.96311,933.15284,22.18869,178.91,0.93,0.49
11,S01,L01,M11,1.496797,0.0,0.0,0.0,False,28601.20207,-19.92075,918.62738,21.71801,177.02,0.51,0.28,28603.760375,-20.54953,913.49138,22.21706,176.87,1.09,0.99
12,S01,L01,M12,2.023581,0.0,0.0,0.0,False,28611.20207,-20.13078,897.72385,21.8566,175.3,0.67,0.77,28614.28716,-20.1216,891.56878,22.13443,174.8,0.66,0.84
13,S01,L01,M13,2.441153,0.0,0.0,0.0,False,28621.20207,-19.3042,877.22538,21.88752,173.57,0.81,0.23,28624.704735,-19.08524,869.93921,21.77024,173.09,0.32,0.53
14,S01,L01,M01,1.463049,0.0,0.0,0.0,False,28641.20207,-16.99,836.24901,21.70592,171.4,0.24,1.14,28643.726625,-16.37194,831.49153,22.16255,171.42,0.74,0.5
15,S01,L01,M02,1.926974,0.0,0.0,0.0,False,28651.20207,-14.87426,816.27456,21.99766,171.46,0.66,0.6,28654.19055,-14.34563,810.19442,21.83626,171.66,0.28,0.45
16,S01,L01,M05,2.304214,0.0,0.0,0.0,False,28661.20207,-12.69863,796.19009,21.66984,171.87,-0.01,0.31,28664.56779,-12.17858,789.56658,21.95711,172.18,0.93,0.73
17,S01,L01,M04,1.888044,0.0,0.0,0.0,False,28671.20207,-10.76718,776.45732,22.3017,172.74,1.08,0.78,28674.15162,-10.05717,770.14542,21.31969,172.94,-0.51,0.67
18,S01,L01,M11,1.457902,0.0,0.0,0.0,False,28682.20207,-8.30412,754.35419,21.83652,174.39,0.0,0.87,28684.72148,-6.98646,749.5381,21.73327,174.58,0.49,-0.42
19,S01,L01,M12,1.894311,0.0,0.0,0.0,False,28692.20207,-5.62601,734.83463,21.80581,176.28,0.62,-0.58,28695.15789,-5.94868,728.76799,21.90025,176.94,0.46,1.29
20,S01,L01,M13,2.268308,0.0,0.0,0.0,False,28702.20207,-4.58468,714.86403,21.90945,178.4,0.55,0.27,28705.53189,-4.5317,708.23721,21.82401,178.94,0.36,0.73
21,S01,L01,M01,1.451404,0.0,0.0,0.0,False,28722.20207,-3.7541,674.99738,21.49172,182.88,-0.23,0.92,28724.71498,-3.18715,670.25114,21.83115,183.65,0.96,-0.54
22,S01,L01,M02,1.814744,0.0,0.0,0.0,False,28732.20207,-3.84127,655.37228,21.53897,185.08,0.29,-0.31,28735.07832,-4.58555,649.82804,22.08316,186.12,0.72,0.53
23,S01,L01,M05,2.140099,0.0,0.0,0.0,False,28742.20207,-5.34959,635.73196,21.82679,187.5,0.37,0.03,28745.403675,-6.12402,629.75651,21.88682,187.87,0.42,0.84
24,S01,L01,M04,1.791084,0.0,0.0,0.0,False,28752.20207,-7.15395,616.48243,22.10673,189.13,0.98,0.64,28755.05466,-7.58506,610.69306,21.81777,189.16,0.25,0.28
25,S01,L01,M11,1.452557,0.0,0.0,0.0,False,28762.20207,-8.95905,597.20646,21.90521,190.06,0.94,-0.28,28764.716135,-10.09573,592.21622,21.7024,190.23,0.26,0.51
