# cfgfile = ./initcfg/MYGW/MYGW.1211.kaiyo_k4-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,1.600657,0.0,0.0,0.0,False,78771.540315,-8.64501,1160.26075,15.35222,189.05,-1.19,0.06,78774.20248,-9.37178,1155.24439,15.51896,188.44,-0.95,1.15
1,S01,L01,M12,2.217411,0.0,0.0,0.0,False,78781.54069,-10.2923,1139.83052,15.07124,189.59,-0.6,-1.73,78784.81961,-11.65215,1133.74759,16.03592,189.13,-0.13,1.33
2,S01,L01,M13,2.697253,0.0,0.0,0.0,False,78791.541095,-12.52435,1119.92439,15.84949,187.89,0.49,-1.43,78795.29986,-13.63228,1112.67083,15.08629,187.54,-0.97,0.18
3,S01,L01,M04,2.128704,0.0,0.0,0.0,False,78801.54154,-13.46606,1100.10939,16.02606,186.45,1.12,-2.73,78804.73175,-14.71313,1094.03484,15.28676,186.04,0.13,0.05
4,S01,L01,M11,1.557992,0.0,0.0,0.0,False,78811.54188,-14.88893,1080.51692,16.45015,185.68,1.22,-0.56,78814.16138,-15.09994,1075.538,15.40946,186.28,2.26,-2.52
5,S01,L01,M01,1.524269,0.0,0.0,0.0,False,78821.54224,-16.33516,1060.92109,16.3157,187.25,2.4,-1.85,78824.128015,-16.675,1055.20392,15.30477,188.45,-0.31,-2.66
6,S01,L01,M12,2.132706,0.0,0.0,0.0,False,78831.54267,-17.97361,1041.48551,16.26455,189.38,1.04,-1.42,78834.736885,-19.24082,1035.06577,15.89343,187.93,0.68,0.01
7,S01,L01,M13,2.565843,0.0,0.0,0.0,False,78851.54341,-21.91382,1002.83167,15.94301,186.59,0.53,-0.99,78855.170765,-22.38164,995.40078,15.51676,185.62,-0.32,-0.29
8,S01,L01,M05,2.492234,0.0,0.0,0.0,False,78861.543775,-23.65091,983.16758,15.65555,186.1,-0.79,0.53,78865.097515,-22.99426,976.0485,15.54015,185.78,0.42,-2.61
9,S01,L01,M04,2.010199,0.0,0.0,0.0,False,78871.54415,-24.1965,963.65114,15.89455,185.55,-1.64,-1.47,78874.615855,-23.92286,958.24086,15.77792,185.29,2.59,-1.67
10,S01,L01,M12,2.038386,0.0,0.0,0.0,False,78891.54485,-24.70044,925.43686,15.89041,183.67,1.76,-4.47,78894.644745,-26.24614,919.413,15.08178,185.3,-1.43,0.28
11,S01,L01,M13,2.460273,0.0,0.0,0.0,False,78901.545365,-25.81535,906.36027,15.75147,184.73,1.04,-2.79,78905.06715,-26.44201,899.75453,15.31492,184.34,-0.95,0.21
12,S01,L01,M04,1.950039,0.0,0.0,0.0,False,78911.5457,-25.90008,887.14287,15.65722,184.4,-1.06,-1.73,78914.557245,-26.63732,881.68064,15.66739,183.97,-0.0,-0.12
13,S01,L01,M11,1.477182,0.0,0.0,0.0,False,78921.546,-26.30183,868.44522,16.4281,184.0,-1.33,1.24,78924.08469,-26.15552,863.4237,16.1618,183.45,1.82,-0.71
14,S01,L01,M01,1.461124,0.0,0.0,0.0,False,78931.5464,-25.95214,849.43807,16.02281,183.98,-0.62,1.34,78934.06903,-25.54955,844.38419,16.25006,184.1,1.86,-1.16
15,S01,L01,M12,1.964116,0.0,0.0,0.0,False,78941.546775,-26.29985,830.23395,16.09925,185.21,-0.3,2.05,78944.5724,-25.28874,824.17169,15.73293,185.01,0.98,-2.29
16,S01,L01,M02,1.919464,0.0,0.0,0.0,False,78951.537165,-25.51226,810.68743,15.41002,185.28,-1.9,-0.01,78954.518135,-25.60653,805.49462,16.39304,184.52,1.77,-0.14
17,S01,L01,M13,2.337898,0.0,0.0,0.0,False,78961.537525,-25.64003,791.94237,15.35138,184.4,-2.0,1.06,78964.936935,-25.53391,785.63866,16.36907,182.39,1.87,0.77
18,S01,L01,M05,2.268949,0.0,0.0,0.0,False,78971.537885,-25.62577,773.48654,15.88022,183.4,-0.21,1.23,78974.86834,-25.30965,766.97799,16.20069,183.36,0.61,-0.74
19,S01,L01,M04,1.857054,0.0,0.0,0.0,False,78981.53835,-25.8978,754.59211,15.69631,182.3,-0.13,2.71,78984.45691,-24.51312,749.16545,16.07198,181.86,0.48,-2.27
20,S01,L01,M11,1.451162,0.0,0.0,0.0,False,78991.538675,-23.81093,736.12883,15.53892,181.23,1.15,-2.88,78994.051345,-23.97529,730.86513,15.37901,180.63,-0.79,0.44
21,S01,L01,M12,1.881971,0.0,0.0,0.0,False,79001.53903,-23.07395,716.9777,15.97453,179.67,-0.24,-0.92,79004.48251,-22.41639,711.4484,15.59793,180.56,1.22,-1.9
22,S01,L01,M13,2.239438,0.0,0.0,0.0,False,79011.53941,-20.66387,698.07058,15.67258,180.34,1.2,-4.45,79014.84036,-22.11749,691.41777,15.72859,178.53,-0.24,3.41
23,S01,L01,M04,1.811684,0.0,0.0,0.0,False,79021.539765,-19.70479,678.50861,15.66597,179.43,-0.1,-0.69,79024.412955,-19.75284,673.12141,15.54822,178.21,1.05,0.75
24,S01,L01,M11,1.446537,0.0,0.0,0.0,False,79031.540245,-16.73408,659.25791,15.69366,179.77,0.08,-3.97,79034.04829,-17.56827,654.44562,15.31223,179.35,-0.16,1.5
25,S01,L01,M01,1.450054,0.0,0.0,0.0,False,79041.540595,-15.5391,639.90133,15.72942,180.87,-0.79,-0.89,79044.052155,-15.35637,635.54401,15.79648,179.83,1.75,-0.03
26,S01,L01,M12,1.815501,0.0,0.0,0.0,False,79051.540915,-13.85882,620.96592,15.98391,180.33,1.62,-1.86,79054.417925,-13.9864,615.0781,15.4472,181.2,-0.57,-0.21
27,S01,L01,M02,1.779889,0.0,0.0,0.0,False,79061.54134,-12.42729,601.55389,16.14476,180.19,0.62,-1.97,79064.382735,-12.27608,596.15958,15.3125,180.21,0.27,-0.57
28,S01,L01,M13,2.122873,0.0,0.0,0.0,False,79071.54173,-9.95922,582.4738,15.25312,180.56,-0.49,-3.93,79074.726115,-11.01928,576.36623,16.08106,178.84,0.1,2.4
29,S01,L01,M05,2.058734,0.0,0.0,0.0,False,79081.542105,-8.62512,563.55854,15.58697,180.17,0.03,-1.13,79084.662345,-9.52852,557.08785,16.21393,179.8,-0.59,2.56
30,S01,L01,M04,1.746289,0.0,0.0,0.0,False,79091.54251,-7.71216,544.17646,15.52277,180.34,-0.58,2.24,79094.350305,-7.11483,538.59764,16.18629,179.22,-0.32,0.42
31,S01,L01,M11,1.456717,0.0,0.0,0.0,False,79101.54284,-6.25152,524.92052,15.71649,179.15,0.26,3.04,79104.061065,-4.36074,520.22947,16.03821,180.34,0.96,-2.85
32,S01,L01,M12,1.745426,0.0,0.0,0.0,False,79111.543225,-3.75693,505.45654,16.22878,180.36,0.8,-0.45,79114.35016,-2.10678,500.23384,14.90806,180.79,-0.25,-3.1
33,S01,L01,M13,2.029308,0.0,0.0,0.0,False,79121.54364,-1.56364,486.39394,15.99049,180.13,2.65,-1.97,79124.63446,-1.62192,479.60504,15.19066,180.87,-2.87,-0.24
34,S01,L01,M04,1.715144,0.0,0.0,0.0,False,79131.543985,-0.19011,466.32723,15.40151,180.54,-1.07,-1.22,79134.320635,0.06006,461.76283,16.03974,180.31,1.86,-0.89
35,S01,L01,M11,1.472482,0.0,0.0,0.0,False,79141.544445,1.09878,447.90525,16.59733,180.03,3.5,-1.46,79144.078435,2.51939,442.51966,14.91823,182.52,0.29,-4.49
36,S01,L01,M12,1.697156,0.0,0.0,0.0,False,79161.545075,3.16481,409.07497,15.26946,183.61,-1.5,-1.44,79164.30374,1.48836,404.1961,15.66127,181.87,-0.41,4.18
37,S01,L01,M02,1.674514,0.0,0.0,0.0,False,79171.54551,2.90429,390.52529,15.41246,184.25,-1.42,0.95,79174.28153,3.34587,385.48835,16.13956,183.07,0.59,-0.01
38,S01,L01,M13,1.924838,0.0,0.0,0.0,False,79181.545905,3.51879,371.88542,15.67296,184.29,-0.41,0.62,79184.532255,3.77967,366.09802,16.29154,184.68,0.19,-1.27
39,S01,L01,M05,1.867484,0.0,0.0,0.0,False,79191.546245,3.26576,352.75141,15.40531,185.21,-1.56,2.05,79194.475235,3.22343,347.69739,16.3875,183.89,2.05,-0.63
40,S01,L01,M04,1.671054,0.0,0.0,0.0,False,79201.546635,2.30605,334.31726,15.87574,184.43,1.54,1.73,79204.279195,3.9141,329.07356,15.50353,184.55,0.47,-4.22
41,S01,L01,M11,1.515487,0.0,0.0,0.0,False,79211.547015,2.29907,315.38933,16.0821,184.38,2.57,-1.73,79214.12401,2.95808,310.44942,14.84563,185.8,-0.94,-3.73
42,S01,L01,M12,1.657296,0.0,0.0,0.0,False,79221.537385,2.27779,296.37588,15.77487,185.36,1.03,-4.23,79224.25619,1.05164,291.6403,15.41788,184.52,-0.26,0.36
43,S01,L01,M13,1.844058,0.0,0.0,0.0,False,79231.537825,0.68974,278.37463,16.05007,183.79,0.67,-0.21,79234.443395,1.28198,273.03875,15.81213,184.76,2.46,-2.03
44,S01,L01,M04,1.652484,0.0,0.0,0.0,False,79241.538165,1.28323,259.92749,16.4086,183.94,1.27,-0.86,79244.252155,1.47634,254.54974,15.71079,184.81,1.77,-2.32
45,S01,L01,M11,1.548797,0.0,0.0,0.0,False,79251.538565,1.55653,241.29804,15.99282,184.48,0.81,-2.05,79254.14887,2.21933,236.00816,15.7568,185.22,0.34,-3.56
46,S01,L01,M01,1.586939,0.0,0.0,0.0,False,79261.53892,2.68513,222.56893,15.92189,184.75,-0.22,-3.91,79264.187365,1.04829,217.88238,16.03355,185.13,0.98,0.0
47,S01,L01,M12,1.633596,0.0,0.0,0.0,False,79271.539225,2.16028,203.93259,15.67935,186.19,-0.93,-3.61,79274.23433,0.79138,199.03632,15.97226,184.29,0.18,1.92
48,S01,L01,M02,1.624984,0.0,0.0,0.0,False,79281.539625,0.43104,185.80381,16.0431,185.38,0.21,1.2,79284.226115,0.53891,180.2066,15.97678,184.83,0.28,-0.18
49,S01,L01,M13,1.755093,0.0,0.0,0.0,False,79291.54003,-0.18234,167.05924,15.73571,184.64,0.02,1.2,79294.356635,0.97692,161.45912,15.77037,184.7,1.1,-3.12
50,S01,L01,M05,1.706509,0.0,0.0,0.0,False,79301.540395,0.75856,148.34595,15.56994,184.64,1.73,-4.97,79304.30841,0.00657,142.4006,15.28853,185.57,-1.67,-0.43
51,S01,L01,M04,1.633924,0.0,0.0,0.0,False,79311.540775,-0.22984,128.18536,15.292,186.75,-1.75,-3.71,79314.236205,-2.5116,123.92772,15.84833,184.94,-0.11,3.79
52,S01,L01,M11,1.620512,0.0,0.0,0.0,False,79321.54114,-2.08125,109.6493,15.55728,187.24,0.26,-0.85,79324.22316,-3.39467,104.58343,15.94372,186.23,-0.5,1.96
53,S01,L01,M12,1.619736,0.0,0.0,0.0,False,79331.541505,-4.08539,90.81243,15.57975,185.98,0.35,1.5,79334.22275,-3.73065,85.65369,15.80619,185.26,0.81,-0.96
54,S01,L01,M13,1.686313,0.0,0.0,0.0,False,79341.541915,-4.0791,71.73572,15.96135,184.98,1.39,-0.84,79344.28974,-5.5475,66.62695,15.65577,185.14,0.74,1.49
55,S01,L01,M04,1.630879,0.0,0.0,0.0,False,79351.542315,-4.82012,52.77043,15.63202,184.57,2.04,0.05,79354.2347,-5.14854,47.1525,15.64351,183.22,-0.71,0.92
56,S01,L01,M11,1.669337,0.0,0.0,0.0,False,79361.54265,-5.02134,33.34141,15.57654,184.23,1.07,1.1,79364.273495,-4.85525,27.84577,15.62907,183.24,-1.07,0.06
57,S01,L01,M01,1.721484,0.0,0.0,0.0,False,79371.543075,-4.51487,13.46138,15.44267,183.95,0.77,-0.51,79374.326065,-4.7363,8.39829,15.63796,183.96,-1.35,0.63
58,S01,L01,M12,1.617156,0.0,0.0,0.0,False,79381.54343,-5.13949,-6.11582,15.54159,184.64,0.93,1.22,79384.222095,-4.08525,-11.09427,15.3418,184.92,-0.82,-1.78
59,S01,L01,M02,1.623344,0.0,0.0,0.0,False,79391.543795,-4.80628,-25.7018,15.54244,184.29,0.13,-1.27,79394.228645,-5.27047,-30.11579,15.46945,184.35,1.25,-0.18
60,S01,L01,M13,1.611483,0.0,0.0,0.0,False,79401.54416,-5.37031,-44.86136,15.67045,184.16,0.73,-1.28,79404.217155,-5.00465,-49.78048,15.40809,184.37,0.29,-1.45
61,S01,L01,M05,1.574934,0.0,0.0,0.0,False,79411.54459,-4.59726,-63.96686,15.98167,183.99,1.35,-3.05,79414.18103,-6.15414,-69.09133,15.86927,184.52,0.12,0.72
62,S01,L01,M04,1.644289,0.0,0.0,0.0,False,79421.544925,-4.82763,-83.08362,15.54807,185.65,1.39,-3.37,79424.25072,-6.65995,-89.11152,15.86587,185.01,-1.92,2.42
63,S01,L01,M11,1.768282,0.0,0.0,0.0,False,79431.54536,-6.85916,-102.77591,15.4956,185.74,-1.27,1.07,79434.37515,-6.63939,-108.18028,16.00907,185.24,1.16,-0.32
64,S01,L01,M12,1.629586,0.0,0.0,0.0,False,79441.545705,-6.91134,-122.0549,15.84749,185.28,0.32,-1.32,79444.2368,-6.97524,-127.21509,15.68896,186.41,0.02,-1.67
65,S01,L01,M13,1.558978,0.0,0.0,0.0,False,79451.54604,-7.07812,-141.39996,15.48424,185.93,1.12,-2.89,79454.16653,-7.73012,-146.57312,15.456,185.27,-1.38,0.25
66,S01,L01,M04,1.659774,0.0,0.0,0.0,False,79461.546415,-6.64002,-160.57544,15.38008,185.19,1.15,-3.84,79464.267695,-7.46679,-165.82992,15.44488,184.93,0.05,0.38
67,S01,L01,M11,1.829847,0.0,0.0,0.0,False,79471.546875,-6.19949,-179.70847,15.5907,185.87,1.08,-3.94,79474.43823,-7.33538,-185.58429,15.78788,185.23,-0.85,0.64
68,S01,L01,M01,1.892834,0.0,0.0,0.0,False,79481.537235,-6.80108,-199.09939,15.58088,185.64,0.03,-1.65,79484.491575,-7.42745,-204.80582,16.05706,184.99,0.05,0.55
69,S01,L01,M12,1.649411,0.0,0.0,0.0,False,79491.53764,-6.98437,-218.52599,15.16026,185.15,-0.64,-0.97,79494.24856,-7.6158,-223.83299,16.20438,184.35,0.06,0.66
70,S01,L01,M02,1.670424,0.0,0.0,0.0,False,79501.53794,-7.65805,-237.98953,15.93221,184.67,-0.59,1.17,79504.26987,-7.53064,-243.33775,16.19596,184.53,0.66,-0.83
