# cfgfile = ./initcfg/MYGW/MYGW.1401.kaiyo_kx-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,1.524907,0.0,0.0,0.0,False,20996.541605,-23.68271,988.5154,14.90807,196.89,-1.74,-3.0,20999.12802,-24.93372,984.28427,15.78577,196.57,1.22,-0.54
1,S01,L01,M12,2.086436,0.0,0.0,0.0,False,21006.541945,-26.60075,969.09901,15.51139,196.86,-0.11,-1.18,21009.68989,-27.60171,962.89445,15.21768,196.89,0.79,-1.44
2,S01,L01,M13,2.520883,0.0,0.0,0.0,False,21016.54235,-29.58156,949.21995,15.75569,196.61,0.37,-0.53,21020.124745,-30.51145,942.14021,15.19973,196.52,1.62,-1.55
3,S01,L01,M15,1.997854,0.0,0.0,0.0,False,21026.542735,-32.96291,929.3561,15.77125,194.58,-0.09,0.47,21029.602095,-32.81733,922.81513,15.43546,193.79,1.73,-3.12
4,S01,L01,M04,1.972244,0.0,0.0,0.0,False,21036.54307,-34.62666,909.07101,15.95606,191.15,-0.0,-1.32,21039.57682,-35.67617,903.23402,15.38323,190.03,3.16,-1.13
5,S01,L01,M11,1.490557,0.0,0.0,0.0,False,21046.543545,-37.07155,889.04593,15.60674,187.77,1.95,0.03,21049.09561,-35.97975,883.41555,15.32255,186.7,0.95,-2.9
6,S01,L01,M12,2.009656,0.0,0.0,0.0,False,21056.543895,-36.89297,868.68311,15.11987,183.53,1.46,-1.17,21059.61506,-36.00524,862.41629,15.13543,182.15,-0.85,-2.32
7,S01,L01,M13,2.411638,0.0,0.0,0.0,False,21066.54431,-35.77065,848.68503,14.96004,177.71,1.88,-0.12,21070.01746,-34.3774,842.22155,15.23307,177.1,-0.36,-2.02
8,S01,L01,M15,1.926279,0.0,0.0,0.0,False,21076.544675,-32.44372,828.63567,15.39384,173.22,1.19,-2.19,21079.53246,-32.03448,822.84141,14.70256,172.9,-0.85,-0.18
9,S01,L01,M04,1.902064,0.0,0.0,0.0,False,21086.54501,-28.20917,808.66011,15.32352,172.13,-0.07,-2.83,21089.50858,-27.48688,803.46083,14.91294,172.52,1.1,-0.55
10,S01,L01,M11,1.466032,0.0,0.0,0.0,False,21096.54547,-23.9061,788.77808,14.90202,173.89,1.03,-1.76,21099.07301,-23.25901,783.71897,15.09974,174.8,-1.07,-0.44
11,S01,L01,M12,1.926281,0.0,0.0,0.0,False,21106.54581,-20.15678,768.6965,14.83539,176.89,0.67,-1.24,21109.5336,-19.40207,762.71155,15.28374,177.4,-1.12,-0.65
12,S01,L01,M13,2.304208,0.0,0.0,0.0,False,21116.546185,-16.91145,748.65191,14.74835,180.21,0.82,-2.04,21119.911905,-16.93592,741.70124,15.36521,180.88,-1.8,0.52
13,S01,L01,M15,1.871709,0.0,0.0,0.0,False,21126.546655,-14.95426,728.17307,15.24078,183.24,0.1,-1.35,21129.47987,-14.71178,722.6804,15.04442,183.76,0.13,-0.55
14,S01,L01,M04,1.842519,0.0,0.0,0.0,False,21136.54696,-13.34879,708.03881,15.14761,186.17,0.52,-1.84,21139.450985,-13.57335,702.23314,15.20976,186.48,-0.15,-0.38
15,S01,L01,M11,1.455037,0.0,0.0,0.0,False,21146.537345,-13.45105,687.95169,15.05506,187.81,0.26,0.17,21149.05389,-12.40975,683.02763,15.39574,188.31,0.39,-2.53
16,S01,L01,M12,1.854366,0.0,0.0,0.0,False,21156.537775,-13.40787,668.06231,15.28994,189.56,1.2,-0.41,21159.45365,-12.80855,662.14242,14.95459,189.79,-0.67,-2.38
17,S01,L01,M13,2.200008,0.0,0.0,0.0,False,21166.538175,-14.07645,648.12188,14.7278,190.84,2.1,-0.49,21169.799695,-13.70692,641.40746,15.07408,190.68,-2.78,-2.17
18,S01,L01,M15,1.814454,0.0,0.0,0.0,False,21176.53853,-14.90508,627.76381,14.75543,191.43,0.67,-1.19,21179.41449,-15.53976,622.40827,14.88025,191.41,-2.16,-0.7
19,S01,L01,M04,1.782184,0.0,0.0,0.0,False,21186.53888,-16.10033,608.26597,14.95757,191.27,1.24,-1.34,21189.38257,-16.94119,602.84816,15.03781,191.2,-1.44,-0.06
20,S01,L01,M11,1.456532,0.0,0.0,0.0,False,21196.53929,-17.35436,588.25648,14.75407,191.1,0.1,-1.38,21199.05733,-18.34934,583.68511,15.22036,190.56,-1.41,0.89
21,S01,L01,M12,1.797276,0.0,0.0,0.0,False,21206.53973,-19.35797,568.49487,14.49389,190.15,-0.6,0.47,21209.398515,-18.45972,562.66044,15.44201,189.94,-1.8,-2.58
22,S01,L01,M13,2.101608,0.0,0.0,0.0,False,21216.54006,-19.79476,548.59093,14.5951,188.92,0.08,-0.4,21219.70318,-19.31898,541.80468,15.84037,188.77,-1.69,-2.44
23,S01,L01,M15,1.763954,0.0,0.0,0.0,False,21226.540475,-20.25971,528.20548,14.88594,188.57,-0.94,-0.28,21229.365935,-20.26302,522.42719,15.61402,188.32,-0.68,-1.32
24,S01,L01,M04,1.729449,0.0,0.0,0.0,False,21236.54083,-21.15539,507.99694,14.88073,188.19,-0.6,0.04,21239.331785,-20.71026,502.18891,15.23749,187.89,-0.91,-1.49
25,S01,L01,M11,1.471297,0.0,0.0,0.0,False,21246.54127,-21.35873,487.46419,15.24655,187.71,0.56,-0.02,21249.074075,-21.15928,482.33304,14.88752,188.14,-0.1,-1.84
26,S01,L01,M12,1.745771,0.0,0.0,0.0,False,21256.541615,-21.65738,466.73868,15.225,187.9,0.98,-0.52,21259.348895,-21.21616,461.0593,15.01298,188.46,-0.0,-1.81
27,S01,L01,M13,2.003618,0.0,0.0,0.0,False,21266.54199,-22.39815,445.87949,15.00723,188.43,-0.03,-0.41,21269.60712,-21.3812,439.94046,15.28617,187.99,0.69,-1.82
28,S01,L01,M15,1.722734,0.0,0.0,0.0,False,21276.542355,-22.24252,425.56407,15.11844,188.18,1.59,-0.66,21279.326595,-21.68927,419.78231,15.31603,189.29,1.09,-2.81
29,S01,L01,M04,1.686329,0.0,0.0,0.0,False,21286.542735,-22.17964,404.9126,15.71058,189.02,1.41,-2.37,21289.29057,-22.92082,399.4897,14.86179,189.75,1.15,-1.65
30,S01,L01,M11,1.499642,0.0,0.0,0.0,False,21296.54319,-23.38004,384.86761,16.06618,189.33,1.58,-2.42,21299.10434,-23.79919,379.34237,15.03505,189.86,0.87,-2.56
31,S01,L01,M12,1.704871,0.0,0.0,0.0,False,21306.54352,-24.69146,364.70261,15.33704,189.26,1.53,-2.2,21309.3099,-24.53953,358.65483,15.47973,189.46,-0.15,-2.72
32,S01,L01,M13,1.912248,0.0,0.0,0.0,False,21316.543945,-25.45951,344.44658,15.14476,188.24,0.64,-1.92,21319.517705,-26.01887,338.4387,15.5692,187.24,0.19,-1.03
33,S01,L01,M15,1.691694,0.0,0.0,0.0,False,21326.54432,-25.7286,324.30372,15.54021,185.1,0.75,-1.9,21329.29752,-26.26482,318.49297,15.11956,185.23,0.06,-1.28
34,S01,L01,M04,1.653789,0.0,0.0,0.0,False,21336.54475,-25.01972,303.70644,15.54175,184.52,0.4,-3.91,21339.260045,-26.34673,298.49093,14.89697,184.92,0.36,0.27
35,S01,L01,M11,1.537972,0.0,0.0,0.0,False,21346.54508,-25.04495,283.28633,15.46058,183.62,0.37,-3.34,21349.14456,-26.13359,278.14988,14.92436,183.13,-0.06,0.61
36,S01,L01,M12,1.671886,0.0,0.0,0.0,False,21356.545495,-25.05503,262.81931,15.36307,180.87,-1.09,-1.01,21359.27889,-25.09081,257.77545,15.48965,179.39,1.01,-0.28
