# cfgfile = ./initcfg/MYGW/MYGW.1406.shoyo_s1-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,1.646382,0.0,0.0,0.0,False,49518.539565,16.7032,1219.61464,18.89738,189.42,-0.33,1.13,49521.247455,16.17542,1213.26817,18.63844,189.28,0.04,-1.25
1,S01,L01,M12,2.276816,0.0,0.0,0.0,False,49528.53961,11.65068,1195.72048,19.09918,189.69,-0.3,0.38,49531.877935,9.65132,1187.90664,18.91717,189.3,0.32,-0.07
2,S01,L01,M13,2.775528,0.0,0.0,0.0,False,49538.53965,5.71228,1171.83239,19.18311,188.76,0.11,0.83,49542.37669,4.1567,1162.5026,18.65423,188.69,-0.09,-0.48
3,S01,L01,M15,2.195779,0.0,0.0,0.0,False,49548.539685,0.92473,1147.56693,19.44436,188.07,0.39,-0.43,49551.79697,-1.48842,1139.65606,18.68548,186.53,-0.1,0.82
4,S01,L01,M04,2.167784,0.0,0.0,0.0,False,49558.53978,-5.35803,1123.16821,18.91516,185.76,-0.47,2.77,49561.76907,-5.01727,1115.28863,18.97906,185.58,0.58,-1.55
5,S01,L01,M11,1.576387,0.0,0.0,0.0,False,49568.539775,-8.59205,1098.43559,18.8778,184.68,-0.59,0.28,49571.17767,-10.22918,1092.37183,19.2667,184.13,0.93,1.07
6,S01,L01,M12,2.174156,0.0,0.0,0.0,False,49578.53989,-12.71567,1074.00089,18.92025,183.52,0.21,0.23,49581.775555,-13.81352,1066.01093,18.97271,183.64,0.21,-0.35
7,S01,L01,M13,2.636223,0.0,0.0,0.0,False,49588.539915,-16.23492,1049.31337,18.76056,183.01,0.09,-0.88,49592.23765,-17.90819,1040.07982,18.94539,182.63,-0.12,0.88
8,S01,L01,M15,2.080889,0.0,0.0,0.0,False,49598.539995,-20.28699,1024.39062,18.88966,182.71,-0.46,0.13,49601.68239,-20.88755,1016.83815,18.65347,181.94,0.6,0.15
9,S01,L01,M04,2.052109,0.0,0.0,0.0,False,49608.54003,-24.01813,999.54834,19.23025,181.51,-0.03,1.55,49611.653645,-23.88661,992.04578,18.54174,181.48,0.74,-1.43
10,S01,L01,M11,1.519987,0.0,0.0,0.0,False,49618.540025,-26.99168,974.8448,19.64992,180.37,0.42,1.25,49621.12152,-26.39283,968.28152,18.30057,180.04,0.12,-1.84
11,S01,L01,M12,2.074541,0.0,0.0,0.0,False,49628.540095,-28.87896,950.00831,19.60041,178.35,0.46,1.21,49631.676145,-28.19999,942.0851,18.34311,178.21,0.19,-1.66
12,S01,L01,M13,2.498378,0.0,0.0,0.0,False,49638.540125,-29.63522,924.97933,19.47226,177.04,0.06,0.64,49642.100015,-29.44934,916.1286,18.37178,176.39,0.06,-0.01
13,S01,L01,M15,1.979964,0.0,0.0,0.0,False,49648.54023,-29.64595,900.07868,18.81524,175.96,-0.2,-0.23,49651.5817,-29.65664,892.5904,18.93351,175.16,0.3,0.75
14,S01,L01,M04,1.951479,0.0,0.0,0.0,False,49658.54028,-28.4051,875.18567,18.44946,174.9,-0.11,-1.53,49661.553265,-29.71988,867.71816,19.4339,174.27,0.39,2.37
15,S01,L01,M11,1.480022,0.0,0.0,0.0,False,49668.540345,-28.15096,850.31417,18.9456,174.05,0.2,0.15,49671.081875,-28.06775,843.85052,18.86495,173.47,-0.04,1.39
16,S01,L01,M12,1.974566,0.0,0.0,0.0,False,49678.54038,-26.41831,825.3468,18.51819,173.15,0.07,-0.22,49681.576455,-26.00103,817.69491,19.36692,173.11,0.17,0.49
17,S01,L01,M13,2.362838,0.0,0.0,0.0,False,49688.54036,-24.17514,800.18756,18.6683,172.61,-0.21,-0.31,49691.96471,-24.83022,791.69684,19.78523,173.11,0.86,1.21
18,S01,L01,M15,1.897984,0.0,0.0,0.0,False,49698.54046,-22.91715,775.21547,19.24496,173.02,1.03,0.96,49701.49995,-22.58098,767.29793,19.21958,173.25,-0.12,0.75
19,S01,L01,M04,1.867369,0.0,0.0,0.0,False,49708.54046,-20.75138,749.76235,19.09897,173.22,0.4,0.81,49711.469335,-20.20974,742.29528,19.41569,173.33,0.38,0.1
20,S01,L01,M11,1.458012,0.0,0.0,0.0,False,49718.54058,-18.42715,724.49194,18.7414,173.47,0.6,-0.47,49721.0601,-17.9936,717.97541,19.21792,173.72,0.01,-0.11
21,S01,L01,M12,1.879301,0.0,0.0,0.0,False,49728.54062,-16.20238,698.8233,18.51231,173.79,0.1,-1.31,49731.48143,-16.77341,691.46807,19.5059,173.89,0.53,1.39
22,S01,L01,M13,2.229218,0.0,0.0,0.0,False,49738.540615,-15.37986,673.29884,19.23749,174.2,0.81,0.66,49741.831345,-14.52798,664.70796,18.8354,174.77,-0.39,0.24
23,S01,L01,M15,1.827604,0.0,0.0,0.0,False,49748.540665,-12.95274,647.59278,18.85337,174.96,0.33,-1.12,49751.429775,-13.29261,639.94044,18.94463,174.59,-0.35,1.0
24,S01,L01,M04,1.793714,0.0,0.0,0.0,False,49758.540795,-11.9635,621.58871,18.60478,174.8,-0.16,0.76,49761.396015,-11.08104,614.44215,19.34159,175.19,0.72,-0.49
25,S01,L01,M11,1.456297,0.0,0.0,0.0,False,49768.540755,-10.27522,595.66201,18.96854,175.33,0.21,0.31,49771.05856,-9.26009,589.13909,19.07221,175.73,0.48,-0.95
26,S01,L01,M12,1.795306,0.0,0.0,0.0,False,49778.540855,-8.75949,569.75362,19.62403,176.31,0.53,0.31,49781.39767,-9.18704,562.10392,18.71695,176.67,0.26,0.37
27,S01,L01,M13,2.099018,0.0,0.0,0.0,False,49788.54095,-8.83146,543.72804,19.16205,177.04,0.38,0.98,49791.70148,-6.97995,535.75294,18.55784,177.73,0.32,-2.37
28,S01,L01,M15,1.768129,0.0,0.0,0.0,False,49798.540985,-7.51631,518.03819,18.87385,178.38,-0.01,-1.32,49801.37062,-7.42871,510.98761,18.72862,178.42,0.45,-0.64
