# cfgfile = ./initcfg/MYGW/MYGW.1610.meiyo_m5-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M11,1.879517,0.0,0.0,0.0,False,41133.3984,850.70217,952.96134,12.11136,218.24,-1.13,1.45,41136.339425,845.14789,943.79606,11.16788,218.13,-0.42,-1.8
1,S01,L01,M12,1.975696,0.0,0.0,0.0,False,41134.18849,849.03256,950.72783,11.71957,218.2,-0.91,0.7,41137.225695,843.11321,941.15223,11.43502,218.59,-0.61,-1.31
2,S01,L01,M13,2.727618,0.0,0.0,0.0,False,41134.97848,847.62764,948.28051,11.38719,218.09,-0.55,-0.38,41138.76761,838.95468,937.51129,12.38691,219.35,0.06,1.42
3,S01,L01,M12,1.947266,0.0,0.0,0.0,False,41143.398525,828.6982,924.31045,11.8104,220.59,1.18,-2.35,41146.4073,820.985,915.70489,11.46367,220.92,-1.92,0.53
4,S01,L01,M13,2.690113,0.0,0.0,0.0,False,41144.18851,826.6112,921.84761,11.5211,220.9,-0.36,-2.0,41147.940135,817.32281,912.05972,12.52141,221.18,0.66,1.47
5,S01,L01,M15,2.673309,0.0,0.0,0.0,False,41144.978495,824.47684,919.43267,11.1842,220.97,-2.01,-1.11,41148.71331,815.16717,909.908,12.66139,221.37,0.67,1.23
6,S01,L01,M13,2.652673,0.0,0.0,0.0,False,41153.39852,803.66579,896.77197,12.09123,222.74,0.01,-0.08,41157.112705,794.78889,886.47053,11.5988,222.98,-0.63,-0.55
7,S01,L01,M11,1.822457,0.0,0.0,0.0,False,41154.978495,799.57192,892.55875,11.90603,223.08,-0.53,0.39,41157.86246,792.88328,884.56675,11.90499,223.14,-0.24,-0.39
8,S01,L01,M15,2.600154,0.0,0.0,0.0,False,41163.39863,778.22154,870.02275,12.35612,225.25,-0.16,-0.89,41167.06029,769.18522,860.56069,12.06513,226.35,1.35,-0.44
9,S01,L01,M11,1.798142,0.0,0.0,0.0,False,41164.18862,776.15126,867.62009,11.69391,225.33,-0.84,-1.63,41167.04827,769.22125,860.58018,12.05102,226.34,1.33,-0.49
10,S01,L01,M12,1.884606,0.0,0.0,0.0,False,41164.978605,774.13776,865.16781,10.96022,225.31,-1.5,-1.92,41167.92472,766.3436,859.10611,12.89133,226.94,1.35,1.56
11,S01,L01,M11,1.775062,0.0,0.0,0.0,False,41173.3987,752.00245,844.77296,12.05746,226.41,-0.11,-1.46,41176.23527,743.29234,838.539,12.2603,225.18,-0.41,2.61
12,S01,L01,M12,1.860666,0.0,0.0,0.0,False,41174.18869,749.28192,843.1031,12.22018,226.05,-0.97,0.57,41177.110865,741.2153,836.31417,12.21976,225.23,0.54,1.42
13,S01,L01,M13,2.568828,0.0,0.0,0.0,False,41174.97868,746.72407,841.43409,12.28096,225.62,-1.27,2.18,41178.60902,737.46261,832.14605,11.8674,225.66,0.38,-1.1
14,S01,L01,M12,1.836921,0.0,0.0,0.0,False,41183.3987,724.60021,820.10673,11.89979,223.62,-1.08,1.18,41186.29713,716.672,813.61592,12.66079,223.58,1.74,2.17
15,S01,L01,M13,2.533793,0.0,0.0,0.0,False,41184.18879,722.26094,817.93827,11.79391,223.03,-1.53,1.6,41187.784095,712.19871,809.61238,12.30301,223.24,0.02,2.26
16,S01,L01,M15,2.515114,0.0,0.0,0.0,False,41184.97878,720.09646,816.07883,11.94167,223.02,-0.96,1.74,41188.5554,709.96846,807.20219,11.64036,222.72,-1.97,2.07
17,S01,L01,M13,2.498663,0.0,0.0,0.0,False,41193.39881,698.21501,794.28662,11.94016,221.67,-1.29,0.48,41196.958985,689.29814,785.1196,11.82663,220.89,-0.25,1.22
18,S01,L01,M15,2.479934,0.0,0.0,0.0,False,41194.188905,696.11765,792.22193,11.71623,221.66,-1.77,0.74,41197.730345,687.1482,782.95883,11.79863,220.49,-0.98,1.67
