depth,speed
0.0,1529.236
10.0,1529.296
20.0,1529.405
30.0,1529.56
40.0,1529.694
50.0,1529.828
60.0,1529.917
70.0,1529.921
80.0,1529.672
90.0,1528.853
100.0,1526.541
110.0,1523.432
120.0,1520.872
130.0,1519.751
140.0,1519.265
150.0,1518.769
160.0,1518.511
170.0,1518.31
180.0,1518.096
190.0,1517.816
200.0,1517.732
250.0,1516.251
300.0,1513.619
350.0,1509.426
400.0,1504.741
450.0,1499.244
500.0,1494.292
550.0,1490.177
600.0,1487.24
700.0,1481.772
800.0,1480.931
900.0,1480.568
1200.0,1480.73
1846.3477,1487.971
