# cfgfile = ./initcfg/TOS2/TOS2.1401.meiyo_mx-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M01,2.63356,0.0,0.0,0.0,False,52228.54222,65.1512,1741.69208,17.069,193.54,-0.16,0.51,52232.237335,66.01007,1727.30332,16.94392,194.31,-0.8,-2.03
1,S01,L01,M02,3.446154,0.0,0.0,0.0,False,52238.542305,64.4082,1703.82977,17.35741,198.13,0.1,-0.06,52243.050015,63.49543,1687.04977,17.26015,199.99,0.94,-2.94
2,S01,L01,M03,4.144418,0.0,0.0,0.0,False,52248.54226,60.24527,1667.03103,17.24517,203.47,-1.23,-1.95,52253.748235,56.29552,1648.82024,16.79758,205.35,-0.51,-1.69
3,S01,L01,M04,3.458624,0.0,0.0,0.0,False,52258.542365,51.42269,1632.73311,16.82488,207.13,-0.68,0.37,52263.062545,47.24306,1617.29522,17.08166,206.96,0.52,-1.68
4,S01,L01,M01,2.55671,0.0,0.0,0.0,False,52268.542435,40.9645,1599.18277,17.12855,207.85,0.21,0.01,52272.1607,37.18518,1586.62121,17.04083,206.16,-1.03,-2.0
5,S01,L01,M02,3.345604,0.0,0.0,0.0,False,52278.542445,30.26502,1565.53972,16.93751,206.36,0.12,-0.19,52282.949605,25.82468,1550.29183,17.24078,204.39,0.53,-0.55
6,S01,L01,M03,3.995638,0.0,0.0,0.0,False,52288.54246,20.01711,1530.90205,16.69795,206.6,-0.37,0.72,52293.599655,16.1355,1513.15633,16.48535,205.03,0.68,-3.71
7,S01,L01,M04,3.326314,0.0,0.0,0.0,False,52298.54252,10.5434,1496.55651,17.23665,203.36,0.75,2.5,52302.93039,8.26844,1480.60063,16.95301,203.48,0.96,-3.46
8,S01,L01,M01,2.493765,0.0,0.0,0.0,False,52308.54267,2.50697,1461.18102,17.33961,201.09,0.6,1.22,52312.09799,0.64653,1448.06903,17.08742,200.16,0.65,-2.18
9,S01,L01,M02,3.248919,0.0,0.0,0.0,False,52318.542715,-3.96087,1425.08187,17.27716,194.56,0.13,2.45,52322.85319,-4.47082,1408.89162,17.18915,191.55,0.11,-0.17
10,S01,L01,M03,3.842698,0.0,0.0,0.0,False,52328.542775,-4.87861,1387.38394,17.3908,186.75,0.27,1.76,52333.44703,-3.45643,1368.52608,16.85626,187.12,-0.87,0.72
11,S01,L01,M04,3.206839,0.0,0.0,0.0,False,52338.542815,-1.63064,1348.91755,17.39958,185.6,0.58,-0.11,52342.81121,0.23712,1332.32281,16.89711,186.26,-0.69,1.02
12,S01,L01,M01,2.43962,0.0,0.0,0.0,False,52348.542835,2.99487,1309.92777,17.06682,186.6,-1.5,-0.73,52352.04401,4.33417,1296.49412,17.14184,186.16,0.85,0.34
13,S01,L01,M02,3.129584,0.0,0.0,0.0,False,52358.54288,6.95123,1271.16677,17.12553,188.22,-0.23,0.48,52362.73402,8.87809,1254.73359,17.1954,188.46,0.25,-1.76
14,S01,L01,M03,3.681168,0.0,0.0,0.0,False,52368.542965,9.76359,1232.39337,16.95012,189.6,0.94,0.71,52373.28569,11.08806,1213.91068,17.01173,192.1,-0.25,-1.69
15,S01,L01,M04,3.101189,0.0,0.0,0.0,False,52378.54306,11.74962,1193.71137,17.07567,192.05,0.49,-1.03,52382.705805,11.74341,1177.77476,17.19077,193.87,-0.5,-1.4
16,S01,L01,M01,2.400855,0.0,0.0,0.0,False,52388.5431,11.15785,1155.37152,17.21435,194.33,-0.72,-0.81,52392.00551,10.81562,1142.27197,17.03101,194.46,-0.49,-1.24
17,S01,L01,M02,3.025869,0.0,0.0,0.0,False,52398.54313,9.37265,1117.41674,17.40982,195.12,0.18,-0.61,52402.630555,8.82512,1101.73635,17.2283,194.07,-0.55,-1.71
18,S01,L01,M03,3.527818,0.0,0.0,0.0,False,52408.543165,7.06723,1079.72221,17.4161,194.22,1.09,0.17,52413.13254,6.2679,1062.04269,17.52773,192.89,0.57,-0.75
19,S01,L01,M04,2.998119,0.0,0.0,0.0,False,52418.543295,5.08022,1041.30437,17.23839,193.34,-0.08,0.09,52422.60297,4.38029,1025.51795,17.18821,192.55,-0.7,0.2
20,S01,L01,M01,2.37944,0.0,0.0,0.0,False,52428.543325,3.95419,1002.62047,17.06716,191.86,-1.01,-1.2,52431.98432,3.63022,989.4554,16.93447,188.39,0.14,2.77
21,S01,L01,M02,2.933934,0.0,0.0,0.0,False,52438.54332,4.50262,963.7605,16.72815,188.07,-1.27,2.53,52442.53881,6.49753,948.17719,16.91345,187.92,0.74,-0.93
22,S01,L01,M03,3.376858,0.0,0.0,0.0,False,52448.543435,7.5364,924.47833,17.17054,187.73,-0.58,0.03,52452.98185,8.72668,907.02962,16.9643,189.86,-0.48,-0.75
23,S01,L01,M04,2.909809,0.0,0.0,0.0,False,52458.5435,9.71868,885.27148,17.48746,190.49,0.35,-2.34,52462.514865,9.27131,869.86639,17.02986,191.5,-0.63,0.36
24,S01,L01,M01,2.37608,0.0,0.0,0.0,False,52468.543555,9.50807,846.40201,17.40961,191.8,0.17,-0.78,52471.98119,9.12527,833.06774,16.90767,193.4,-0.55,-0.62
25,S01,L01,M02,2.851209,0.0,0.0,0.0,False,52478.54355,7.75942,807.85364,16.95707,192.84,0.39,0.01,52482.456315,7.55948,792.89791,17.1588,192.55,-0.54,0.13
26,S01,L01,M03,3.232813,0.0,0.0,0.0,False,52488.54361,7.04339,769.57263,16.89347,192.78,-0.05,-0.22,52492.83798,6.87597,753.16358,17.46632,192.33,-0.69,-1.12
27,S01,L01,M04,2.831354,0.0,0.0,0.0,False,52498.543655,6.68861,731.83151,16.9717,192.39,-1.07,-0.5,52502.436565,6.67285,717.15039,17.18465,190.29,-0.02,0.22
28,S01,L01,M01,2.39036,0.0,0.0,0.0,False,52508.54372,6.95561,694.43621,16.9887,191.19,-0.47,1.59,52511.995635,8.11141,681.66135,17.62347,189.92,0.68,-0.87
29,S01,L01,M02,2.784319,0.0,0.0,0.0,False,52518.543795,8.20784,657.50445,17.41656,190.65,0.21,1.44,52522.38967,9.34774,643.27394,17.15461,191.41,-0.32,-1.17
30,S01,L01,M03,3.101528,0.0,0.0,0.0,False,52528.54387,9.76619,621.22804,17.01421,191.3,0.35,-0.61,52532.706955,10.13323,606.40093,17.2354,192.17,-0.57,0.97
31,S01,L01,M04,2.772469,0.0,0.0,0.0,False,52538.54395,10.738,585.54854,16.87468,193.7,-0.15,-2.08,52542.377975,10.30025,572.45822,17.307,192.7,-0.07,0.61
32,S01,L01,M01,2.4195,0.0,0.0,0.0,False,52548.543985,10.70038,550.86916,16.99338,193.34,0.55,-1.32,52552.02504,10.43509,538.86915,17.75056,192.44,-0.3,-0.7
33,S01,L01,M02,2.733219,0.0,0.0,0.0,False,52558.54403,10.82957,516.31556,17.17383,192.72,-1.08,-1.64,52562.338805,10.36763,503.56151,17.60189,191.91,1.03,0.27
34,S01,L01,M03,2.985453,0.0,0.0,0.0,False,52568.544135,10.7333,482.31414,17.18762,192.52,-0.23,-0.38,52572.591145,11.23347,468.34902,17.48077,191.92,-0.22,-1.84
35,S01,L01,M04,2.726969,0.0,0.0,0.0,False,52578.54413,10.63438,448.46499,17.54297,192.01,0.08,-0.11,52582.332655,11.09299,435.47322,16.81018,191.65,-0.39,-0.37
36,S01,L01,M01,2.46037,0.0,0.0,0.0,False,52588.54425,10.47861,414.67931,17.13297,191.86,-0.37,1.47,52592.066175,12.45019,402.44222,17.28131,192.41,-0.18,-4.04
37,S01,L01,M02,2.695409,0.0,0.0,0.0,False,52598.544295,11.32494,381.12034,17.223,192.49,0.3,0.22,52602.30126,11.88181,368.04664,16.98015,192.45,-0.78,-1.83
