depth,speed
0.0,1523.233
10.0,1523.319
20.0,1523.474
30.0,1523.638
40.0,1523.799
50.0,1523.975
60.0,1524.142
70.0,1524.311
80.0,1524.481
90.0,1524.612
100.0,1524.67
110.0,1524.836
120.0,1524.956
130.0,1525.031
140.0,1525.089
150.0,1525.117
160.0,1524.881
170.0,1523.419
180.0,1522.033
190.0,1521.397
200.0,1520.634
250.0,1518.116
300.0,1515.163
350.0,1511.803
400.0,1506.825
450.0,1502.53
500.0,1495.742
550.0,1493.623
600.0,1488.832
700.0,1483.822
800.0,1482.237
900.0,1481.402
1200.0,1481.055
1846.3477,1487.685
