depth,speed
0.0,1535.674
10.0,1535.781
20.0,1535.94
30.0,1536.099
40.0,1536.232
50.0,1535.934
60.0,1535.217
70.0,1535.277
80.0,1535.112
90.0,1534.86
100.0,1533.137
110.0,1531.407
120.0,1530.099
130.0,1528.927
140.0,1528.206
150.0,1526.961
160.0,1525.929
170.0,1525.204
180.0,1524.278
190.0,1523.505
200.0,1522.665
250.0,1519.658
300.0,1515.582
350.0,1512.404
400.0,1509.972
450.0,1505.192
500.0,1500.233
550.0,1495.972
600.0,1492.777
700.0,1487.379
800.0,1483.551
900.0,1482.121
1200.0,1481.217
1846.3477,1487.472
