# cfgfile = ./initcfg/TOS2/TOS2.1702.takuyo_t2-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M01,2.92802,0.0,0.0,0.0,False,49306.20207,1249.2445,1229.74338,25.03967,228.89,0.17,-1.01,49310.191645,1239.84706,1220.39546,25.0855,229.5,0.39,-1.5
1,S01,L01,M02,2.902709,0.0,0.0,0.0,False,49307.00207,1247.45257,1227.97754,25.15307,228.87,0.59,-0.95,49310.966335,1238.08924,1218.64938,25.16886,229.64,0.56,-1.52
2,S01,L01,M03,4.010528,0.0,0.0,0.0,False,49307.80207,1245.53041,1226.13181,25.15119,228.94,0.7,-0.97,49312.874155,1233.53367,1214.22572,25.00166,229.61,0.42,-0.98
3,S01,L01,M02,2.878314,0.0,0.0,0.0,False,49318.20207,1220.89802,1201.78799,25.24715,229.97,0.39,-1.11,49322.14194,1211.5926,1192.85935,25.10826,230.57,0.25,-1.68
4,S01,L01,M03,3.972353,0.0,0.0,0.0,False,49319.00207,1218.75396,1200.23726,25.03275,229.93,0.43,-0.56,49324.03598,1207.52732,1188.58318,24.92887,230.79,0.31,-2.04
5,S01,L01,M04,4.011269,0.0,0.0,0.0,False,49319.80207,1216.66639,1198.69951,24.91096,229.89,0.52,0.01,49324.874895,1205.56279,1187.04236,24.95317,230.76,0.52,-1.34
6,S01,L01,M03,3.937703,0.0,0.0,0.0,False,49330.20207,1193.85946,1175.99106,25.22407,231.28,0.63,-1.35,49335.20133,1183.19771,1166.36109,25.37487,232.0,0.96,-0.97
7,S01,L01,M04,3.975999,0.0,0.0,0.0,False,49331.00207,1192.02271,1174.34521,24.97081,231.26,0.43,-1.23,49336.039625,1181.46927,1164.68346,25.27729,231.87,0.87,-1.01
8,S01,L01,M01,2.87363,0.0,0.0,0.0,False,49331.80207,1190.0964,1172.76368,24.71615,231.38,0.07,-1.0,49335.737255,1182.09523,1165.30504,25.33617,231.93,0.95,-0.97
9,S01,L01,M01,2.85398,0.0,0.0,0.0,False,49343.00207,1167.29131,1152.16386,24.94293,231.8,0.58,0.11,49346.917605,1160.37211,1144.43778,25.62658,232.14,0.63,-2.13
10,S01,L01,M02,2.831889,0.0,0.0,0.0,False,49343.80207,1165.6095,1150.70536,24.8195,231.66,0.32,0.12,49347.695515,1158.97082,1143.22839,25.51641,231.92,1.08,-1.74
11,S01,L01,M02,2.815004,0.0,0.0,0.0,False,49355.00207,1145.15299,1130.89212,24.71308,231.89,-0.04,-0.66,49358.87863,1138.72205,1124.46655,25.31445,232.15,0.32,-1.21
12,S01,L01,M01,2.83363,0.0,0.0,0.0,False,49355.80207,1143.71474,1129.74196,24.83025,231.79,-0.1,-0.36,49359.697255,1137.37537,1123.07175,25.21013,232.02,0.37,-1.28
13,S01,L01,M04,3.884969,0.0,0.0,0.0,False,49366.20207,1126.45696,1113.03139,25.15271,232.05,0.36,-0.55,49371.148595,1119.07554,1105.50135,25.35739,232.21,0.93,-1.31
