# cfgfile = ./initcfg/TOS2/TOS2.1707.kaiyo_k4-initcfg.ini
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1
0,S01,L01,M01,2.71528,0.0,0.0,0.0,False,24669.401085,11.61324,1860.73793,17.6257,181.51,-1.6,-1.49,24673.17792,8.33657,1846.85175,19.74798,183.28,1.79,1.11
1,S01,L01,M02,3.618499,0.0,0.0,0.0,False,24670.49115,11.00178,1856.81108,18.35098,182.12,0.37,-0.65,24675.171205,10.28999,1839.04586,18.62481,182.28,-0.76,-3.5
2,S01,L01,M04,3.581319,0.0,0.0,0.0,False,24690.49191,6.75211,1780.50388,17.65325,180.43,-1.77,0.22,24695.134785,6.42569,1763.12732,19.60622,179.72,0.11,-0.7
3,S01,L01,M01,2.623485,0.0,0.0,0.0,False,24709.4026,5.59169,1709.03496,19.36622,180.41,0.9,1.23,24713.08764,5.92232,1694.4559,17.76234,180.91,-2.08,-0.69
4,S01,L01,M02,3.485854,0.0,0.0,0.0,False,24710.492665,5.48237,1704.97873,19.48904,180.68,0.31,1.17,24715.040075,5.71975,1687.34342,18.75785,180.25,1.0,-0.41
5,S01,L01,M02,3.456969,0.0,0.0,0.0,False,24719.393035,5.19664,1670.14265,18.77905,180.52,-1.47,-1.79,24723.91156,4.21146,1653.61344,19.13433,180.94,1.23,2.08
6,S01,L01,M03,4.121253,0.0,0.0,0.0,False,24729.393515,5.63743,1632.26164,18.65634,179.12,0.77,-3.51,24734.576325,3.88805,1611.94718,18.82941,179.08,0.1,0.99
7,S01,L01,M04,3.446354,0.0,0.0,0.0,False,24730.48358,5.14809,1627.90197,18.55407,179.73,0.52,-1.93,24734.99149,4.24147,1610.39303,19.02506,178.85,0.22,0.13
8,S01,L01,M04,3.417309,0.0,0.0,0.0,False,24739.393855,5.10836,1593.43989,18.82275,179.89,-1.23,-1.09,24743.87272,4.69636,1576.30142,18.7392,179.35,1.75,-1.01
9,S01,L01,M01,2.560485,0.0,0.0,0.0,False,24740.48392,4.35058,1589.20752,18.41207,180.34,-1.16,0.61,24744.10596,4.89051,1575.44309,18.87528,179.32,1.86,-1.49
10,S01,L01,M01,2.54415,0.0,0.0,0.0,False,24749.394245,4.34691,1554.93477,18.89809,179.56,-0.86,1.07,24752.99995,5.05592,1540.90671,18.56483,180.04,0.85,-1.12
11,S01,L01,M02,3.356589,0.0,0.0,0.0,False,24750.48431,4.42741,1550.61094,18.27997,179.64,-0.59,0.81,24754.902455,4.90587,1533.37703,19.19431,179.58,0.26,-0.71
12,S01,L01,M02,3.328809,0.0,0.0,0.0,False,24759.394715,5.07545,1516.36524,18.94692,179.46,-1.1,-0.69,24763.78508,5.02738,1499.50583,19.01776,178.86,1.89,0.43
13,S01,L01,M03,3.954343,0.0,0.0,0.0,False,24769.394955,4.87448,1477.70913,18.15954,180.01,-0.67,-0.05,24774.410855,5.83403,1458.71596,19.61307,179.54,0.73,-0.11
14,S01,L01,M04,3.319694,0.0,0.0,0.0,False,24770.48502,4.98747,1473.57896,17.71222,179.36,-0.17,0.27,24774.86627,5.60136,1456.88027,19.6873,179.51,0.28,0.5
15,S01,L01,M04,3.292939,0.0,0.0,0.0,False,24779.39539,6.35372,1439.38066,18.64724,179.37,0.42,-2.27,24783.749885,5.9967,1422.82594,19.4557,179.62,0.79,0.99
16,S01,L01,M01,2.4926,0.0,0.0,0.0,False,24780.485455,6.53309,1434.78156,18.13251,179.17,-0.38,-2.1,24784.03961,5.89658,1421.66118,19.51957,179.48,0.46,1.35
17,S01,L01,M02,3.234499,0.0,0.0,0.0,False,24790.4858,7.30902,1396.9451,18.3485,179.11,-0.09,-1.89,24794.781855,6.31858,1380.24564,18.94924,178.61,-1.37,2.0
18,S01,L01,M01,2.43196,0.0,0.0,0.0,False,24829.39739,14.26486,1252.32243,18.89395,180.4,-0.77,-2.29,24832.890905,14.72005,1239.71005,18.21312,180.35,0.38,-0.18
19,S01,L01,M04,3.104834,0.0,0.0,0.0,False,24850.48818,16.41774,1175.38915,18.90832,179.45,-1.91,-0.77,24854.65457,16.26257,1160.75649,19.25089,180.18,1.54,0.9
20,S01,L01,M04,3.083394,0.0,0.0,0.0,False,24859.40058,17.89512,1143.30169,19.40168,180.34,-0.81,-0.36,24863.54553,18.23336,1128.14593,18.13586,181.08,-0.07,-1.19
21,S01,L01,M01,2.40147,0.0,0.0,0.0,False,24869.401025,19.03773,1107.22779,19.28547,181.3,-0.03,-1.21,24872.86405,18.77033,1094.42728,18.73413,182.05,-0.37,0.71
22,S01,L01,M02,3.023159,0.0,0.0,0.0,False,24870.491095,19.21387,1103.20332,18.94323,181.47,-0.42,-0.93,24874.57581,18.20451,1088.06285,19.12749,182.07,0.22,1.18
23,S01,L01,M02,3.002669,0.0,0.0,0.0,False,24879.401325,19.22082,1070.37343,18.99495,182.42,-1.09,-1.75,24883.46555,18.68823,1055.91726,18.82022,183.38,-0.0,0.33
24,S01,L01,M03,3.529708,0.0,0.0,0.0,False,24880.49139,18.59757,1066.52838,18.92008,182.61,-1.52,0.09,24885.082655,18.15231,1049.9522,19.26776,183.05,0.35,0.77
25,S01,L01,M03,3.497133,0.0,0.0,0.0,False,24889.401775,18.69236,1033.82645,18.99104,183.43,-0.08,-2.2,24893.960465,16.87424,1017.23025,18.76555,184.49,-1.1,1.11
26,S01,L01,M04,3.010659,0.0,0.0,0.0,False,24890.49173,18.40144,1030.11292,19.14981,183.64,0.63,-1.42,24894.563945,16.82429,1015.02811,18.61132,184.22,-1.06,1.06
27,S01,L01,M04,2.990669,0.0,0.0,0.0,False,24899.402255,16.91764,997.00942,18.82058,184.17,-0.88,-0.35,24903.45448,16.15429,982.82664,19.79009,184.14,0.11,-0.24
28,S01,L01,M01,2.388055,0.0,0.0,0.0,False,24900.492215,16.64153,993.28487,18.48859,184.28,0.02,-0.1,24903.941825,15.94935,980.98772,19.70523,183.99,-0.4,0.01
29,S01,L01,M02,2.919989,0.0,0.0,0.0,False,24919.3929,13.39406,924.24405,17.75491,185.69,-2.37,0.52,24923.374445,13.5487,910.39196,20.52138,183.61,2.5,-1.06
30,S01,L01,M03,3.387638,0.0,0.0,0.0,False,24920.48297,12.99412,920.53087,18.01883,185.51,-0.55,1.06,24924.932165,13.69704,904.46255,20.52802,184.09,-0.02,-2.26
31,S01,L01,M04,2.922769,0.0,0.0,0.0,False,24930.483465,11.86367,884.45255,18.09906,184.57,1.62,-0.95,24934.46779,10.99378,869.60957,20.16767,184.46,-1.64,0.57
32,S01,L01,M04,2.903894,0.0,0.0,0.0,False,24939.393675,9.92997,851.65873,17.90895,184.8,-0.16,-0.35,24943.359125,9.76769,837.57737,19.54809,185.34,0.03,-2.03
33,S01,L01,M01,2.38495,0.0,0.0,0.0,False,24940.48375,9.62607,848.06353,18.45878,184.98,1.39,-0.56,24943.930255,9.67652,835.46484,19.49121,185.26,-0.58,-1.79
34,S01,L01,M01,2.38658,0.0,0.0,0.0,False,24949.39408,6.71321,815.54349,19.07657,185.52,0.46,1.53,24952.842215,7.61152,802.50936,18.87921,184.64,-0.85,-2.65
35,S01,L01,M02,2.864464,0.0,0.0,0.0,False,24950.484145,7.2621,811.52657,18.47795,185.3,0.69,-0.89,24954.410165,6.20597,796.84609,18.9192,184.3,-0.74,0.14
36,S01,L01,M02,2.850219,0.0,0.0,0.0,False,24959.394575,5.55351,778.43835,18.47589,184.55,-2.89,0.56,24963.30635,4.94007,764.78298,19.78456,183.34,2.04,-1.52
37,S01,L01,M03,3.250958,0.0,0.0,0.0,False,24960.484645,4.9158,774.79326,18.13911,184.26,-1.45,1.43,24964.79716,5.48452,759.14222,19.61129,183.35,0.94,-3.16
38,S01,L01,M03,3.221133,0.0,0.0,0.0,False,24969.39483,3.78981,742.92246,19.10695,184.42,1.11,1.81,24973.67752,3.51179,726.86214,18.91815,182.78,1.79,-2.13
39,S01,L01,M04,2.844749,0.0,0.0,0.0,False,24970.4849,2.91341,738.54331,19.50389,184.18,-0.15,2.7,24974.391205,3.97473,724.61407,19.32627,182.97,3.17,-3.63
40,S01,L01,M01,2.40375,0.0,0.0,0.0,False,24989.39639,-0.57545,669.12533,19.20972,184.47,0.21,2.46,24992.861695,0.68033,656.46077,19.08174,184.35,0.21,-2.89
41,S01,L01,M02,2.802819,0.0,0.0,0.0,False,24990.485725,-0.81447,665.14544,19.12672,184.05,0.43,2.18,24994.3501,0.24199,650.39799,18.33207,184.31,-1.91,-2.27
42,S01,L01,M02,2.791369,0.0,0.0,0.0,False,24999.39609,-2.24431,632.25086,20.15276,184.09,1.38,0.09,25003.249015,-1.88851,617.35732,18.6137,184.49,-1.19,-0.8
43,S01,L01,M03,3.119708,0.0,0.0,0.0,False,25000.486155,-1.84114,627.84416,19.41173,183.9,-0.31,-1.4,25004.66742,-3.70453,612.35987,18.96613,184.69,0.44,2.34
44,S01,L01,M03,3.091018,0.0,0.0,0.0,False,25009.396415,-3.10157,594.28791,18.51651,183.89,-0.36,-4.01,25013.54899,-7.46082,579.08593,19.7203,184.89,-0.37,5.85
