depth,speed
0.0,1529.395
10.0,1529.523
20.0,1529.683
30.0,1529.842
40.0,1530.003
50.0,1530.164
60.0,1530.327
70.0,1530.478
80.0,1530.633
90.0,1530.571
100.0,1529.509
110.0,1527.731
120.0,1526.721
130.0,1525.667
140.0,1524.704
150.0,1523.671
160.0,1522.486
170.0,1521.299
180.0,1520.742
190.0,1520.426
200.0,1520.225
250.0,1516.325
300.0,1511.102
350.0,1505.244
400.0,1499.415
450.0,1496.281
500.0,1489.723
550.0,1485.998
600.0,1483.181
700.0,1480.906
800.0,1479.754
900.0,1479.274
1200.0,1480.923
1846.3477,1488.17
